realization_id,within_observation_support,comparison_id,df,LR_statistic,gain_bits_per_event,nominal_p,delta_AIC,loglik_full,loglik_interaction,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,exposure_kyr
Barker_MC_01858,True,lr04_phase_interaction,2,4.856267053387455,0.050768930399670585,0.08820130442375929,-0.8562670533874552,-178.1637252561031,-175.73559172940938,True,,True,69,395.45197696926573
Barker_MC_05740,True,lr04_phase_interaction,2,6.510189171402942,0.06805954806400039,0.03857717164196362,-2.510189171402942,-178.84827649645058,-175.5931819107491,True,,True,69,397.3340331800565
Barker_MC_01950,True,lr04_phase_interaction,2,3.495685111255682,0.036544982424043165,0.17414925577892928,0.5043148887443181,-179.51669016470336,-177.76884760907552,True,,True,69,395.5633496454559
Barker_MC_08028,True,lr04_phase_interaction,2,5.31697367827735,0.055585301146289005,0.07005414477520013,-1.3169736782773498,-178.86966205349773,-176.21117521435906,True,,True,69,396.721338578257
Barker_MC_08732,True,lr04_phase_interaction,2,3.411841790517826,0.03566845819911441,0.1816050698989445,0.5881582094821738,-178.70025356065807,-176.99433266539916,True,,True,69,395.4293983354876
Barker_MC_06901,True,lr04_phase_interaction,2,4.597459584839839,0.04806327640388311,0.10038627418050387,-0.5974595848398394,-180.01875544495485,-177.72002565253493,True,,True,69,396.8909948742222
Barker_MC_09322,True,lr04_phase_interaction,2,4.812146062548834,0.05030767580052575,0.09016868985708282,-0.8121460625488339,-181.97018588222238,-179.56411285094796,True,,True,69,396.8303096835931
Barker_MC_03459,True,lr04_phase_interaction,2,8.624458965101951,0.09016278390799236,0.01340363309137973,-4.624458965101951,-177.70834568020578,-173.3961161976548,True,,True,69,395.62224714300913
Barker_MC_05927,True,lr04_phase_interaction,2,6.960721302079094,0.07276955147478026,0.030796302311242762,-2.9607213020790937,-179.21281782790803,-175.73245717686848,True,,True,69,396.9415648021563
Barker_MC_01678,True,lr04_phase_interaction,2,5.8073791121040585,0.06071215250430925,0.054820582852379215,-1.8073791121040585,-178.95705978871223,-176.0533702326602,True,,True,69,395.4940077969898
Barker_MC_04201,True,lr04_phase_interaction,2,3.8210421818480427,0.039946366715795045,0.14800324335104983,0.17895781815195733,-181.8896805955979,-179.97915950467387,True,,True,69,396.2687300711773
Barker_MC_09031,True,lr04_phase_interaction,2,6.921298828323188,0.07235741663864098,0.031409357711957325,-2.921298828323188,-182.28794938240623,-178.82729996824463,True,,True,69,396.572980392136
Barker_MC_09715,True,lr04_phase_interaction,2,5.815165767032568,0.06079355662351558,0.054607563318034444,-1.8151657670325676,-179.63800078689928,-176.730417903383,True,,True,69,396.47022405901924
Barker_MC_04692,True,lr04_phase_interaction,2,4.911019426439225,0.05134132878429878,0.08581944098743136,-0.9110194264392248,-180.53293921046435,-178.07742949724474,True,,True,69,396.2119717722741
Barker_MC_05576,True,lr04_phase_interaction,2,3.2252242431031277,0.03371750015420104,0.19936616467163584,0.7747757568968723,-179.69500438103796,-178.0823922594864,True,,True,69,395.49484798986106
Barker_MC_07078,True,lr04_phase_interaction,2,2.508258450163339,0.02622211613998903,0.2853241932335194,1.4917415498366609,-182.06633582941106,-180.8122066043294,True,,True,69,396.99024046274195
Barker_MC_07555,True,lr04_phase_interaction,2,5.5317739493059435,0.0578308901737858,0.06292026590923332,-1.5317739493059435,-179.95945077520935,-177.19356380055638,True,,True,69,396.2042164345781
Barker_MC_01828,True,lr04_phase_interaction,2,3.490446051094409,0.036490211655104125,0.17460604301571248,0.5095539489055909,-175.72530615362143,-173.98008312807423,True,,True,69,396.3423597662495
Barker_MC_03544,True,lr04_phase_interaction,2,4.284863412309676,0.04479529852047631,0.1173690885920695,-0.2848634123096758,-179.88696679911885,-177.74453509296401,True,,True,69,395.39669546229754
