model_id,terms,n_parameters,converged,fit_valid,invalid_reason,log_likelihood,AIC,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,n_events,exposure_kyr,fit_status,realization_id
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.1637252561031,368.3274505122062,335.19372930091214,3.2672281782981396,69,395.45197696926573,finite_mle,Barker_MC_01858
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-175.73559172940938,367.47118345881876,343.1448052252936,2.7182453811477583,69,395.45197696926573,finite_mle,Barker_MC_01858
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.84827649645058,369.69655299290116,336.09182083389516,3.2524585386132934,69,397.3340331800565,finite_mle,Barker_MC_05740
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-175.5931819107491,367.1863638214982,346.0592380449773,2.90910033443643,69,397.3340331800565,finite_mle,Barker_MC_05740
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-179.51669016470336,371.0333803294067,336.6524223368903,3.3060577179694843,69,395.5633496454559,finite_mle,Barker_MC_01950
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-177.76884760907552,371.53769521815104,342.7823157449909,3.0547646177282646,69,395.5633496454559,finite_mle,Barker_MC_01950
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.86966205349773,369.73932410699547,329.73780382563746,3.44117321465152,69,396.721338578257,finite_mle,Barker_MC_08028
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-176.21117521435906,368.4223504287181,336.1636081293489,2.972712479797505,69,396.721338578257,finite_mle,Barker_MC_08028
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.70025356065807,369.40050712131614,340.0400555238568,3.6500307138284303,69,395.4293983354876,finite_mle,Barker_MC_08732
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-176.99433266539916,369.9886653307983,345.94583968993834,3.190312008410875,69,395.4293983354876,finite_mle,Barker_MC_08732
