scope,drop_probability,metric,n_replicates,n_valid,n_invalid,n_finite,q025,median,q975,status,range_type
all,0.1,n_deleted,500,500,0,500,3,7,12,ok,extra_deletion_scenario_range
all,0.1,n_response_events,500,500,0,500,57,62,66,ok,extra_deletion_scenario_range
all,0.1,gain_bits_per_event,500,500,0,500,0.0615296166963,0.110546041618,0.168223277972,ok,extra_deletion_scenario_range
all,0.1,LR_statistic,500,500,0,500,5.23378948638,9.59016557062,14.1981838166,ok,extra_deletion_scenario_range
all,0.1,beta_history,500,500,0,500,-1.8369206966,-1.09093866425,-0.647061867475,ok,extra_deletion_scenario_range
all,0.1,beta_pre_phase_sin,500,500,0,500,-0.410100896359,-0.249730416071,-0.0967423262944,ok,extra_deletion_scenario_range
all,0.1,beta_pre_phase_cos,500,500,0,500,0.3968572145,0.538836508389,0.681499624924,ok,extra_deletion_scenario_range
all,0.1,phase_amplitude,500,500,0,500,0.436146283348,0.598653420903,0.747774813278,ok,extra_deletion_scenario_range
all,0.1,pre_phase_rate_ratio_max_vs_min,500,500,0,500,2.39238935337,3.31118741167,4.4617885606,ok,extra_deletion_scenario_range
all,0.1,change__gain_bits_per_event,500,500,0,500,-0.0491029360084,-8.6511087091e-05,0.0575907252674,ok,extra_deletion_scenario_range
all,0.1,change__LR_statistic,500,500,0,500,-5.34869110761,-0.992315023367,3.61570322257,ok,extra_deletion_scenario_range
all,0.1,change__beta_history,500,500,0,500,-0.707552239626,0.0384297927242,0.482306589503,ok,extra_deletion_scenario_range
all,0.1,change__beta_pre_phase_sin,500,500,0,500,-0.149067198,0.0113032822877,0.164291372065,ok,extra_deletion_scenario_range
all,0.1,change__beta_pre_phase_cos,500,500,0,500,-0.143935945112,-0.00195665122382,0.140706465312,ok,extra_deletion_scenario_range
all,0.1,change__phase_amplitude,500,500,0,500,-0.164350039008,-0.00184290145293,0.147278490923,ok,extra_deletion_scenario_range
all,0.1,change__pre_phase_rate_ratio_max_vs_min,500,500,0,500,-0.931024902137,-0.0122268438413,1.13837430509,ok,extra_deletion_scenario_range
all,0.1,phase_offset_deg,500,500,0,500,-11.7906635696,0.817884090904,15.1634606673,ok,extra_deletion_scenario_range
all,0.2,n_deleted,500,500,0,500,8,14,20,ok,extra_deletion_scenario_range
all,0.2,n_response_events,500,500,0,500,49,55,61,ok,extra_deletion_scenario_range
all,0.2,gain_bits_per_event,500,500,0,500,0.0398176727757,0.107645284208,0.200916630599,ok,extra_deletion_scenario_range
all,0.2,LR_statistic,500,500,0,500,3.00261017098,8.31366099011,15.3798559546,ok,extra_deletion_scenario_range
all,0.2,beta_history,500,500,0,500,-2.12561617678,-1.14130045452,-0.456822508924,ok,extra_deletion_scenario_range
all,0.2,beta_pre_phase_sin,500,500,0,500,-0.475042243168,-0.240362253664,-0.00361943100467,ok,extra_deletion_scenario_range
all,0.2,beta_pre_phase_cos,500,500,0,500,0.308062525289,0.528480482768,0.730125145684,ok,extra_deletion_scenario_range
all,0.2,phase_amplitude,500,500,0,500,0.346259083104,0.591891285237,0.835998736247,ok,extra_deletion_scenario_range
all,0.2,pre_phase_rate_ratio_max_vs_min,500,500,0,500,1.99874663998,3.26670904398,5.32279442769,ok,extra_deletion_scenario_range
all,0.2,change__gain_bits_per_event,500,500,0,500,-0.070814879929,-0.00298726849685,0.0902840778943,ok,extra_deletion_scenario_range
all,0.2,change__LR_statistic,500,500,0,500,-7.579870423,-2.26881960388,4.79737536062,ok,extra_deletion_scenario_range
all,0.2,change__beta_history,500,500,0,500,-0.996247719804,-0.0119319975423,0.672545948055,ok,extra_deletion_scenario_range
all,0.2,change__beta_pre_phase_sin,500,500,0,500,-0.214008544809,0.020671444695,0.257414267354,ok,extra_deletion_scenario_range
all,0.2,change__beta_pre_phase_cos,500,500,0,500,-0.232730634324,-0.0123126768447,0.189331986071,ok,extra_deletion_scenario_range
all,0.2,change__phase_amplitude,500,500,0,500,-0.254237239252,-0.00860503711848,0.235502413892,ok,extra_deletion_scenario_range
all,0.2,change__pre_phase_rate_ratio_max_vs_min,500,500,0,500,-1.32466761553,-0.0567052115296,1.99938017218,ok,extra_deletion_scenario_range
all,0.2,phase_offset_deg,500,500,0,500,-19.1628556111,1.87767240379,25.2575273925,ok,extra_deletion_scenario_range
