event_age_ka,pick_value,source_row,source_excel_row,event_index,event_id,event_label,segment_id,event_age_kyr_bp,event_definition,source,event_role,included_in_response,dataset_id,age_column,pick_column
11.4024076132,1,0,10,1,Barker_S3_010,Barker event 1,Barker2011,11.4024076132,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
14.5729053939,1,1,11,2,Barker_S3_011,Barker event 2,Barker2011,14.5729053939,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
27.9793910081,1,2,12,3,Barker_S3_012,Barker event 3,Barker2011,27.9793910081,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
29.8311524984,1,3,13,4,Barker_S3_013,Barker event 4,Barker2011,29.8311524984,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
32.9197230595,1,4,14,5,Barker_S3_014,Barker event 5,Barker2011,32.9197230595,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
33.8926923077,1,5,15,6,Barker_S3_015,Barker event 6,Barker2011,33.8926923077,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
35.3984236346,1,6,16,7,Barker_S3_016,Barker event 7,Barker2011,35.3984236346,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
37.4592853868,1,7,17,8,Barker_S3_017,Barker event 8,Barker2011,37.4592853868,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
38.5661048711,1,8,18,9,Barker_S3_018,Barker event 9,Barker2011,38.5661048711,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
41.7,1,9,19,10,Barker_S3_019,Barker event 10,Barker2011,41.7,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
43.6936849315,1,10,20,11,Barker_S3_020,Barker event 11,Barker2011,43.6936849315,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
47.5925942118,1,11,21,12,Barker_S3_021,Barker event 12,Barker2011,47.5925942118,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
53.8674035038,1,12,22,13,Barker_S3_022,Barker event 13,Barker2011,53.8674035038,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
57.6590078484,1,13,23,14,Barker_S3_023,Barker event 14,Barker2011,57.6590078484,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
59.3015617412,1,14,24,15,Barker_S3_024,Barker event 15,Barker2011,59.3015617412,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
64.6543499608,1,15,25,16,Barker_S3_025,Barker event 16,Barker2011,64.6543499608,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
71.615009927,1,16,26,17,Barker_S3_026,Barker event 17,Barker2011,71.615009927,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
75.8155294895,1,17,27,18,Barker_S3_027,Barker event 18,Barker2011,75.8155294895,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
83.5829149528,1,18,28,19,Barker_S3_028,Barker event 19,Barker2011,83.5829149528,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
90.6661405442,1,19,29,20,Barker_S3_029,Barker event 20,Barker2011,90.6661405442,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
103.354847951,1,20,30,21,Barker_S3_030,Barker event 21,Barker2011,103.354847951,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
109.77761542,1,21,31,22,Barker_S3_031,Barker event 22,Barker2011,109.77761542,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
125.327908207,1,22,32,23,Barker_S3_032,Barker event 23,Barker2011,125.327908207,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
129.074525891,1,23,33,24,Barker_S3_033,Barker event 24,Barker2011,129.074525891,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
147.366344255,1,24,34,25,Barker_S3_034,Barker event 25,Barker2011,147.366344255,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
149.083232074,1,25,35,26,Barker_S3_035,Barker event 26,Barker2011,149.083232074,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
150.971808676,1,26,36,27,Barker_S3_036,Barker event 27,Barker2011,150.971808676,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
160.694357861,1,27,37,28,Barker_S3_037,Barker event 28,Barker2011,160.694357861,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
164.033523852,1,28,38,29,Barker_S3_038,Barker event 29,Barker2011,164.033523852,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
169.484266842,1,29,39,30,Barker_S3_039,Barker event 30,Barker2011,169.484266842,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
173.182549081,1,30,40,31,Barker_S3_040,Barker event 31,Barker2011,173.182549081,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
176.29481969,1,31,41,32,Barker_S3_041,Barker event 32,Barker2011,176.29481969,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
177.95905641,1,32,42,33,Barker_S3_042,Barker event 33,Barker2011,177.95905641,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
178.65,1,33,43,34,Barker_S3_043,Barker event 34,Barker2011,178.65,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
189.979308092,1,34,44,35,Barker_S3_044,Barker event 35,Barker2011,189.979308092,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
192.67904271,1,35,45,36,Barker_S3_045,Barker event 36,Barker2011,192.67904271,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
199.077123326,1,36,46,37,Barker_S3_046,Barker event 37,Barker2011,199.077123326,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
216.848385107,1,37,47,38,Barker_S3_047,Barker event 38,Barker2011,216.848385107,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
