segment_id,age_kyr_bp,lr04,co2,precession_index,pre_phase_deg,reduced_rate,full_rate
Barker2011,0,3.23,312.716233698,0.016355,162.9,0.292629352862,0.140479265717
Barker2011,0.1,3.23,284.254827111,0.0164985,164.7,0.16968818833,0.0770828660749
Barker2011,0.2,3.23,277.24237925,0.0166285,166.5,0.148364297655,0.0666807112188
Barker2011,0.3,3.23,277.977903158,0.016744,168.3,0.150462909898,0.0680166766089
Barker2011,0.4,3.23,283.470999012,0.0168445,170.1,0.167142522609,0.0767845462658
Barker2011,0.5,3.23,282.147474486,0.01693,171.9,0.162953641143,0.0750635152501
Barker2011,0.6,3.23,278.432805309,0.0169995,173.7,0.151760211208,0.0697936970968
Barker2011,0.7,3.23,282.453262674,0.017053,175.5,0.163895458296,0.0764977775168
Barker2011,0.8,3.23,284.407907565,0.01709,177.3,0.170136528088,0.0802976476525
Barker2011,0.9,3.23,281.040236088,0.01711,179.1,0.159504302852,0.075335176154
Barker2011,1,3.23,277.881603903,0.017113,180.857142857,0.150135624574,0.071016763465
Barker2011,1.1,3.225,279.038712654,0.0170985,182.571428571,0.152427765113,0.0727484521472
Barker2011,1.2,3.22,279.562509066,0.0170665,184.285714286,0.152889147868,0.0735630472559
Barker2011,1.3,3.215,279.130242413,0.0170175,186,0.150569752224,0.0729279699329
Barker2011,1.4,3.21,276.570148061,0.016952,187.714285714,0.142365290271,0.0691411709843
Barker2011,1.5,3.205,279.261475514,0.01687,189.428571429,0.148844592755,0.0733013655454
Barker2011,1.6,3.2,278.51361689,0.016772,191.142857143,0.145701242407,0.0722796387639
Barker2011,1.7,3.195,279.535844222,0.016658,192.857142857,0.147539694514,0.0740282080001
Barker2011,1.8,3.19,278.077635649,0.0165285,194.571428571,0.142471264686,0.0719654148294
Barker2011,1.9,3.185,277.515384615,0.016384,196.285714286,0.139956312302,0.071329948584
Barker2011,2,3.18,277.996583022,0.0162245,198,0.140258982726,0.0723093243615
Barker2011,2.1,3.191,276.890571992,0.0160505,199.714285714,0.139416152691,0.0728915377076
Barker2011,2.2,3.202,276.748603351,0.0158625,201.428571429,0.141158741611,0.0750227513183
Barker2011,2.3,3.213,276.908416722,0.01566,203.142857143,0.14375001191,0.077739224203
Barker2011,2.4,3.224,277.513388244,0.0154435,204.857142857,0.147640434414,0.0813454047513
