driver,driver_label,event_type,event_label,event_index,event_age_ka,orbital_value_at_event,phase_unwrapped_rad,phase_rad,phase_deg,phase_fraction,phase_extrapolated,included_in_pi_response,source_row
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",1,11.4024076132,-0.0196108129897,25.1185016199,6.26894569834,359.184130512,0.997733695866,False,True,0
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",2,14.5729053939,-0.0124999872128,26.0328234896,0.900082260861,51.5709147619,0.143252541005,False,True,1
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",3,29.8311524984,-0.0078560025438,30.372792251,5.24005102228,300.23280801,0.833980022249,False,True,3
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",4,32.9197230595,-0.0150330172192,31.2391342675,6.10639303877,349.87054917,0.971862636583,False,True,4
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",5,33.8926923077,-0.0151834846154,31.4956746571,0.0797481212065,4.56923076923,0.0126923076923,False,True,5
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",6,35.3984236346,-0.0135623532214,31.8460742478,0.430147711941,24.6456484614,0.068460134615,False,True,6
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",7,37.4592853868,-0.00853770096275,32.3256585546,0.909732018668,52.1238051576,0.14478834766,False,True,7
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",8,38.5661048711,-0.00501572658453,32.5832271442,1.16730060834,66.8813982808,0.185781661891,False,True,8
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",9,41.7,0.0052045,33.3125176564,1.8965911205,108.666666667,0.301851851852,False,True,9
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",10,43.6936849315,0.0102918646575,33.7764692071,2.3605426712,135.24913242,0.3756920345,False,True,10
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",11,47.5925942118,0.0138705363732,34.6876420895,3.27171555357,187.455492987,0.520709702741,False,True,11
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",12,53.8674035038,-0.00152387366472,36.1924432173,4.77651668138,273.674246617,0.760206240602,False,True,12
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",13,57.6590078484,-0.0150828707982,37.1017314886,5.6858049527,325.772626924,0.904923963678,False,True,13
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",14,59.3015617412,-0.0180764368019,37.4956425758,6.07971603994,348.342069727,0.967616860352,False,True,14
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",15,64.6543499608,-0.00539494520768,38.9296190384,1.23050719531,70.5028689519,0.195841302644,False,True,15
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",16,71.615009927,0.0240882504963,40.8311458396,3.13203399652,179.452329292,0.498478692478,False,True,16
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",17,75.8155294895,0.00850395242042,41.9987927128,4.29968086974,246.353567089,0.684315464137,False,True,17
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",18,90.6661405442,0.0195895138676,46.090207624,2.10791047371,120.774373735,0.335484371485,False,True,19
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",19,109.77761542,-0.0123898157202,51.5480866849,1.28260422749,73.4878090211,0.204132802836,False,True,21
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",20,125.327908207,-0.0366656808391,56.0811492636,5.81566680615,333.213163047,0.925592119575,False,True,22
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",21,129.074525891,-0.0342966373255,57.1290499325,0.580382167884,33.2534487244,0.0923706909011,False,True,23
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",22,147.366344255,-0.0191435471703,62.0052622039,5.4565944393,312.639831886,0.868443977462,False,True,24
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",23,150.971808676,-0.0281115530594,62.9353804966,0.103527424777,5.93168450358,0.0164769013988,False,True,26
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",24,160.694357861,0.0236180617475,65.3216530822,2.48980001038,142.655032426,0.396263978962,False,True,27
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",25,164.033523852,0.0294209475702,66.1494583083,3.31760523655,190.084778145,0.528013272624,False,True,28
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",26,169.484266842,-0.00135292549116,67.5530660243,4.72121295252,270.505576362,0.751404378783,False,True,29
