realization_id,n_predictive_events,n_predictive_bins,response_exposure_kyr,loglik_reduced,loglik_full,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used,fit_valid,invalid_reason
Barker_MC_00001,70,1993,398.5,-298.382307954,-294.58040487,7.60380616694,0.0223282388948,0.0783569532066,-3.58163081878,-0.116484522784,0.474025768168,346.194001052,2.65449986811,True,True,False,True,
Barker_MC_00002,70,1993,398.5,-301.559746383,-298.646511202,5.82647036318,0.054299775766,0.0600415707061,-1.80429501502,-0.134171229086,0.405700960969,341.700195476,2.35048846683,True,True,False,True,
Barker_MC_00003,70,1993,398.5,-299.417952951,-295.201042228,8.43382144561,0.0147441229037,0.0869102312523,-4.41164609745,-0.259247637457,0.453803940706,330.261676913,2.84416640424,True,True,False,True,
Barker_MC_00004,70,1993,398.5,-297.937746881,-294.754500204,6.36649335437,0.0414508588619,0.0656064885014,-2.34431800621,-0.151045666227,0.422681990238,340.335619908,2.45399919076,True,True,False,True,
Barker_MC_00005,70,1993,398.5,-300.816210363,-297.152437542,7.32754564255,0.0256356114654,0.0755100982885,-3.30537029438,-0.195304271632,0.442406442093,336.18051122,2.63055907311,True,True,False,True,
Barker_MC_00006,70,1993,398.5,-300.728942687,-296.125109402,9.20766657078,0.0100133779465,0.0948846778559,-5.18549122262,-0.246322361994,0.486193972591,333.131679559,2.97446117946,True,True,False,True,
Barker_MC_00007,70,1993,398.5,-300.249263402,-295.980220792,8.53808521987,0.0139951755835,0.0879846657528,-4.5159098717,-0.141438823075,0.504458957509,344.337711254,2.85143961204,True,True,False,True,
Barker_MC_00008,70,1993,398.5,-299.336055569,-296.771259975,5.12959118858,0.0769349057687,0.0528602554968,-1.10741584042,-0.0984517797742,0.383402401335,345.598489426,2.2071059755,True,True,False,True,
Barker_MC_00009,70,1993,398.5,-301.6983268,-297.155887553,9.08487849418,0.0106474032048,0.093619351076,-5.06270314602,-0.183704248873,0.50725432743,340.091936634,2.94170337494,True,True,False,True,
Barker_MC_00010,70,1993,398.5,-298.122093988,-294.310929248,7.62232947888,0.022122397117,0.07854783528,-3.60015413072,-0.229248701711,0.442568335867,332.61601651,2.7097012811,True,True,False,True,
