bootstrap_id,n_events_observation_support,n_events_response,fit_valid,status,solver_attempts,failure_reason,n_events_response_Barker2011,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,gain_bits_per_event,reduced_converged,full_converged,likelihood_nesting_ok,quadrature_order
1,68,67,True,finite_mle,1,,67,-175.39025257,-174.42469155,0.965561020031,1.93112204006,0.0207911954519,True,True,True,4
2,65,64,True,finite_mle,1,,64,-176.05153158,-176.023216433,0.0283151469085,0.056630293817,0.00063828315667,True,True,True,4
3,74,73,True,finite_mle,1,,73,-195.216600509,-195.064120607,0.152479901937,0.304959803873,0.00301345203232,True,True,True,4
4,67,66,True,finite_mle,1,,66,-181.519815478,-179.959835436,1.55998004111,3.11996008221,0.0340996283211,True,True,True,4
5,65,64,True,finite_mle,1,,64,-177.38082026,-176.850223057,0.530597203255,1.06119440651,0.0119607805288,True,True,True,4
6,64,63,True,finite_mle,1,,63,-175.670361127,-175.542383947,0.127977180194,0.255954360387,0.00293066735257,True,True,True,4
7,79,78,True,finite_mle,1,,78,-199.660155755,-198.869835031,0.790320724157,1.58064144831,0.0146178434545,True,True,True,4
8,74,73,True,finite_mle,1,,73,-190.396739231,-189.369876635,1.0268625964,2.0537251928,0.0202938298013,True,True,True,4
9,77,76,True,finite_mle,1,,76,-197.730347869,-195.362307723,2.36804014578,4.73608029155,0.0449521023018,True,True,True,4
10,70,69,True,finite_mle,1,,69,-185.312564502,-183.112592351,2.19997215065,4.39994430129,0.0459983900266,True,True,True,4
11,73,72,True,finite_mle,1,,72,-189.828466926,-189.601742456,0.226724470259,0.453448940517,0.00454297595681,True,True,True,4
12,59,58,True,finite_mle,1,,58,-159.532771751,-158.055570218,1.47720153349,2.95440306698,0.0367439883924,True,True,True,4
13,69,68,True,finite_mle,1,,68,-181.106030668,-176.695610393,4.41042027522,8.82084055045,0.093571933225,True,True,True,4
14,73,72,True,finite_mle,1,,72,-189.640477153,-185.39125924,4.24921791244,8.49843582487,0.085143411249,True,True,True,4
15,75,74,True,finite_mle,1,,74,-193.594697887,-193.124467799,0.47023008726,0.94046017452,0.0091675488509,True,True,True,4
16,69,68,True,finite_mle,1,,68,-177.658218136,-177.026748982,0.631469153315,1.26293830663,0.0133973149406,True,True,True,4
17,80,79,True,finite_mle,1,,79,-201.408796305,-200.772476164,0.636320140305,1.27264028061,0.0116204545675,True,True,True,4
18,73,72,True,finite_mle,1,,72,-180.417027905,-180.240478312,0.176549593188,0.353099186377,0.00353760031339,True,True,True,4
19,79,78,True,finite_mle,1,,78,-197.77706391,-197.5890877,0.187976209471,0.375952418942,0.00347682493857,True,True,True,4
