bootstrap_id,n_events_observation_support,n_events_response,fit_valid,status,solver_attempts,failure_reason,n_events_response_Barker2011,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,gain_bits_per_event,reduced_converged,full_converged,likelihood_nesting_ok,quadrature_order
1,50,49,True,finite_mle,1,,49,-148.267758161,-148.009591918,0.258166243031,0.516332486062,0.00760112568461,True,True,True,4
2,64,63,True,finite_mle,1,,63,-170.352195645,-168.477279977,1.87491566791,3.74983133582,0.0429354212092,True,True,True,4
3,67,66,True,finite_mle,1,,66,-180.464857062,-180.336210973,0.128646088311,0.257292176622,0.00281207687327,True,True,True,4
4,61,60,True,finite_mle,1,,60,-164.526028191,-162.240453211,2.28557498071,4.57114996142,0.0549564615042,True,True,True,4
5,53,52,True,finite_mle,1,,52,-149.926502861,-148.975128912,0.951373948677,1.90274789735,0.0263950476498,True,True,True,4
6,56,55,True,finite_mle,1,,55,-158.510695109,-158.222671336,0.28802377302,0.576047546039,0.00755509943624,True,True,True,4
7,66,65,True,finite_mle,1,,65,-178.529173768,-175.066749965,3.46242380369,6.92484760739,0.0768495638622,True,True,True,4
8,54,53,True,finite_mle,1,,53,-157.781904011,-157.47430987,0.307594140358,0.615188280717,0.00837291586607,True,True,True,4
9,62,61,True,finite_mle,1,,61,-168.695429955,-166.906893172,1.78853678266,3.57707356532,0.0423002155212,True,True,True,4
10,61,60,True,finite_mle,1,,60,-166.143819191,-165.467396082,0.676423109136,1.35284621827,0.0162645377515,True,True,True,4
11,60,59,True,finite_mle,1,,59,-168.145655,-165.08566079,3.05999421024,6.11998842047,0.0748243808857,True,True,True,4
12,47,46,True,finite_mle,1,,46,-134.476217473,-132.585185136,1.89103233765,3.78206467531,0.0593083255586,True,True,True,4
13,69,68,True,finite_mle,1,,68,-184.439281313,-182.70690111,1.73238020386,3.46476040772,0.03675435778,True,True,True,4
14,53,52,True,finite_mle,1,,52,-156.995341158,-153.314642274,3.68069888412,7.36139776825,0.102117808214,True,True,True,4
15,60,59,True,finite_mle,1,,59,-160.619163096,-160.117254955,0.501908141524,1.00381628305,0.0122728879112,True,True,True,4
16,73,72,True,finite_mle,1,,72,-190.768549995,-190.511186377,0.25736361808,0.514727236161,0.00515690577097,True,True,True,4
17,64,63,True,finite_mle,1,,63,-173.939873131,-173.804898567,0.134974564808,0.269949129616,0.00309090690944,True,True,True,4
18,58,57,True,finite_mle,1,,57,-162.293753514,-161.12601572,1.16773779324,2.33547558648,0.0295559565503,True,True,True,4
19,59,58,True,finite_mle,1,,58,-165.928350989,-165.526327959,0.402023029654,0.804046059307,0.00999994191732,True,True,True,4
20,70,69,True,finite_mle,1,,69,-182.898081329,-181.429652414,1.46842891567,2.93685783135,0.030702827747,True,True,True,4
21,68,67,True,finite_mle,1,,67,-182.831370594,-182.617352617,0.214017976556,0.428035953112,0.00460839811102,True,True,True,4
22,60,59,True,finite_mle,1,,59,-166.661431002,-166.094030178,0.567400824074,1.13480164815,0.0138743450015,True,True,True,4
23,69,68,True,finite_mle,1,,68,-185.278305264,-184.584879191,0.693426073029,1.38685214606,0.0147117993644,True,True,True,4
24,68,67,True,finite_mle,1,,67,-181.976050754,-181.653572729,0.322478024653,0.644956049306,0.00694384249198,True,True,True,4
