event_age_ka,pick_value,source_row,source_excel_row,event_index,event_id,event_label,segment_id,event_age_kyr_bp,event_definition,source,event_role,included_in_response
11.4024076132,1,0,10,1,Barker_S3_010,Barker event 1,Barker2011,11.4024076132,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
14.5729053939,1,1,11,2,Barker_S3_011,Barker event 2,Barker2011,14.5729053939,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
29.8311524984,1,3,13,3,Barker_S3_013,Barker event 3,Barker2011,29.8311524984,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
32.9197230595,1,4,14,4,Barker_S3_014,Barker event 4,Barker2011,32.9197230595,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
33.8926923077,1,5,15,5,Barker_S3_015,Barker event 5,Barker2011,33.8926923077,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
35.3984236346,1,6,16,6,Barker_S3_016,Barker event 6,Barker2011,35.3984236346,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
37.4592853868,1,7,17,7,Barker_S3_017,Barker event 7,Barker2011,37.4592853868,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
38.5661048711,1,8,18,8,Barker_S3_018,Barker event 8,Barker2011,38.5661048711,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
41.7,1,9,19,9,Barker_S3_019,Barker event 9,Barker2011,41.7,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
43.6936849315,1,10,20,10,Barker_S3_020,Barker event 10,Barker2011,43.6936849315,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
47.5925942118,1,11,21,11,Barker_S3_021,Barker event 11,Barker2011,47.5925942118,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
53.8674035038,1,12,22,12,Barker_S3_022,Barker event 12,Barker2011,53.8674035038,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
57.6590078484,1,13,23,13,Barker_S3_023,Barker event 13,Barker2011,57.6590078484,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
59.3015617412,1,14,24,14,Barker_S3_024,Barker event 14,Barker2011,59.3015617412,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
64.6543499608,1,15,25,15,Barker_S3_025,Barker event 15,Barker2011,64.6543499608,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
71.615009927,1,16,26,16,Barker_S3_026,Barker event 16,Barker2011,71.615009927,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
75.8155294895,1,17,27,17,Barker_S3_027,Barker event 17,Barker2011,75.8155294895,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
90.6661405442,1,19,29,18,Barker_S3_029,Barker event 18,Barker2011,90.6661405442,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
109.77761542,1,21,31,19,Barker_S3_031,Barker event 19,Barker2011,109.77761542,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
125.327908207,1,22,32,20,Barker_S3_032,Barker event 20,Barker2011,125.327908207,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
