replicate_id,seed,fit_valid,invalid_reason,n_response_events,ks_uniform,adjacent_dependence,n_intervals,n_adjacent_pairs,residual_status
1,20260917,True,,68,0.0998731805267,0.0194089683196,68,67,ok
2,20260917,True,,67,0.0578019776541,0.0277594020675,67,66,ok
3,20260917,True,,69,0.0618256850164,0.0544649642507,69,68,ok
4,20260917,True,,80,0.0725242601982,0.0890237351211,80,79,ok
5,20260917,True,,71,0.0651774697442,0.101869929949,71,70,ok
6,20260917,True,,77,0.0491369929835,0.0535661478958,77,76,ok
7,20260917,True,,77,0.0745845898917,0.0784710425173,77,76,ok
8,20260917,True,,70,0.0874386535753,0.0714183907329,70,69,ok
9,20260917,True,,55,0.0811157896313,0.0250153424383,55,54,ok
10,20260917,True,,63,0.0751730351842,0.0056947765106,63,62,ok
11,20260917,True,,62,0.0841493304631,0.0116426997867,62,61,ok
12,20260917,True,,70,0.0870317723357,0.0538539734521,70,69,ok
13,20260917,True,,64,0.0617092820453,0.0701324642135,64,63,ok
14,20260917,True,,75,0.0469972314549,0.00674615948929,75,74,ok
15,20260917,True,,67,0.0446105007667,0.111187674937,67,66,ok
16,20260917,True,,69,0.0549694814964,0.0965227981253,69,68,ok
17,20260917,True,,73,0.047917047362,0.0341650800334,73,72,ok
18,20260917,True,,77,0.125353896895,0.0955440651544,77,76,ok
19,20260917,True,,59,0.108195022814,0.0211883219661,59,58,ok
20,20260917,True,,64,0.065264558444,0.0559020196306,64,63,ok
21,20260917,True,,65,0.11188959066,0.0424278738411,65,64,ok
22,20260917,True,,58,0.0962119243583,0.041917967353,58,57,ok
23,20260917,True,,67,0.0767699576516,0.0946992807195,67,66,ok
24,20260917,True,,65,0.0818617267604,0.264413302117,65,64,ok
25,20260917,True,,60,0.110911054377,0.0703163294187,60,59,ok
26,20260917,True,,54,0.0708698336153,0.0383225819124,54,53,ok
27,20260917,True,,61,0.0939509048033,0.0675156858955,61,60,ok
28,20260917,True,,63,0.0660921623749,0.0446503495271,63,62,ok
29,20260917,True,,70,0.0835216921516,0.051488152497,70,69,ok
30,20260917,True,,69,0.0572045335076,0.197578494986,69,68,ok
31,20260917,True,,76,0.0829902522662,0.021510736818,76,75,ok
32,20260917,True,,76,0.0612255651006,0.0404539030506,76,75,ok
33,20260917,True,,70,0.064076695111,0.118324008435,70,69,ok
34,20260917,True,,66,0.0697636111195,0.124258295782,66,65,ok
35,20260917,True,,70,0.0942082713637,0.00352087351941,70,69,ok
36,20260917,True,,79,0.0461300120044,0.0618554090309,79,78,ok
37,20260917,True,,71,0.094179208575,0.115784384015,71,70,ok
38,20260917,True,,72,0.0572691946178,0.0656688994924,72,71,ok
39,20260917,True,,70,0.0528708773553,0.0838794599211,70,69,ok
40,20260917,True,,65,0.045392450844,0.0538539170449,65,64,ok
41,20260917,True,,65,0.0584709887934,0.0496122559869,65,64,ok
42,20260917,True,,67,0.0784902458221,0.0105251122041,67,66,ok
43,20260917,True,,56,0.0730786999889,0.071046422202,56,55,ok
44,20260917,True,,77,0.0562663553126,0.0189212626125,77,76,ok
45,20260917,True,,69,0.0542646809106,0.037433113978,69,68,ok
46,20260917,True,,57,0.10599942396,0.0698391582349,57,56,ok
47,20260917,True,,70,0.0694694519418,0.00989285270528,70,69,ok
48,20260917,True,,69,0.0460677218232,0.192042383555,69,68,ok
49,20260917,True,,70,0.0467284868969,0.0123425976672,70,69,ok
50,20260917,True,,56,0.0734977195302,0.0123790891322,56,55,ok
51,20260917,True,,65,0.0793032344462,0.101873540249,65,64,ok
52,20260917,True,,71,0.101653026879,0.0189406253866,71,70,ok
53,20260917,True,,65,0.0540470139297,0.0256218346583,65,64,ok
54,20260917,True,,64,0.0539421539033,0.0726524175575,64,63,ok
55,20260917,True,,72,0.0746247130721,0.100975220013,72,71,ok
56,20260917,True,,57,0.0686082351158,0.00115130146845,57,56,ok
57,20260917,True,,59,0.099050557416,0.0242492701465,59,58,ok
58,20260917,True,,74,0.0817793649597,0.0310455926746,74,73,ok
59,20260917,True,,57,0.0684660922194,0.0256034382797,57,56,ok
60,20260917,True,,74,0.104557614911,0.129752551694,74,73,ok
61,20260917,True,,58,0.0675442135633,0.0276702689749,58,57,ok
62,20260917,True,,65,0.0604669234198,0.0273232799253,65,64,ok
63,20260917,True,,75,0.0789188803643,0.0537423060644,75,74,ok
64,20260917,True,,78,0.0517997227928,0.0412477193484,78,77,ok
65,20260917,True,,63,0.111227169614,0.109256761857,63,62,ok
66,20260917,True,,69,0.0864418673281,0.0551320247853,69,68,ok
67,20260917,True,,73,0.10477540644,0.0477428985149,73,72,ok
68,20260917,True,,70,0.0887794970235,0.0462280051939,70,69,ok
69,20260917,True,,69,0.0641024363722,0.0216257647949,69,68,ok
70,20260917,True,,79,0.120959733973,0.0843533901675,79,78,ok
71,20260917,True,,76,0.0820387586106,0.0465944086473,76,75,ok
72,20260917,True,,62,0.0881725527476,0.16360148203,62,61,ok
73,20260917,True,,70,0.060334237256,0.110885395844,70,69,ok
74,20260917,True,,55,0.108487122112,0.229402407099,55,54,ok
75,20260917,True,,61,0.121432125396,0.0794022400449,61,60,ok
76,20260917,True,,66,0.0725375855877,0.0976014263132,66,65,ok
