comparison_id,driver_id,comparison_group,reduced_model_id,full_model_id,df,n_events,exposure_kyr,point_fit_valid,point_invalid_reason,holm_nominal_p_point,n_mc_total,n_mc_valid,n_mc_invalid,gain_bits_per_event_point,gain_bits_per_event_q025,gain_bits_per_event_median,gain_bits_per_event_q975,LR_statistic_point,LR_statistic_q025,LR_statistic_median,LR_statistic_q975,nominal_p_point,nominal_p_q025,nominal_p_median,nominal_p_q975,delta_AIC_point,delta_AIC_q025,delta_AIC_median,delta_AIC_q975
phase_reference,pre,reference,B,BP,2,69,396.46426387771527,True,,,500,500,0,0.11063255270469788,0.07162482748331941,0.09893135152698179,0.13059255424954222,10.582480593986702,6.851223517485437,9.463210258427893,12.491740787666483,0.005035510855959159,0.001938498994504506,0.008812451472734092,0.032529424998382,-6.582480593986702,-8.491740787666483,-5.4632102584278925,-2.851223517485437
ecc_after_base,ecc,driver_after_base,B,B_ecc,1,69,396.46426387771527,True,,1.0,500,500,0,0.010333643084115758,0.006890765111298548,0.009502389952411466,0.012613042487068453,0.9884575084761309,0.6591313884140447,0.9089445629651323,1.2064918876708133,0.32011966532854746,0.27202869390001766,0.34039486083462184,0.41686686213031593,1.011542491523869,0.7935081123291866,1.0910554370348677,1.3408686115859552
ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,69,396.46426387771527,True,,1.0,500,500,0,0.0036047660498737537,0.0017687688582922415,0.003626389227415778,0.006575737152639822,0.3448114125186521,0.1691903663118751,0.3468797626662763,0.6289976061088695,0.5570650623838742,0.42772327613255423,0.5558847586700895,0.680835464273862,1.655188587481348,1.3710023938911307,1.6531202373337237,1.8308096336881248
phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,69,396.46426387771527,True,,0.055577562722209324,500,500,0,0.10390367567045587,0.06714853179891639,0.09316827696747856,0.1235499792323629,9.938834498029223,6.423046538331905,8.911947332673748,11.818088127314995,0.0069471953402761655,0.002714805607898805,0.011609174489419474,0.04029518699858223,-5.938834498029223,-7.818088127314996,-4.911947332673748,-2.423046538331904
obl_after_base,obl,driver_after_base,B,B_obl,1,69,396.46426387771527,True,,1.0,500,500,0,0.0012906641863090363,9.994410865444787e-05,0.0011533324912542183,0.0034041907414702165,0.12345759336699302,0.009560084843582218,0.1103212247094234,0.3256255196062923,0.7253142908232819,0.5682465300046733,0.7397788909195396,0.9221227087765266,1.876542406633007,1.6743744803937077,1.8896787752905766,1.9904399151564178
obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,69,396.46426387771527,True,,1.0,500,500,0,0.005637884823571213,0.0018095909751934822,0.005125712139466332,0.010263684822994286,0.5392879878296526,0.1730951777742476,0.4902964626609503,0.981765699215586,0.46272795723391313,0.32176395502004623,0.48379509684098543,0.6774426179160069,1.4607120121703474,1.018234300784414,1.5097035373390497,1.826904822225752
phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,69,396.46426387771527,True,,0.036812017784509696,500,500,0,0.11497977334196005,0.07436676010710819,0.10281397195259026,0.13584369945553912,10.998310988449362,7.113501193195541,9.834599639792799,12.994035463872653,0.004090224198278855,0.0015079570792240397,0.007318866662201185,0.028531617800746038,-6.9983109884493615,-8.994035463872653,-5.834599639792799,-3.1135011931955408
insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,69,396.46426387771527,True,,0.09748885235736496,500,500,0,0.06322115448447348,0.037370413474892124,0.059128864510327825,0.0832614937503673,6.04737596760674,3.5746411496343597,5.655930790056175,7.964320810634171,0.013926978908194994,0.004770848226087002,0.017396511161884877,0.05867090960415613,-4.04737596760674,-5.964320810634172,-3.655930790056175,-1.5746411496343604
insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,69,396.46426387771527,True,,1.0,500,500,0,0.002167366289666582,5.391993813021681e-05,0.0017034482458056,0.007422972054216171,0.2073179289433824,0.005157674526547853,0.16294216813577123,0.7100392768042183,0.6488777549830318,0.3994316731775991,0.6864620545894008,0.942888196711918,1.7926820710566176,1.2899607231957817,1.8370578318642288,1.9948423254734522
phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,69,396.46426387771527,True,,0.5602053822720069,500,500,0,0.049578764509890974,0.024984126066563833,0.041211984184796005,0.061029400203207525,4.742422555323344,2.3898393627674284,3.9421039487301925,5.8377252221322635,0.09336756371200115,0.05399563138397959,0.13931029185349533,0.3027460535552744,-0.7424225553233441,-1.8377252221322635,0.05789605126980746,1.610160637232571
