event_age_ka,pick_value,source_row,source_excel_row,event_index,event_id,event_label,segment_id,event_age_kyr_bp,event_definition,source,event_role,included_in_response
11.402407613184174,1.0,0,10,1,Barker_S3_010,Barker event 1,Barker2011,11.402407613184174,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
14.572905393916493,1.0,1,11,2,Barker_S3_011,Barker event 2,Barker2011,14.572905393916493,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
27.9793910080915,1.0,2,12,3,Barker_S3_012,Barker event 3,Barker2011,27.9793910080915,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
29.831152498377676,1.0,3,13,4,Barker_S3_013,Barker event 4,Barker2011,29.831152498377676,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
32.919723059451826,1.0,4,14,5,Barker_S3_014,Barker event 5,Barker2011,32.919723059451826,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
33.89269230769231,1.0,5,15,6,Barker_S3_015,Barker event 6,Barker2011,33.89269230769231,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
35.39842363460608,1.0,6,16,7,Barker_S3_016,Barker event 7,Barker2011,35.39842363460608,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
37.459285386819474,1.0,7,17,8,Barker_S3_017,Barker event 8,Barker2011,37.459285386819474,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
38.56610487106016,1.0,8,18,9,Barker_S3_018,Barker event 9,Barker2011,38.56610487106016,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
41.7,1.0,9,19,10,Barker_S3_019,Barker event 10,Barker2011,41.7,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
43.69368493150685,1.0,10,20,11,Barker_S3_020,Barker event 11,Barker2011,43.69368493150685,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
47.59259421182266,1.0,11,21,12,Barker_S3_021,Barker event 12,Barker2011,47.59259421182266,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
53.86740350377438,1.0,12,22,13,Barker_S3_022,Barker event 13,Barker2011,53.86740350377438,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
57.659007848363686,1.0,13,23,14,Barker_S3_023,Barker event 14,Barker2011,57.659007848363686,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
59.30156174121076,1.0,14,24,15,Barker_S3_024,Barker event 15,Barker2011,59.30156174121076,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
64.65434996081451,1.0,15,25,16,Barker_S3_025,Barker event 16,Barker2011,64.65434996081451,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
71.61500992699125,1.0,16,26,17,Barker_S3_026,Barker event 17,Barker2011,71.61500992699125,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
75.81552948948948,1.0,17,27,18,Barker_S3_027,Barker event 18,Barker2011,75.81552948948948,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
83.58291495284391,1.0,18,28,19,Barker_S3_028,Barker event 19,Barker2011,83.58291495284391,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
90.66614054416556,1.0,19,29,20,Barker_S3_029,Barker event 20,Barker2011,90.66614054416556,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
103.35484795138207,1.0,20,30,21,Barker_S3_030,Barker event 21,Barker2011,103.35484795138207,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
109.77761542012928,1.0,21,31,22,Barker_S3_031,Barker event 22,Barker2011,109.77761542012928,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
125.32790820673185,1.0,22,32,23,Barker_S3_032,Barker event 23,Barker2011,125.32790820673185,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
129.07452589072466,1.0,23,33,24,Barker_S3_033,Barker event 24,Barker2011,129.07452589072466,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
147.36634425456978,1.0,24,34,25,Barker_S3_034,Barker event 25,Barker2011,147.36634425456978,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
149.0832320742082,1.0,25,35,26,Barker_S3_035,Barker event 26,Barker2011,149.0832320742082,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
150.97180867581042,1.0,26,36,27,Barker_S3_036,Barker event 27,Barker2011,150.97180867581042,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
160.69435786143114,1.0,27,37,28,Barker_S3_037,Barker event 28,Barker2011,160.69435786143114,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
164.03352385202012,1.0,28,38,29,Barker_S3_038,Barker event 29,Barker2011,164.03352385202012,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
169.48426684230336,1.0,29,39,30,Barker_S3_039,Barker event 30,Barker2011,169.48426684230336,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
173.18254908054905,1.0,30,40,31,Barker_S3_040,Barker event 31,Barker2011,173.18254908054905,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
176.294819690442,1.0,31,41,32,Barker_S3_041,Barker event 32,Barker2011,176.294819690442,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
177.9590564102564,1.0,32,42,33,Barker_S3_042,Barker event 33,Barker2011,177.9590564102564,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
178.65,1.0,33,43,34,Barker_S3_043,Barker event 34,Barker2011,178.65,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
189.97930809248555,1.0,34,44,35,Barker_S3_044,Barker event 35,Barker2011,189.97930809248555,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
192.67904271003977,1.0,35,45,36,Barker_S3_045,Barker event 36,Barker2011,192.67904271003977,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
199.07712332556784,1.0,36,46,37,Barker_S3_046,Barker event 37,Barker2011,199.07712332556784,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
216.8483851073425,1.0,37,47,38,Barker_S3_047,Barker event 38,Barker2011,216.8483851073425,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
226.71390956408098,1.0,38,48,39,Barker_S3_048,Barker event 39,Barker2011,226.71390956408098,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
229.5815786411596,1.0,39,49,40,Barker_S3_049,Barker event 40,Barker2011,229.5815786411596,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
232.02721911054135,1.0,40,50,41,Barker_S3_050,Barker event 41,Barker2011,232.02721911054135,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
242.4522797554482,1.0,41,51,42,Barker_S3_051,Barker event 42,Barker2011,242.4522797554482,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
243.88598166641825,1.0,42,52,43,Barker_S3_052,Barker event 43,Barker2011,243.88598166641825,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
248.50922296641428,1.0,43,53,44,Barker_S3_053,Barker event 44,Barker2011,248.50922296641428,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
251.8764368154625,1.0,44,54,45,Barker_S3_054,Barker event 45,Barker2011,251.8764368154625,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
257.6451326277037,1.0,45,55,46,Barker_S3_055,Barker event 46,Barker2011,257.6451326277037,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
259.51836226415094,1.0,46,56,47,Barker_S3_056,Barker event 47,Barker2011,259.51836226415094,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
261.9851063719653,1.0,47,57,48,Barker_S3_057,Barker event 48,Barker2011,261.9851063719653,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
264.30493887083725,1.0,48,58,49,Barker_S3_058,Barker event 49,Barker2011,264.30493887083725,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
276.9088177368622,1.0,49,59,50,Barker_S3_059,Barker event 50,Barker2011,276.9088177368622,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
278.80551795456495,1.0,50,60,51,Barker_S3_060,Barker event 51,Barker2011,278.80551795456495,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
281.47721396014634,1.0,51,61,52,Barker_S3_061,Barker event 52,Barker2011,281.47721396014634,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
291.42979144658676,1.0,52,62,53,Barker_S3_062,Barker event 53,Barker2011,291.42979144658676,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
297.52778461963123,1.0,53,63,54,Barker_S3_063,Barker event 54,Barker2011,297.52778461963123,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
301.83105070495697,1.0,54,64,55,Barker_S3_064,Barker event 55,Barker2011,301.83105070495697,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
306.8889179521644,1.0,55,65,56,Barker_S3_065,Barker event 56,Barker2011,306.8889179521644,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
317.7801584879551,1.0,56,66,57,Barker_S3_066,Barker event 57,Barker2011,317.7801584879551,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
327.90134618362464,1.0,57,67,58,Barker_S3_067,Barker event 58,Barker2011,327.90134618362464,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
334.8609458364278,1.0,58,68,59,Barker_S3_068,Barker event 59,Barker2011,334.8609458364278,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
335.20995230869227,1.0,59,69,60,Barker_S3_069,Barker event 60,Barker2011,335.20995230869227,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
335.743726913332,1.0,60,70,61,Barker_S3_070,Barker event 61,Barker2011,335.743726913332,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
336.25253465346543,1.0,61,71,62,Barker_S3_071,Barker event 62,Barker2011,336.25253465346543,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
349.3827409805063,1.0,62,72,63,Barker_S3_072,Barker event 63,Barker2011,349.3827409805063,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
351.12312290502797,1.0,63,73,64,Barker_S3_073,Barker event 64,Barker2011,351.12312290502797,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
366.8049739836804,1.0,64,74,65,Barker_S3_074,Barker event 65,Barker2011,366.8049739836804,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
372.804462591687,1.0,65,75,66,Barker_S3_075,Barker event 66,Barker2011,372.804462591687,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
378.1905631536605,1.0,66,76,67,Barker_S3_076,Barker event 67,Barker2011,378.1905631536605,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
387.3781174577635,1.0,67,77,68,Barker_S3_077,Barker event 68,Barker2011,387.3781174577635,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
392.2456958970233,1.0,68,78,69,Barker_S3_078,Barker event 69,Barker2011,392.2456958970233,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
396.4642638777152,1.0,69,79,70,Barker_S3_079,Barker event 70,Barker2011,396.4642638777152,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,conditioning,False
