comparison_id,driver_id,comparison_group,reduced_model_id,full_model_id,df,loglik_reduced,loglik_full,ll_gain_nats,gain_bits_per_event,LR_statistic,nominal_p,delta_AIC,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,exposure_kyr,holm_nominal_p,realization_id
phase_reference,pre,reference,B,BP,2,-183.23284078242884,-178.1637252561031,5.0691155263257315,0.10598822944236783,10.138231052651463,0.006287979234099787,-6.138231052651463,True,,True,69,395.45197696926573,,Barker_MC_01858
ecc_after_base,ecc,driver_after_base,B,B_ecc,1,-183.23284078242884,-182.72973540303568,0.5031053793931619,0.010519241099928625,1.0062107587863238,0.3158123384514337,0.9937892412136762,True,,True,69,395.45197696926573,1.0,Barker_MC_01858
ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,-178.1637252561031,-177.99991336975717,0.16381188634593968,0.0034250811024630966,0.32762377269187937,0.567061658217678,1.6723762273081206,True,,True,69,395.45197696926573,1.0,Barker_MC_01858
phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,-182.72973540303568,-177.99991336975717,4.729822033278509,0.0988940694449023,9.459644066557019,0.008828041997624964,-5.4596440665570185,True,,True,69,395.45197696926573,0.07062433598099971,Barker_MC_01858
obl_after_base,obl,driver_after_base,B,B_obl,1,-183.23284078242884,-183.20883393560572,0.024006846823112937,0.0005019501283925507,0.048013693646225875,0.8265563596205405,1.9519863063537741,True,,True,69,395.45197696926573,1.0,Barker_MC_01858
obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,-178.1637252561031,-177.98931690884464,0.17440834725846344,0.003646638517093122,0.3488166945169269,0.5547837360843249,1.6511833054830731,True,,True,69,395.45197696926573,1.0,Barker_MC_01858
phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,-183.20883393560572,-177.98931690884464,5.219517026761082,0.1091329178310684,10.439034053522164,0.005409941352469908,-6.439034053522164,True,,True,69,395.45197696926573,0.04868947217222917,Barker_MC_01858
insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,-183.23284078242884,-180.52746332036676,2.7053774620620743,0.056565719539851074,5.410754924124149,0.020013059333884614,-3.4107549241241486,True,,True,69,395.45197696926573,0.1400914153371923,Barker_MC_01858
insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,-178.1637252561031,-178.10743590210328,0.05628935399982993,0.0011769329256579417,0.11257870799965985,0.7372271984357628,1.8874212920003401,True,,True,69,395.45197696926573,1.0,Barker_MC_01858
phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,-180.52746332036676,-178.10743590210328,2.420027418263487,0.0505994428281747,4.840054836526974,0.08891917941647273,-0.8400548365269742,True,,True,69,395.45197696926573,0.5335150764988363,Barker_MC_01858
phase_reference,pre,reference,B,BP,2,-184.00901385814606,-178.84827649645058,5.160737361695482,0.10790391592823861,10.321474723390963,0.005737467536743044,-6.321474723390963,True,,True,69,397.3340331800565,,Barker_MC_05740
ecc_after_base,ecc,driver_after_base,B,B_ecc,1,-184.00901385814606,-183.57172179732282,0.4372920608232391,0.009143175182171044,0.8745841216464783,0.34968934826215803,1.1254158783535217,True,,True,69,397.3340331800565,1.0,Barker_MC_05740
ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,-178.84827649645058,-178.69466544673313,0.15361104971745476,0.0032117956471466665,0.3072220994349095,0.5793898398217162,1.6927779005650905,True,,True,69,397.3340331800565,1.0,Barker_MC_05740
phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,-183.57172179732282,-178.69466544673313,4.877056350589697,0.10197253639321423,9.754112701179395,0.007619409920095976,-5.754112701179395,True,,True,69,397.3340331800565,0.060955279360767806,Barker_MC_05740
obl_after_base,obl,driver_after_base,B,B_obl,1,-184.00901385814606,-183.8908367727095,0.1181770854365709,0.0024709202189282923,0.2363541708731418,0.6268518150019037,1.7636458291268582,True,,True,69,397.3340331800565,1.0,Barker_MC_05740
obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,-178.84827649645058,-178.45834534906444,0.389931147386136,0.008152923661190171,0.779862294772272,0.377183258245236,1.220137705227728,True,,True,69,397.3340331800565,1.0,Barker_MC_05740
phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,-183.8908367727095,-178.45834534906444,5.432491423645047,0.11358591937050048,10.864982847290094,0.004372189246215408,-6.864982847290094,True,,True,69,397.3340331800565,0.03934970321593867,Barker_MC_05740
insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,-184.00901385814606,-180.85710970475833,3.1519041533877328,0.06590197813695375,6.3038083067754656,0.01204788738194154,-4.3038083067754656,True,,True,69,397.3340331800565,0.08433521167359077,Barker_MC_05740
insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,-178.84827649645058,-178.71523116539464,0.1330453310559392,0.002781794772867157,0.2660906621118784,0.6059663275908778,1.7339093378881216,True,,True,69,397.3340331800565,1.0,Barker_MC_05740
phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,-180.85710970475833,-178.71523116539464,2.141878539363688,0.044783732564152016,4.283757078727376,0.11743403123458675,-0.2837570787273762,True,,True,69,397.3340331800565,0.7046041874075205,Barker_MC_05740
phase_reference,pre,reference,B,BP,2,-184.82108567563893,-179.51669016470336,5.304395510935564,0.11090761012377416,10.608791021871127,0.004969701450819362,-6.608791021871127,True,,True,69,395.5633496454559,,Barker_MC_01950
ecc_after_base,ecc,driver_after_base,B,B_ecc,1,-184.82108567563893,-184.24907924007618,0.5720064355627414,0.011959867361491877,1.1440128711254829,0.2848059817555255,0.8559871288745171,True,,True,69,395.5633496454559,1.0,Barker_MC_01950
ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,-179.51669016470336,-179.28345172582135,0.23323843888201168,0.004876694769851621,0.46647687776402336,0.49461245016866895,1.5335231222359766,True,,True,69,395.5633496454559,1.0,Barker_MC_01950
phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,-184.24907924007618,-179.28345172582135,4.965627514254834,0.1038244375321339,9.931255028509668,0.006973573319141641,-5.931255028509668,True,,True,69,395.5633496454559,0.05578858655313313,Barker_MC_01950
obl_after_base,obl,driver_after_base,B,B_obl,1,-184.82108567563893,-184.78133959908595,0.03974607655297291,0.0008310357614169148,0.07949215310594582,0.7779868121628271,1.9205078468940542,True,,True,69,395.5633496454559,1.0,Barker_MC_01950
obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,-179.51669016470336,-179.32596162820607,0.19072853649728927,0.003987871213922448,0.38145707299457854,0.5368244653544185,1.6185429270054215,True,,True,69,395.5633496454559,1.0,Barker_MC_01950
phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,-184.78133959908595,-179.32596162820607,5.45537797087988,0.11406444557627969,10.91075594175976,0.0042732613080943,-6.91075594175976,True,,True,69,395.5633496454559,0.0384593517728487,Barker_MC_01950
insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,-184.82108567563893,-181.7155167271507,3.1055689484882123,0.06493317276989415,6.211137896976425,0.012694900189522743,-4.211137896976425,True,,True,69,395.5633496454559,0.0888643013266592,Barker_MC_01950
insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,-179.51669016470336,-179.44458146405782,0.07210870064554342,0.0015076936931343809,0.14421740129108684,0.7041238276595274,1.8557825987089132,True,,True,69,395.5633496454559,1.0,Barker_MC_01950
phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,-181.7155167271507,-179.44458146405782,2.2709352630928947,0.04748213104701438,4.5418705261857895,0.10321560118440166,-0.5418705261857895,True,,True,69,395.5633496454559,0.61929360710641,Barker_MC_01950
phase_reference,pre,reference,B,BP,2,-184.3449969599816,-178.86966205349773,5.475334906483852,0.11448171763464476,10.950669812967703,0.004188825450241083,-6.950669812967703,True,,True,69,396.721338578257,,Barker_MC_08028
ecc_after_base,ecc,driver_after_base,B,B_ecc,1,-184.3449969599816,-183.8639920438735,0.48100491610807694,0.010057150827714993,0.9620098322161539,0.3266810209650033,1.0379901677838461,True,,True,69,396.721338578257,1.0,Barker_MC_08028
ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,-178.86966205349773,-178.70503586862066,0.16462618487707914,0.0034421069640961123,0.3292523697541583,0.5660996518114021,1.6707476302458417,True,,True,69,396.721338578257,1.0,Barker_MC_08028
phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,-183.8639920438735,-178.70503586862066,5.158956175252854,0.10786667377102589,10.317912350505708,0.005747696142957571,-6.317912350505708,True,,True,69,396.721338578257,0.04598156914366057,Barker_MC_08028
obl_after_base,obl,driver_after_base,B,B_obl,1,-184.3449969599816,-184.26849580688884,0.07650115309274952,0.0015995338288289436,0.15300230618549904,0.6956826003200125,1.846997693814501,True,,True,69,396.721338578257,1.0,Barker_MC_08028
obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,-178.86966205349773,-178.57408418787148,0.29557786562625665,0.0061801263903702155,0.5911557312525133,0.441972552295817,1.4088442687474867,True,,True,69,396.721338578257,1.0,Barker_MC_08028
phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,-184.26849580688884,-178.57408418787148,5.694411619017359,0.11906231019618604,11.388823238034718,0.0033647163319183364,-7.388823238034718,True,,True,69,396.721338578257,0.030282446987265028,Barker_MC_08028
insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,-184.3449969599816,-181.6249802107256,2.72001674925599,0.05687180688821066,5.44003349851198,0.019680292019806405,-3.44003349851198,True,,True,69,396.721338578257,0.13776204413864485,Barker_MC_08028
insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,-178.86966205349773,-178.80247970526887,0.0671823482288687,0.0014046904438415118,0.1343646964577374,0.7139488138851371,1.8656353035422626,True,,True,69,396.721338578257,1.0,Barker_MC_08028
phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,-181.6249802107256,-178.80247970526887,2.8225005054567305,0.059014601190275615,5.645001010913461,0.05945708391262031,-1.645001010913461,True,,True,69,396.721338578257,0.35674250347572184,Barker_MC_08028
phase_reference,pre,reference,B,BP,2,-184.84076985401498,-178.70025356065807,6.14051629335691,0.128389744998897,12.28103258671382,0.002153811332706377,-8.28103258671382,True,,True,69,395.4293983354876,,Barker_MC_08732
ecc_after_base,ecc,driver_after_base,B,B_ecc,1,-184.84076985401498,-184.42125300030227,0.4195168537127074,0.00877152006406759,0.8390337074254148,0.3596732772678165,1.1609662925745852,True,,True,69,395.4293983354876,1.0,Barker_MC_08732
ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,-178.70025356065807,-178.57975104431108,0.12050251634698839,0.0025195417789629186,0.24100503269397677,0.6234811677532339,1.7589949673060232,True,,True,69,395.4293983354876,1.0,Barker_MC_08732
phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,-184.42125300030227,-178.57975104431108,5.841501955991191,0.12213776671379234,11.683003911982382,0.0029044769515493207,-7.683003911982382,True,,True,69,395.4293983354876,0.023235815612394566,Barker_MC_08732
obl_after_base,obl,driver_after_base,B,B_obl,1,-184.84076985401498,-184.81549056179006,0.025279292224922756,0.0005285552105808549,0.05055858444984551,0.8220941303357193,1.9494414155501545,True,,True,69,395.4293983354876,1.0,Barker_MC_08732
obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,-178.70025356065807,-178.45279036740925,0.24746319324881938,0.005174114807284332,0.49492638649763876,0.48173794762406985,1.5050736135023612,True,,True,69,395.4293983354876,1.0,Barker_MC_08732
phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,-184.81549056179006,-178.45279036740925,6.362700194380807,0.13303530459560048,12.725400388761614,0.0017247033843581785,-8.725400388761614,True,,True,69,395.4293983354876,0.015522330459223606,Barker_MC_08732
insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,-184.84076985401498,-180.9716991230793,3.8690707309356753,0.08089694429521066,7.738141461871351,0.005406641941124893,-5.738141461871351,True,,True,69,395.4293983354876,0.03784649358787425,Barker_MC_08732
insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,-178.70025356065807,-178.5550330163847,0.1452205442733714,0.003036361725483899,0.2904410885467428,0.5899380089598087,1.7095589114532572,True,,True,69,395.4293983354876,1.0,Barker_MC_08732
phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,-180.9716991230793,-178.5550330163847,2.4166661066946062,0.050529162429170243,4.8333322133892125,0.08921856736915108,-0.8333322133892125,True,,True,69,395.4293983354876,0.5353114042149065,Barker_MC_08732
phase_reference,pre,reference,B,BP,2,-185.54449110406932,-180.01875544495485,5.525735659114474,0.11553552800967767,11.051471318228948,0.0039829375297961685,-7.051471318228948,True,,True,69,396.8909948742222,,Barker_MC_06901
ecc_after_base,ecc,driver_after_base,B,B_ecc,1,-185.54449110406932,-185.07113498083825,0.47335612323107057,0.009897225095070877,0.9467122464621411,0.33055758095709503,1.0532877535378589,True,,True,69,396.8909948742222,1.0,Barker_MC_06901
ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,-180.01875544495485,-179.84264010225314,0.17611534270170637,0.003682329442611769,0.35223068540341274,0.552853101308564,1.6477693145965873,True,,True,69,396.8909948742222,1.0,Barker_MC_06901
phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,-185.07113498083825,-179.84264010225314,5.22849487858511,0.10932063235721856,10.45698975717022,0.005361589075194157,-6.45698975717022,True,,True,69,396.8909948742222,0.04289271260155326,Barker_MC_06901
obl_after_base,obl,driver_after_base,B,B_obl,1,-185.54449110406932,-185.45325984741243,0.09123125665689713,0.0019075200225068655,0.18246251331379426,0.6692654809668681,1.8175374866862057,True,,True,69,396.8909948742222,1.0,Barker_MC_06901
obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,-180.01875544495485,-179.65811375487635,0.360641690078495,0.007540521417595061,0.72128338015699,0.3957232596192516,1.27871661984301,True,,True,69,396.8909948742222,1.0,Barker_MC_06901
phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,-185.45325984741243,-179.65811375487635,5.795146092536072,0.12116852940476587,11.590292185072144,0.0030422859389543323,-7.590292185072144,True,,True,69,396.8909948742222,0.02738057345058899,Barker_MC_06901
