model_id,terms,n_parameters,converged,fit_valid,invalid_reason,log_likelihood,AIC,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,n_events,exposure_kyr,fit_status,realization_id
B,same_type_exponential_history;lr04_scaled;co2_scaled,4,True,True,,-183.23284078242884,374.4656815648577,,,69,395.45197696926573,finite_mle,Barker_MC_01858
BP,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.1637252561031,368.3274505122062,335.19372930091214,3.2672281782981396,69,395.45197696926573,finite_mle,Barker_MC_01858
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;ecc_scaled,5,True,True,,-182.72973540303568,375.45947080607135,,,69,395.45197696926573,finite_mle,Barker_MC_01858
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;ecc_scaled,7,True,True,,-177.99991336975717,369.99982673951433,335.90777639987203,3.1587768269740657,69,395.45197696926573,finite_mle,Barker_MC_01858
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;obl_scaled,5,True,True,,-183.20883393560572,376.41766787121145,,,69,395.45197696926573,finite_mle,Barker_MC_01858
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;obl_scaled,7,True,True,,-177.98931690884464,369.9786338176893,334.6450763528333,3.3769710912932225,69,395.45197696926573,finite_mle,Barker_MC_01858
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;insol65n_scaled,5,True,True,,-180.52746332036676,371.0549266407335,,,69,395.45197696926573,finite_mle,Barker_MC_01858
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;insol65n_scaled,7,True,True,,-178.10743590210328,370.21487180420655,331.08117168253943,2.8972272282975484,69,395.45197696926573,finite_mle,Barker_MC_01858
B,same_type_exponential_history;lr04_scaled;co2_scaled,4,True,True,,-184.00901385814606,376.0180277162921,,,69,397.3340331800565,finite_mle,Barker_MC_05740
BP,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.84827649645058,369.69655299290116,336.09182083389516,3.2524585386132934,69,397.3340331800565,finite_mle,Barker_MC_05740
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;ecc_scaled,5,True,True,,-183.57172179732282,377.14344359464565,,,69,397.3340331800565,finite_mle,Barker_MC_05740
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;ecc_scaled,7,True,True,,-178.69466544673313,371.38933089346625,336.7178988782608,3.1608038599847723,69,397.3340331800565,finite_mle,Barker_MC_05740
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;obl_scaled,5,True,True,,-183.8908367727095,377.781673545419,,,69,397.3340331800565,finite_mle,Barker_MC_05740
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;obl_scaled,7,True,True,,-178.45834534906444,370.9166906981289,335.28498434828,3.4237155577420144,69,397.3340331800565,finite_mle,Barker_MC_05740
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;insol65n_scaled,5,True,True,,-180.85710970475833,371.71421940951666,,,69,397.3340331800565,finite_mle,Barker_MC_05740
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;insol65n_scaled,7,True,True,,-178.71523116539464,371.4304623307893,329.58565528565157,2.701083889148672,69,397.3340331800565,finite_mle,Barker_MC_05740
B,same_type_exponential_history;lr04_scaled;co2_scaled,4,True,True,,-184.82108567563893,377.64217135127785,,,69,395.5633496454559,finite_mle,Barker_MC_01950
BP,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-179.51669016470336,371.0333803294067,336.6524223368903,3.3060577179694843,69,395.5633496454559,finite_mle,Barker_MC_01950
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;ecc_scaled,5,True,True,,-184.24907924007618,378.49815848015237,,,69,395.5633496454559,finite_mle,Barker_MC_01950
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;ecc_scaled,7,True,True,,-179.28345172582135,372.5669034516427,337.6170377563464,3.1915546525216874,69,395.5633496454559,finite_mle,Barker_MC_01950
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;obl_scaled,5,True,True,,-184.78133959908595,379.5626791981719,,,69,395.5633496454559,finite_mle,Barker_MC_01950
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;obl_scaled,7,True,True,,-179.32596162820607,372.65192325641215,336.30082268130536,3.406201170339552,69,395.5633496454559,finite_mle,Barker_MC_01950
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;insol65n_scaled,5,True,True,,-181.7155167271507,373.4310334543014,,,69,395.5633496454559,finite_mle,Barker_MC_01950
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;insol65n_scaled,7,True,True,,-179.44458146405782,372.88916292811564,332.34039286015604,2.870670149303861,69,395.5633496454559,finite_mle,Barker_MC_01950
B,same_type_exponential_history;lr04_scaled;co2_scaled,4,True,True,,-184.3449969599816,376.6899939199632,,,69,396.721338578257,finite_mle,Barker_MC_08028
BP,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.86966205349773,369.73932410699547,329.73780382563746,3.44117321465152,69,396.721338578257,finite_mle,Barker_MC_08028
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;ecc_scaled,5,True,True,,-183.8639920438735,377.727984087747,,,69,396.721338578257,finite_mle,Barker_MC_08028
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;ecc_scaled,7,True,True,,-178.70503586862066,371.4100717372413,330.31288838311747,3.3352327678262528,69,396.721338578257,finite_mle,Barker_MC_08028
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;obl_scaled,5,True,True,,-184.26849580688884,378.5369916137777,,,69,396.721338578257,finite_mle,Barker_MC_08028
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;obl_scaled,7,True,True,,-178.57408418787148,371.14816837574296,329.3428453623975,3.5901123000816533,69,396.721338578257,finite_mle,Barker_MC_08028
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;insol65n_scaled,5,True,True,,-181.6249802107256,373.2499604214512,,,69,396.721338578257,finite_mle,Barker_MC_08028
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;insol65n_scaled,7,True,True,,-178.80247970526887,371.60495941053773,324.86159751923424,3.039773230351348,69,396.721338578257,finite_mle,Barker_MC_08028
B,same_type_exponential_history;lr04_scaled;co2_scaled,4,True,True,,-184.84076985401498,377.68153970802996,,,69,395.4293983354876,finite_mle,Barker_MC_08732
BP,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.70025356065807,369.40050712131614,340.0400555238568,3.6500307138284303,69,395.4293983354876,finite_mle,Barker_MC_08732
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;ecc_scaled,5,True,True,,-184.42125300030227,378.84250600060454,,,69,395.4293983354876,finite_mle,Barker_MC_08732
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;ecc_scaled,7,True,True,,-178.57975104431108,371.15950208862216,340.74237777614564,3.5543109498968826,69,395.4293983354876,finite_mle,Barker_MC_08732
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;obl_scaled,5,True,True,,-184.81549056179006,379.6309811235801,,,69,395.4293983354876,finite_mle,Barker_MC_08732
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;obl_scaled,7,True,True,,-178.45279036740925,370.9055807348185,339.61464464014045,3.8185879159857117,69,395.4293983354876,finite_mle,Barker_MC_08732
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;insol65n_scaled,5,True,True,,-180.9716991230793,371.9433982461586,,,69,395.4293983354876,finite_mle,Barker_MC_08732
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;insol65n_scaled,7,True,True,,-178.5550330163847,371.1100660327694,334.6395033612749,2.9879952061459654,69,395.4293983354876,finite_mle,Barker_MC_08732
B,same_type_exponential_history;lr04_scaled;co2_scaled,4,True,True,,-185.54449110406932,379.08898220813865,,,69,396.8909948742222,finite_mle,Barker_MC_06901
BP,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-180.01875544495485,372.0375108899097,333.7163722186159,3.4017046320609627,69,396.8909948742222,finite_mle,Barker_MC_06901
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;ecc_scaled,5,True,True,,-185.07113498083825,380.1422699616765,,,69,396.8909948742222,finite_mle,Barker_MC_06901
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;ecc_scaled,7,True,True,,-179.84264010225314,373.6852802045063,334.3780707712066,3.301597716652759,69,396.8909948742222,finite_mle,Barker_MC_06901
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;obl_scaled,5,True,True,,-185.45325984741243,380.90651969482485,,,69,396.8909948742222,finite_mle,Barker_MC_06901
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;obl_scaled,7,True,True,,-179.65811375487635,373.3162275097527,333.2698818426815,3.5763901830486873,69,396.8909948742222,finite_mle,Barker_MC_06901
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;insol65n_scaled,5,True,True,,-182.2977441434083,374.5954882868166,,,69,396.8909948742222,finite_mle,Barker_MC_06901
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;insol65n_scaled,7,True,True,,-179.86184180992691,373.72368361985383,326.53108926424403,2.8046990012136415,69,396.8909948742222,finite_mle,Barker_MC_06901
B,same_type_exponential_history;lr04_scaled;co2_scaled,4,True,True,,-186.5636533244907,381.1273066489814,,,69,396.8303096835931,finite_mle,Barker_MC_09322
BP,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-181.97018588222238,375.94037176444476,332.0480965487179,3.003626527893295,69,396.8303096835931,finite_mle,Barker_MC_09322
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;ecc_scaled,5,True,True,,-186.1106502886614,382.2213005773228,,,69,396.8303096835931,finite_mle,Barker_MC_09322
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;ecc_scaled,7,True,True,,-181.78031103621527,377.56062207243053,332.7023087596242,2.916918246253484,69,396.8303096835931,finite_mle,Barker_MC_09322
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;obl_scaled,5,True,True,,-186.50861421011285,383.0172284202257,,,69,396.8303096835931,finite_mle,Barker_MC_09322
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;obl_scaled,7,True,True,,-181.6867947957897,377.3735895915794,331.76648181938543,3.1458282915435283,69,396.8303096835931,finite_mle,Barker_MC_09322
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;insol65n_scaled,5,True,True,,-184.01954869335748,378.03909738671496,,,69,396.8303096835931,finite_mle,Barker_MC_09322
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;insol65n_scaled,7,True,True,,-181.88179457285014,377.7635891457003,325.99992078393643,2.6032219430353942,69,396.8303096835931,finite_mle,Barker_MC_09322
B,same_type_exponential_history;lr04_scaled;co2_scaled,4,True,True,,-182.9285354474439,373.8570708948878,,,69,395.62224714300913,finite_mle,Barker_MC_03459
BP,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-177.70834568020578,367.41669136041156,341.1268385201909,3.283069158019091,69,395.62224714300913,finite_mle,Barker_MC_03459
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;ecc_scaled,5,True,True,,-182.41188933858552,374.82377867717105,,,69,395.62224714300913,finite_mle,Barker_MC_03459
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;ecc_scaled,7,True,True,,-177.5252354046513,369.0504708093026,341.94371268760403,3.1746091786062527,69,395.62224714300913,finite_mle,Barker_MC_03459
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;obl_scaled,5,True,True,,-182.84069207519582,375.68138415039164,,,69,395.62224714300913,finite_mle,Barker_MC_03459
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;obl_scaled,7,True,True,,-177.36738169586323,368.73476339172646,340.2570116106424,3.447521793324866,69,395.62224714300913,finite_mle,Barker_MC_03459
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;insol65n_scaled,5,True,True,,-179.39342737806675,368.7868547561335,,,69,395.62224714300913,finite_mle,Barker_MC_03459
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;insol65n_scaled,7,True,True,,-177.52659976774885,369.0531995354977,334.4027775712203,2.61810897196967,69,395.62224714300913,finite_mle,Barker_MC_03459
B,same_type_exponential_history;lr04_scaled;co2_scaled,4,True,True,,-184.36667598015472,376.73335196030945,,,69,396.9415648021563,finite_mle,Barker_MC_05927
BP,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-179.21281782790803,370.42563565581605,333.87867877052526,3.28063587375303,69,396.9415648021563,finite_mle,Barker_MC_05927
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;ecc_scaled,5,True,True,,-183.9001207027859,377.8002414055718,,,69,396.9415648021563,finite_mle,Barker_MC_05927
