comparison_id,driver_id,comparison_group,reduced_model_id,full_model_id,df,loglik_reduced,loglik_full,ll_gain_nats,gain_bits_per_event,LR_statistic,nominal_p,delta_AIC,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,exposure_kyr,holm_nominal_p
phase_reference,pre,reference,B,BP,2,-183.4664633720164,-178.17522307502304,5.291240296993351,0.11063255270469788,10.582480593986702,0.005035510855959159,-6.582480593986702,True,,True,69,396.46426387771527,
ecc_after_base,ecc,driver_after_base,B,B_ecc,1,-183.4664633720164,-182.97223461777833,0.49422875423806545,0.010333643084115758,0.9884575084761309,0.32011966532854746,1.011542491523869,True,,True,69,396.46426387771527,1.0
ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,-178.17522307502304,-178.00281736876371,0.17240570625932605,0.0036047660498737537,0.3448114125186521,0.5570650623838742,1.655188587481348,True,,True,69,396.46426387771527,1.0
phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,-182.97223461777833,-178.00281736876371,4.969417249014612,0.10390367567045587,9.938834498029223,0.0069471953402761655,-5.938834498029223,True,,True,69,396.46426387771527,0.055577562722209324
obl_after_base,obl,driver_after_base,B,B_obl,1,-183.4664633720164,-183.4047345753329,0.06172879668349651,0.0012906641863090363,0.12345759336699302,0.7253142908232819,1.876542406633007,True,,True,69,396.46426387771527,1.0
obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,-178.17522307502304,-177.90557908110821,0.2696439939148263,0.005637884823571213,0.5392879878296526,0.46272795723391313,1.4607120121703474,True,,True,69,396.46426387771527,1.0
phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,-183.4047345753329,-177.90557908110821,5.499155494224681,0.11497977334196005,10.998310988449362,0.004090224198278855,-6.9983109884493615,True,,True,69,396.46426387771527,0.036812017784509696
insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,-183.4664633720164,-180.44277538821302,3.02368798380337,0.06322115448447348,6.04737596760674,0.013926978908194994,-4.04737596760674,True,,True,69,396.46426387771527,0.09748885235736496
insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,-178.17522307502304,-178.07156411055135,0.1036589644716912,0.002167366289666582,0.2073179289433824,0.6488777549830318,1.7926820710566176,True,,True,69,396.46426387771527,1.0
phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,-180.44277538821302,-178.07156411055135,2.371211277661672,0.049578764509890974,4.742422555323344,0.09336756371200115,-0.7424225553233441,True,,True,69,396.46426387771527,0.5602053822720069
