realization_id,within_observation_support,n_response_events,response_exposure_kyr,all_comparisons_valid,invalid_reason
Barker_MC_01858,True,69,395.45197696926573,True,
Barker_MC_05740,True,69,397.3340331800565,True,
Barker_MC_01950,True,69,395.5633496454559,True,
Barker_MC_08028,True,69,396.721338578257,True,
Barker_MC_08732,True,69,395.4293983354876,True,
Barker_MC_06901,True,69,396.8909948742222,True,
Barker_MC_09322,True,69,396.8303096835931,True,
Barker_MC_03459,True,69,395.62224714300913,True,
Barker_MC_05927,True,69,396.9415648021563,True,
Barker_MC_01678,True,69,395.4940077969898,True,
Barker_MC_04201,True,69,396.2687300711773,True,
Barker_MC_09031,True,69,396.572980392136,True,
Barker_MC_09715,True,69,396.47022405901924,True,
Barker_MC_04692,True,69,396.2119717722741,True,
Barker_MC_05576,True,69,395.49484798986106,True,
Barker_MC_07078,True,69,396.99024046274195,True,
Barker_MC_07555,True,69,396.2042164345781,True,
Barker_MC_01828,True,69,396.3423597662495,True,
Barker_MC_03544,True,69,395.39669546229754,True,
Barker_MC_06198,True,69,397.3826441786494,True,
Barker_MC_03528,True,69,395.95032151293594,True,
Barker_MC_03251,True,69,396.22793404260614,True,
Barker_MC_09511,True,69,396.3869331281032,True,
Barker_MC_03335,True,69,396.91260376195305,True,
Barker_MC_08888,True,69,397.41266613868953,True,
Barker_MC_07321,True,69,396.3534089563684,True,
Barker_MC_09045,True,69,395.69709406096985,True,
Barker_MC_05292,True,69,397.361499121763,True,
Barker_MC_06980,True,69,397.09441342774915,True,
Barker_MC_05143,True,69,395.95654015398225,True,
Barker_MC_09286,True,69,396.5792070715823,True,
Barker_MC_02883,True,69,395.7257233702497,True,
Barker_MC_03165,True,69,396.7278032956667,True,
Barker_MC_02128,True,69,396.33750867033206,True,
Barker_MC_01860,True,69,395.9992511628559,True,
Barker_MC_00984,True,69,396.3105039441827,True,
Barker_MC_02981,True,69,397.3608328946894,True,
Barker_MC_09341,True,69,395.78721765372785,True,
Barker_MC_07575,True,69,395.7178132901513,True,
Barker_MC_08714,True,69,396.9943086610048,True,
Barker_MC_06402,True,69,395.9085354207768,True,
Barker_MC_06549,True,69,397.3435831409136,True,
Barker_MC_08135,True,69,396.81200544122845,True,
Barker_MC_00051,True,69,396.55286934602276,True,
Barker_MC_01474,True,69,396.1101617192621,True,
Barker_MC_06374,True,69,396.4276447603523,True,
Barker_MC_09863,True,69,396.6201461136473,True,
Barker_MC_03150,True,69,396.17491019958817,True,
Barker_MC_02236,True,69,395.9688847889899,True,
Barker_MC_02657,True,69,395.6967415495585,True,
Barker_MC_02161,True,69,396.45654198667745,True,
Barker_MC_01983,True,69,395.735461357993,True,
Barker_MC_07665,True,69,396.6805286532868,True,
Barker_MC_00577,True,69,396.40857144263646,True,
Barker_MC_03580,True,69,396.4598666974091,True,
Barker_MC_04237,True,69,396.3922643024694,True,
Barker_MC_04486,True,69,396.299873156317,True,
Barker_MC_02446,True,69,396.0369428136414,True,
Barker_MC_09021,True,69,396.5779944273144,True,
Barker_MC_07453,True,69,396.6283455661144,True,
Barker_MC_01980,True,69,397.3149028455921,True,
Barker_MC_06123,True,69,396.59373768418914,True,
Barker_MC_03596,True,69,397.22161255172205,True,
Barker_MC_02325,True,69,397.28633155101977,True,
Barker_MC_04360,True,69,396.4111513391857,True,
Barker_MC_05314,True,69,396.0589816514769,True,
Barker_MC_03100,True,69,395.7694658013439,True,
Barker_MC_01358,True,69,396.4733742647026,True,
Barker_MC_02014,True,69,397.1023818835295,True,
Barker_MC_06862,True,69,396.60631654206964,True,
Barker_MC_04025,True,69,395.63021380848664,True,
Barker_MC_09777,True,69,395.8549835755279,True,
Barker_MC_07957,True,69,396.41024923563043,True,
Barker_MC_07281,True,69,396.6575907656944,True,
Barker_MC_00769,True,69,396.8127583385159,True,
Barker_MC_00843,True,69,396.0024999395721,True,
Barker_MC_07174,True,69,395.7329306457939,True,
Barker_MC_08022,True,69,397.56654866139866,True,
Barker_MC_07442,True,69,395.79963189203073,True,
Barker_MC_09460,True,69,396.39350270400985,True,
Barker_MC_07997,True,69,396.67600279159177,True,
Barker_MC_06182,True,69,396.63266771603844,True,
Barker_MC_01627,True,69,396.249789158073,True,
Barker_MC_00246,True,69,397.1144103803836,True,
Barker_MC_07478,True,69,396.2043642846026,True,
Barker_MC_08347,True,69,396.7077627556271,True,
Barker_MC_00287,True,69,395.6875055268191,True,
Barker_MC_00862,True,69,396.0076950650199,True,
Barker_MC_09559,True,69,395.69658529729486,True,
Barker_MC_09524,True,69,396.9158403316446,True,
Barker_MC_05255,True,69,396.61256594623,True,
Barker_MC_03938,True,69,395.7357845055425,True,
Barker_MC_08765,True,69,397.1453032097643,True,
Barker_MC_06357,True,69,397.6339404234069,True,
Barker_MC_04954,True,69,396.88560854910537,True,
Barker_MC_03839,True,69,397.19001763878254,True,
Barker_MC_03675,True,69,396.08310479057593,True,
Barker_MC_00813,True,69,395.83543558860356,True,
Barker_MC_06382,True,69,396.8186448105803,True,
Barker_MC_02298,True,69,396.1777911743943,True,
Barker_MC_06865,True,69,396.4979223406854,True,
Barker_MC_00043,True,69,396.0617118682235,True,
Barker_MC_09490,True,69,397.00424931547195,True,
Barker_MC_03156,True,69,397.2090749703827,True,
Barker_MC_00595,True,69,397.2066614138067,True,
Barker_MC_09145,True,69,397.1451932034531,True,
Barker_MC_02551,True,69,397.3287744191434,True,
Barker_MC_07961,True,69,395.73572313988365,True,
Barker_MC_03343,True,69,397.4472664719709,True,
Barker_MC_00988,True,69,395.78571863995813,True,
Barker_MC_05877,True,69,397.26615650797754,True,
Barker_MC_01293,True,69,397.2825398041535,True,
Barker_MC_04407,True,69,396.5973463734519,True,
Barker_MC_07887,True,69,397.1276652595378,True,
Barker_MC_09601,True,69,396.81195738745254,True,
Barker_MC_08218,True,69,397.2167120112818,True,
Barker_MC_02513,True,69,395.8333295734377,True,
Barker_MC_04138,True,69,395.7054140723203,True,
Barker_MC_02984,True,69,395.91002158059746,True,
Barker_MC_03847,True,69,396.18027273347917,True,
Barker_MC_02938,True,69,396.6728011502651,True,
