record_id,sheet_name,event_label,display_label,anchor_age_ka_bp,label_scheme,source_figure,anchor_purpose
Sanbao,Sanbao_Wang_etal_2008,D-O 6.1,6.1,128.8,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.2,6.2,147.5,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.3,6.3,149.1,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.4,6.4,151.5,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.5,6.5,160.6,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.6,6.6,163.9,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.7,6.7,169.0,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.8,6.8,173.2,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.9,6.9,176.7,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.10,6.10,178.0,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.11,6.11,178.9,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.12,6.12,190.7,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.13,6.13,192.9,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.2,6.2,147.4150424,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.3,6.3,150.0360714,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.4,6.4,152.1750179,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.5,6.5,160.7454545,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.6,6.6,164.7456500,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.7,6.7,168.9921739,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.8,6.8,174.0732000,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.9,6.9,177.6962165,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.10,6.10,178.6413711,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.11,6.11,180.2,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.12,6.12,190.7225870,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.13,6.13,194.6464466,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sofular,Sofular_Held_etal_2024,D-O 6.6,6.6,163.852,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sofular,Sofular_Held_etal_2024,D-O 6.7,6.7,170.412,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sofular,Sofular_Held_etal_2024,D-O 6.8,6.8,173.599,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
Sofular,Sofular_Held_etal_2024,D-O 6.9,6.9,176.8,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",label_placement_only
