realization_id,MIS6_DO_01_age_ka_bp,MIS6_DO_02_age_ka_bp,MIS6_DO_03_age_ka_bp,MIS6_DO_04_age_ka_bp,MIS6_DO_05_age_ka_bp,MIS6_DO_06_age_ka_bp,MIS6_DO_07_age_ka_bp,MIS6_DO_08_age_ka_bp,MIS6_DO_09_age_ka_bp,MIS6_DO_10_age_ka_bp,MIS6_DO_11_age_ka_bp,MIS6_DO_12_age_ka_bp,MIS6_DO_13_age_ka_bp,MIS6_DO_14_age_ka_bp,MIS6_DO_15_age_ka_bp,MIS6_DO_16_age_ka_bp,MIS6_DO_17_age_ka_bp,MIS6_DO_18_age_ka_bp,MIS6_DO_19_age_ka_bp,MIS6_DO_20_age_ka_bp,MIS6_DO_21_age_ka_bp
1,135.764966,138.858772,146.690665,147.333711,149.046528,150.185033,151.004827,151.616648,160.173068,161.111882,165.475657,170.640646,171.204953,172.589844,173.211412,176.463186,176.571344,179.708861,180.239316,191.956998,194.498453
2,134.922579,138.372492,146.211639,146.806962,148.398544,149.426529,150.421122,151.080934,159.487267,160.867007,164.946468,168.438578,169.586880,171.073204,172.307556,174.648614,176.927041,179.536267,180.015993,190.962238,194.178052
3,134.489079,138.098799,146.007554,146.552627,148.063419,148.977565,150.094654,150.811192,159.099337,160.397416,164.710977,167.262096,168.706988,170.792031,171.832004,173.669514,177.062827,179.726735,180.191447,190.476360,194.240987
4,134.546421,138.132955,146.038256,146.587731,148.107603,149.031833,150.135560,150.847392,159.147594,160.429527,164.745344,167.413939,168.819255,170.872830,171.893999,173.795071,177.291033,180.265306,180.674728,190.754972,194.792736
5,135.059793,138.438741,146.313115,146.902012,148.503171,149.517675,150.501782,151.171479,159.579626,160.717002,165.053025,168.773348,169.824348,171.596207,172.449024,174.919146,176.708022,179.716110,180.201118,191.161770,194.285790
6,135.213767,138.547544,146.367368,146.985271,148.622400,149.699606,150.629152,151.265554,159.731248,160.977495,165.140089,169.128908,170.158683,171.489507,172.623451,175.289596,176.810464,180.000398,180.470296,191.558942,195.091215
7,135.250427,138.569582,146.386974,147.007720,148.650584,149.733986,150.655342,151.288797,159.761965,160.991405,165.164466,169.215819,170.230672,171.541919,172.663221,175.370295,177.213730,180.066941,180.555017,190.858855,193.403200
8,134.686227,138.230406,146.085236,146.662232,148.216844,149.204877,150.252267,150.931081,159.289232,160.777325,164.789310,167.878249,169.122758,170.735298,172.051149,174.128340,176.827672,179.764929,180.233655,190.860438,193.819902
9,134.572764,138.148646,146.052360,146.603858,148.127901,149.056763,150.154352,150.864022,159.169763,160.444278,164.761132,167.483695,168.870830,170.909949,171.922479,173.852751,176.730273,179.656940,180.089822,191.191623,195.105194
10,134.891008,138.338206,146.222747,146.798683,148.373117,149.357941,150.381376,151.064926,159.437583,160.622487,164.951866,168.326405,169.493895,171.358377,172.266544,174.549575,176.516581,179.498115,179.966819,191.265607,194.501091
11,135.030059,138.421030,146.297195,146.883809,148.480260,149.489535,150.480570,151.152708,159.554603,160.700352,165.035204,168.694612,169.766133,171.554309,172.416877,174.854039,177.163590,180.091657,180.602054,191.274957,194.444282
12,134.583697,138.168769,146.030402,146.599447,148.138022,149.108723,150.179018,150.866075,159.203323,160.738421,164.721134,167.635176,168.921419,170.588713,171.939919,173.902643,176.376857,180.066557,180.586253,190.971738,194.035590
13,134.929382,138.376582,146.215277,146.811128,148.403774,149.432908,150.425982,151.085247,159.492967,160.869588,164.950992,168.454705,169.600239,171.082930,172.314936,174.663589,177.153931,179.772634,180.218348,190.613249,194.388284
14,134.960206,138.395112,146.231762,146.830003,148.427471,149.461815,150.448003,151.104790,159.518794,160.881284,164.971488,168.527781,169.660768,171.126998,172.348375,174.731441,176.899776,179.756915,180.177881,190.371384,194.180069
15,134.687316,138.216878,146.113691,146.673986,148.216167,149.165172,150.236070,150.936337,159.266166,160.508424,164.829787,167.787030,169.095103,171.071361,172.046326,174.103574,176.740859,180.142022,180.696542,190.671851,194.200279
16,135.497697,138.718232,146.519216,147.159136,148.840677,149.965877,150.831997,151.445572,159.969149,161.085229,165.328884,169.802033,170.716235,171.895434,172.931473,175.914603,176.795450,179.631833,180.105101,190.868439,193.883112
17,135.634804,138.781243,146.620976,147.254027,148.946235,150.061852,150.911974,151.534478,160.063530,161.038994,165.397647,170.295978,170.950119,172.406438,173.070689,176.178185,176.692205,179.636112,180.133799,190.341147,194.102854
18,136.020637,139.016752,146.809315,147.486830,149.243079,150.442324,151.204745,151.775680,160.397963,161.271776,165.634096,171.275471,171.724690,172.971367,173.495798,177.045814,177.208291,180.246296,180.757913,190.667067,193.809210
