composite_event_id,composite_event_label,source_record,nominal_event_age_ka_bp,definition_age_min_ka_bp,definition_age_max_ka_bp,chronology_sigma_nominal_ka,sampled_age_q025_ka_bp,sampled_age_median_ka_bp,sampled_age_q975_ka_bp
MIS6_DO_01,MIS 6.1,MF,134.976000,134.970000,134.983000,0.513898,133.964378,134.956827,135.766316
MIS6_DO_02,MIS 6.2,MF,138.393000,138.393000,138.401000,0.306848,137.790960,138.385255,138.867611
MIS6_DO_03,MIS 6.3,MF,146.251000,146.237000,146.272000,0.274657,145.708139,146.243554,146.675423
MIS6_DO_04,MIS 6.4,MF,146.847000,146.836000,146.855000,0.314757,146.224429,146.834880,147.329043
MIS6_DO_05,MIS 6.5,MF,148.439000,148.435000,148.444000,0.395558,147.661527,148.424219,149.047561
MIS6_DO_06,MIS 6.6,MF,149.458000,149.445000,149.471000,0.484228,148.507557,149.439970,150.201554
MIS6_DO_07,MIS 6.7,MF,150.462000,150.447000,150.462000,0.365386,149.734073,150.441469,151.016428
MIS6_DO_08,MIS 6.8,MF,151.115000,151.111000,151.123000,0.325015,150.475202,151.104666,151.615988
MIS6_DO_09,MIS 6.9,MF,159.522000,159.515000,159.527000,0.430921,158.674014,159.505875,160.183562
MIS6_DO_10,MIS 6.10,MF,160.879000,160.674000,160.885000,0.193222,160.258263,160.822273,161.169060
MIS6_DO_11,MIS 6.11,MF,165.006000,164.978000,165.007000,0.308985,164.359993,164.986421,165.488854
MIS6_DO_12,MIS 6.12,MF,168.566000,168.551000,168.570000,1.332896,165.996972,168.512564,170.562870
MIS6_DO_13,MIS 6.13,MF,169.675000,169.674000,169.680000,1.008323,167.695807,169.637795,171.224721
MIS6_DO_14,MIS 6.14,MF,171.506000,171.141000,171.506000,0.720872,169.889809,171.348341,172.526114
MIS6_DO_15,MIS 6.15,MF,172.364000,172.359000,172.366000,0.556776,171.267894,172.341721,173.218787
MIS6_DO_16,MIS 6.16,MF,174.752000,174.751000,174.753000,1.128418,172.534104,174.709654,176.485277
MIS6_DO_17,MIS 6.17,Sofular,176.779000,176.778000,176.780000,0.298912,176.204636,176.792194,177.369515
MIS6_DO_18,MIS 6.18,Sofular,179.831000,179.808000,179.840000,0.331875,179.175564,179.821764,180.453047
MIS6_DO_19,MIS 6.19,Sofular,180.309000,180.296000,180.329000,0.253687,179.811373,180.315760,180.814671
MIS6_DO_20,MIS 6.20,Sofular,190.972000,190.951000,190.991000,0.313759,190.339196,190.974278,191.589359
MIS6_DO_21,MIS 6.21,Sofular,194.238000,194.228000,194.249000,0.402807,193.439276,194.239836,195.024553
