event_label,source_event_label,event_age_kyr_bp,event_role,event_type
GS-1,GS-1,12.846,response,cooling
GS-2.1,GS-2.1c,22.85,response,cooling
GS-2.2,GS-2.2,23.17,response,cooling
GS-3,GS-3,27.49,response,cooling
GS-4,GS-4,28.55,response,cooling
GS-5.1,GS-5.1,30.55,response,cooling
GS-5.2,GS-5.2,31.99,response,cooling
GS-6,GS-6,33.31,response,cooling
GS-7,GS-7,34.69,response,cooling
GS-8,GS-8,36.53,response,cooling
GS-9,GS-9,39.85,response,cooling
GS-10,GS-10,40.75,response,cooling
GS-11,GS-11,42.19,response,cooling
GS-12,GS-12,44.23,response,cooling
GS-13,GS-13,48.29,response,cooling
GS-14,GS-14,49.55,response,cooling
GS-15.1,GS-15.1,54.85,response,cooling
GS-15.2,GS-15.2,55.35,response,cooling
GS-16.1,GS-16.1,56.45,response,cooling
GS-16.2,GS-16.2,58.11,response,cooling
GS-17.1,GS-17.1,58.51,response,cooling
GS-17.2,GS-17.2,59.25,response,cooling
GS-18,GS-18,63.79,response,cooling
GS-19.1,GS-19.1,69.35,response,cooling
GS-19.2,GS-19.2,70.33,response,cooling
GS-20,GS-20,74.05,response,cooling
GS-21.1,GS-21.1,77.71,response,cooling
GS-21.2,GS-21.2,84.91,response,cooling
GS-22,GS-22,87.55,response,cooling
GS-23.1,GS-23.1,90.09,response,cooling
GS-23.2,GS-23.2,104.33,response,cooling
GS-24.1,GS-24.1,105.39,response,cooling
GS-24.2,GS-24.2,106.85,response,cooling
GS-25,GS-25,110.59,response,cooling
GS-26,GS-26,119.09,conditioning,cooling
GI-1,GI-1e,14.642,response,warming
GI-2.1,GI-2.1,22.97,response,warming
GI-2.2,GI-2.2,23.29,response,warming
GI-3,GI-3,27.73,response,warming
GI-4,GI-4,28.85,response,warming
GI-5.1,GI-5.1,30.79,response,warming
GI-5.2,GI-5.2,32.45,response,warming
GI-6,GI-6,33.69,response,warming
GI-7,GI-7c,35.43,response,warming
GI-8,GI-8c,38.17,response,warming
GI-9,GI-9,40.11,response,warming
GI-10,GI-10,41.41,response,warming
GI-11,GI-11,43.29,response,warming
GI-12,GI-12c,46.81,response,warming
GI-13,GI-13c,49.23,response,warming
GI-14,GI-14e,54.17,response,warming
GI-15.1,GI-15.1,54.95,response,warming
GI-15.2,GI-15.2,55.75,response,warming
GI-16.1,GI-16.1c,57.99,response,warming
GI-16.2,GI-16.2,58.23,response,warming
GI-17.1,GI-17.1c,59.03,response,warming
GI-17.2,GI-17.2,59.39,response,warming
GI-18,GI-18,64.05,response,warming
GI-19.1,GI-19.1,69.57,response,warming
GI-19.2,GI-19.2,72.29,response,warming
GI-20,GI-20c,76.39,response,warming
GI-21.1,GI-21.1e,84.71,response,warming
GI-21.2,GI-21.2,85.01,response,warming
GI-22,GI-22g,89.99,response,warming
GI-23.1,GI-23.1,103.99,response,warming
GI-23.2,GI-23.2,104.47,response,warming
GI-24.1,GI-24.1c,106.7,response,warming
GI-24.2,GI-24.2,108.23,response,warming
GI-25,GI-25c,115.32,conditioning,warming
