event_label,source_event_label,event_family,event_type,is_lettered_subevent,is_quasi_stadial,ngrip_depth_m,age_yr_b2k,age_ka_b2k,age_ka_bp,definition_uncertainty_code,definition_uncertainty_text,maximum_counting_error_yr,notes_comments,source_pdf_page,source_printed_page,selection_note
GS-1,GS-1,GS,cooling,False,False,1526.52,12896,12.896,12.846,±4,±4 yr,138.0,"3, 5",10,9,direct Table 2 start
GI-1,GI-1e,GI,warming,True,False,1604.64,14692,14.692,14.642,±4,±4 yr,186.0,"3, 5",10,9,lettered subevents collapsed; oldest onset used
GS-2.1,GS-2.1c,GS,cooling,True,False,1783.62,22900,22.9,22.849999999999998,a,20 yr (1 data point; 1 sigma),573.0,"7, 8",10,9,lettered subevents collapsed; oldest onset used
GI-2.1,GI-2.1,GI,warming,False,False,1786.28,23020,23.02,22.97,a,20 yr (1 data point; 1 sigma),583.0,"8, 13",10,9,direct Table 2 start
GS-2.2,GS-2.2,GS,cooling,False,False,1790.26,23220,23.22,23.169999999999998,a,20 yr (1 data point; 1 sigma),590.0,"8, 13",10,9,direct Table 2 start
GI-2.2,GI-2.2,GI,warming,False,False,1793.19,23340,23.34,23.29,a,20 yr (1 data point; 1 sigma),596.0,"7, 8, 9",10,9,direct Table 2 start
GS-3,GS-3,GS,cooling,False,False,1861.69,27540,27.54,27.49,b,40-60 yr (2-3 data points; 1 sigma),822.0,"7, 8",10,9,direct Table 2 start
GI-3,GI-3,GI,warming,False,False,1869.12,27780,27.78,27.73,a,20 yr (1 data point; 1 sigma),832.0,"7, 8, 9",10,9,direct Table 2 start
GS-4,GS-4,GS,cooling,False,False,1882.62,28600,28.6,28.55,a,20 yr (1 data point; 1 sigma),887.0,"7, 8",10,9,direct Table 2 start
GI-4,GI-4,GI,warming,False,False,1891.57,28900,28.9,28.849999999999998,a,20 yr (1 data point; 1 sigma),898.0,"7, 8, 9",10,9,direct Table 2 start
GS-5.1,GS-5.1,GS,cooling,False,False,1916.08,30600,30.6,30.55,b,40-60 yr (2-3 data points; 1 sigma),1008.0,"8, 13",10,9,direct Table 2 start
GI-5.1,GI-5.1,GI,warming,False,False,1920.56,30840,30.84,30.79,b,40-60 yr (2-3 data points; 1 sigma),1024.0,"8, 13",10,9,direct Table 2 start
GS-5.2,GS-5.2,GS,cooling,False,False,1939.68,32040,32.04,31.99,b,40-60 yr (2-3 data points; 1 sigma),1107.0,"8, 11",10,9,direct Table 2 start
GI-5.2,GI-5.2,GI,warming,False,False,1951.65,32500,32.5,32.45,a,20 yr (1 data point; 1 sigma),1132.0,"8, 9",10,9,direct Table 2 start
GS-6,GS-6,GS,cooling,False,False,1964.3,33360,33.36,33.31,b,40-60 yr (2-3 data points; 1 sigma),1191.0,"8, 11",10,9,direct Table 2 start
GI-6,GI-6,GI,warming,False,False,1974.55,33740,33.74,33.690000000000005,a,20 yr (1 data point; 1 sigma),1212.0,"8, 9",10,9,direct Table 2 start
GS-7,GS-7,GS,cooling,False,False,1990.28,34740,34.74,34.690000000000005,b,40-60 yr (2-3 data points; 1 sigma),1286.0,"8, 11",10,9,direct Table 2 start
GI-7,GI-7c,GI,warming,True,False,2009.44,35480,35.48,35.43,a,20 yr (1 data point; 1 sigma),1321.0,"8, 9",10,9,lettered subevents collapsed; oldest onset used
GS-8,GS-8,GS,cooling,False,False,2026.66,36580,36.58,36.53,b,40-60 yr (2-3 data points; 1 sigma),1397.0,"8, 11",10,9,direct Table 2 start
GI-8,GI-8c,GI,warming,True,False,2070.02,38220,38.22,38.17,a,20 yr (1 data point; 1 sigma),1449.0,"8, 9",10,9,lettered subevents collapsed; oldest onset used
GS-9,GS-9,GS,cooling,False,False,2094.64,39900,39.9,39.85,b,40-60 yr (2-3 data points; 1 sigma),1569.0,"8, 11",10,9,direct Table 2 start
GI-9,GI-9,GI,warming,False,False,2099.61,40160,40.16,40.11,a,20 yr (1 data point; 1 sigma),1580.0,"8, 9",10,9,direct Table 2 start
GS-10,GS-10,GS,cooling,False,False,2109.71,40800,40.8,40.75,b,40-60 yr (2-3 data points; 1 sigma),1615.0,"8, 11",10,9,direct Table 2 start
GI-10,GI-10,GI,warming,False,False,2124.03,41460,41.46,41.410000000000004,a,20 yr (1 data point; 1 sigma),1633.0,"8, 9",10,9,direct Table 2 start
GS-11,GS-11,GS,cooling,False,False,2134.99,42240,42.24,42.190000000000005,b,40-60 yr (2-3 data points; 1 sigma),1682.0,"8, 11",10,9,direct Table 2 start
GI-11,GI-11,GI,warming,False,False,2157.49,43340,43.34,43.290000000000006,a,20 yr (1 data point; 1 sigma),1736.0,"8, 10",10,9,direct Table 2 start
GS-12,GS-12,GS,cooling,False,False,2170.0,44280,44.28,44.230000000000004,b,40-60 yr (2-3 data points; 1 sigma),1780.0,"8, 11",10,9,direct Table 2 start
GI-12,GI-12c,GI,warming,True,False,2222.3,46860,46.86,46.81,a,20 yr (1 data point; 1 sigma),1912.0,"8, 10",10,9,lettered subevents collapsed; oldest onset used
GS-13,GS-13,GS,cooling,False,False,2240.96,48340,48.34,48.290000000000006,d,100 yr (1 sigma),1988.0,"8, 11",10,9,direct Table 2 start
GI-13,GI-13c,GI,warming,True,False,2256.89,49280,49.28,49.230000000000004,a,20 yr (1 data point; 1 sigma),2031.0,"8, 10",10,9,lettered subevents collapsed; oldest onset used
GS-14,GS-14,GS,cooling,False,True,2261.46,49600,49.6,49.550000000000004,d,100 yr (1 sigma),2051.0,"8, 13",10,9,direct Table 2 start
GI-14,GI-14e,GI,warming,True,False,2345.52,54220,54.22,54.17,a,20 yr (1 data point; 1 sigma),2301.0,"8, 10",10,9,lettered subevents collapsed; oldest onset used
GS-15.1,GS-15.1,GS,cooling,False,False,2353.65,54900,54.9,54.85,a,20 yr (1 data point; 1 sigma),2338.0,"8, 13",10,9,direct Table 2 start
GI-15.1,GI-15.1,GI,warming,False,False,2355.34,55000,55.0,54.95,a,20 yr (1 data point; 1 sigma),2349.0,"8, 13",10,9,direct Table 2 start
GS-15.2,GS-15.2,GS,cooling,False,False,2359.64,55400,55.4,55.35,a,20 yr (1 data point; 1 sigma),2368.0,"8, 13",10,9,direct Table 2 start
GI-15.2,GI-15.2,GI,warming,False,False,2366.32,55800,55.8,55.75,a,20 yr (1 data point; 1 sigma),2392.0,"8, 10",10,9,direct Table 2 start
GS-16.1,GS-16.1,GS,cooling,False,False,2374.41,56500,56.5,56.45,b,40-60 yr (2-3 data points; 1 sigma),2430.0,"8, 13",10,9,direct Table 2 start
GI-16.1,GI-16.1c,GI,warming,True,False,2398.78,58040,58.04,57.99,a,20 yr (1 data point; 1 sigma),2497.0,"8, 13",10,9,lettered subevents collapsed; oldest onset used
GS-16.2,GS-16.2,GS,cooling,False,False,2400.34,58160,58.16,58.11,a,20 yr (1 data point; 1 sigma),2505.0,"8, 13",10,9,direct Table 2 start
GI-16.2,GI-16.2,GI,warming,False,False,2402.55,58280,58.28,58.230000000000004,a,20 yr (1 data point; 1 sigma),2511.0,"8, 10",10,9,direct Table 2 start
GS-17.1,GS-17.1,GS,cooling,False,False,2406.01,58560,58.56,58.510000000000005,b,40-60 yr (2-3 data points; 1 sigma),2528.0,"8, 13",10,9,direct Table 2 start
GI-17.1,GI-17.1c,GI,warming,True,False,2415.01,59080,59.08,59.03,a,20 yr (1 data point; 1 sigma),2557.0,"8, 13",10,9,lettered subevents collapsed; oldest onset used
GS-17.2,GS-17.2,GS,cooling,False,False,2417.66,59300,59.3,59.25,a,20 yr (1 data point; 1 sigma),2569.0,"8, 13",10,9,direct Table 2 start
GI-17.2,GI-17.2,GI,warming,False,False,2420.44,59440,59.44,59.39,a,20 yr (1 data point; 1 sigma),2573.0,"8, 10",10,9,direct Table 2 start
GS-18,GS-18,GS,cooling,False,False,2461.82,63840,63.84,63.790000000000006,a,20 yr (1 data point; 1 sigma),,"8, 13",10,9,direct Table 2 start
GI-18,GI-18,GI,warming,False,False,2465.85,64100,64.1,64.05,a,20 yr (1 data point; 1 sigma),,"8, 13",10,9,direct Table 2 start
GS-19.1,GS-19.1,GS,cooling,False,False,2504.86,69400,69.4,69.35000000000001,b,40-60 yr (2-3 data points; 1 sigma),,"8, 13",10,9,direct Table 2 start
GI-19.1,GI-19.1,GI,warming,False,False,2507.59,69620,69.62,69.57000000000001,a,20 yr (1 data point; 1 sigma),,"8, 13",10,9,direct Table 2 start
GS-19.2,GS-19.2,GS,cooling,False,False,2512.54,70380,70.38,70.33,c,200 yr (1 sigma),,"8, 13",10,9,direct Table 2 start
GI-19.2,GI-19.2,GI,warming,False,False,2535.96,72340,72.34,72.29,a,20 yr (1 data point; 1 sigma),,"8, 13",10,9,direct Table 2 start
GS-20,GS-20,GS,cooling,False,False,2547.52,74100,74.1,74.05,b,40-60 yr (2-3 data points; 1 sigma),,"8, 13",10,9,direct Table 2 start
GI-20,GI-20c,GI,warming,True,False,2579.13,76440,76.44,76.39,a,20 yr (1 data point; 1 sigma),,"8, 13",10,9,lettered subevents collapsed; oldest onset used
GS-21.1,GS-21.1,GS,cooling,False,False,2590.25,77760,77.76,77.71000000000001,d,100 yr (1 sigma),,"8, 13",10,9,direct Table 2 start
GI-21.1,GI-21.1e,GI,warming,True,False,2687.29,84760,84.76,84.71000000000001,a,20 yr (1 data point; 1 sigma),,"8, 13, 12",10,9,lettered subevents collapsed; oldest onset used
GS-21.2,GS-21.2,GS,cooling,False,False,2689.81,84960,84.96,84.91,a,20 yr (1 data point; 1 sigma),,"8, 13",10,9,direct Table 2 start
GI-21.2,GI-21.2,GI,warming,False,False,2691.13,85060,85.06,85.01,a,20 yr (1 data point; 1 sigma),,"8, 13, 12",10,9,direct Table 2 start
GS-22,GS-22,GS,cooling,False,False,2717.11,87600,87.6,87.55,b,40-60 yr (2-3 data points; 1 sigma),,"8, 13",10,9,direct Table 2 start
GI-22,GI-22g,GI,warming,True,False,2746.53,90040,90.04,89.99000000000001,a,20 yr (1 data point; 1 sigma),,"8, 13",10,9,lettered subevents collapsed; oldest onset used
GS-23.1,GS-23.1,GS,cooling,False,True,2747.54,90140,90.14,90.09,b,40-60 yr (2-3 data points; 1 sigma),,"8, 13",10,9,direct Table 2 start
GI-23.1,GI-23.1,GI,warming,False,False,2891.53,104040,104.04,103.99000000000001,a,20 yr (1 data point; 1 sigma),,"8, 13",10,9,direct Table 2 start
GS-23.2,GS-23.2,GS,cooling,False,False,2894.99,104380,104.38,104.33,a,20 yr (1 data point; 1 sigma),,"8, 13",10,9,direct Table 2 start
GI-23.2,GI-23.2,GI,warming,False,False,2896.61,104520,104.52,104.47,a,20 yr (1 data point; 1 sigma),,"8, 13",10,9,direct Table 2 start
GS-24.1,GS-24.1,GS,cooling,False,False,2905.05,105440,105.44,105.39,f,20-40 yr (1-2 points; 1 sigma; NGRIP d18O only),,"8, 13",10,9,direct Table 2 start
GI-24.1,GI-24.1c,GI,warming,True,False,2920.6,106750,106.75,106.7,f,20-40 yr (1-2 points; 1 sigma; NGRIP d18O only),,"8, 13",10,9,lettered subevents collapsed; oldest onset used
GS-24.2,GS-24.2,GS,cooling,False,False,2922.06,106900,106.9,106.85000000000001,f,20-40 yr (1-2 points; 1 sigma; NGRIP d18O only),,"8, 13",10,9,direct Table 2 start
GI-24.2,GI-24.2,GI,warming,False,False,2938.19,108280,108.28,108.23,f,20-40 yr (1-2 points; 1 sigma; NGRIP d18O only),,"8, 13",10,9,direct Table 2 start
GS-25,GS-25,GS,cooling,False,False,2954.08,110640,110.64,110.59,f,20-40 yr (1-2 points; 1 sigma; NGRIP d18O only),,"8, 13",10,9,direct Table 2 start
GI-25,GI-25c,GI,warming,True,False,3003.17,115370,115.37,115.32000000000001,f,20-40 yr (1-2 points; 1 sigma; NGRIP d18O only),,"8, 13",10,9,lettered subevents collapsed; oldest onset used
GS-26,GS-26,GS,cooling,False,False,3040.89,119140,119.14,119.09,f,20-40 yr (1-2 points; 1 sigma; NGRIP d18O only),,"8, 13",10,9,direct Table 2 start
