dataset_id,history_window_ka,n_pi_events,phase_LR,phase_nominal_p,phase_delta_AICc,phase_bits_per_event,phase_preferred_deg,phase_rate_ratio_max_min
barker_variable_threshold_edc3_0_640,2.0,104,9.05539729316979,0.010805514788809631,-5.039043525588909,0.0628085421544971,329.914201933367,2.403638647734641
barker_variable_threshold_edc3_0_800,2.0,125,7.224805340776584,0.02698692821522672,-3.211739012177304,0.0416927633461059,335.47046424410183,2.0245464710676075
barker_variable_threshold_speleo_0_400,2.0,70,7.712100694823448,0.021151375346268573,-3.6858340531125577,0.07947292448041512,335.53954216686543,2.7534484117156706
barker_variable_threshold_edc3_0_640,5.0,103,8.017718823878113,0.018154089770638114,-4.001287542907221,0.056151083429374006,328.5958213450593,2.2918148907533444
barker_variable_threshold_edc3_0_800,5.0,125,6.850847206413164,0.03253549592920842,-2.8377314427843885,0.039534733162321124,330.8560875069576,1.9924541350892615
barker_variable_threshold_speleo_0_400,5.0,69,7.790004540370319,0.020343328265986286,-3.7635373595661576,0.08143913709344035,333.3907001986753,2.861778913815393
barker_variable_threshold_edc3_0_640,10.0,102,7.795332188852171,0.02028920932868092,-3.7787700730218603,0.05512885828891733,322.62613965322794,2.238682793406299
barker_variable_threshold_edc3_0_800,10.0,125,6.176413649029428,0.04558362059281288,-2.163214657156459,0.03564272536773465,326.3130117544273,1.9033970006682448
barker_variable_threshold_speleo_0_400,10.0,68,7.292699895785518,0.026086171102320744,-3.2658915907417168,0.07736133804662666,329.20442867275193,2.6843574777862673
barker_variable_threshold_edc3_0_640,20.0,100,5.68091515518438,0.05839893780451661,-1.6640850178154096,0.040979140610477305,332.90123144410586,1.9899127974817503
barker_variable_threshold_edc3_0_800,20.0,124,4.647874163798406,0.09788743510118439,-0.6345055058743583,0.0270381653499512,335.2875233605737,1.744331905080861
barker_variable_threshold_speleo_0_400,20.0,67,6.188717002935391,0.04530406563208543,-2.161199371871703,0.06663008454925447,333.81362482569926,2.4576835766327583
