dataset_id,dataset_label,model_id,term,beta,rate_ratio_per_unit
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",baseline,intercept,-1.7510899249125558,0.17358464607902535
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",baseline,same_type_history_count,-0.09958675373758293,0.9052114159883636
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",baseline,edc_log_resolution_scaled,-0.6875768486616091,0.5027929375219116
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",climate,intercept,-1.7110718173864465,0.18067204136750895
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",climate,same_type_history_count,-0.19394825652876257,0.8237005242903003
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",climate,edc_log_resolution_scaled,-0.963202487193524,0.3816686377771893
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",climate,lr04_scaled,1.0863920879060447,2.963562488013064
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",climate,co2_scaled,-0.274518277104347,0.7599381146537736
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",full,intercept,-1.683623017490713,0.18569996158475824
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",full,same_type_history_count,-0.2723219308198754,0.7616090361977825
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",full,edc_log_resolution_scaled,-0.9845590243833143,0.37360394084479337
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",full,lr04_scaled,1.3827996084782426,3.9860453875953383
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",full,co2_scaled,-0.29320459972292723,0.7458695203875062
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",full,pre_phase_sin,-0.2160739274833504,0.8056757380920929
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",full,pre_phase_cos,0.35392787242452345,1.4246524260486149
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",baseline,intercept,-1.7229140686276625,0.17854509642620317
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",baseline,same_type_history_count,-0.18355726563537075,0.8323042119436402
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",baseline,edc_log_resolution_scaled,-0.6044141353784205,0.5463944460619022
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",climate,intercept,-1.6855397928490123,0.1853443573899094
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",climate,same_type_history_count,-0.2847006111500227,0.7522394327084173
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",climate,edc_log_resolution_scaled,-0.9450193469049292,0.3886720512277883
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",climate,lr04_scaled,1.3225469157193328,3.752967707699812
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",climate,co2_scaled,-0.1311623184824938,0.877075397288618
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",full,intercept,-1.6714747594170702,0.18796965111607947
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",full,same_type_history_count,-0.33869972567498424,0.7126964213992654
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",full,edc_log_resolution_scaled,-1.0105900350918282,0.3640041409798532
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",full,lr04_scaled,1.5714024525789712,4.813394019175178
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",full,co2_scaled,-0.08697162286866099,0.9167031086685764
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",full,pre_phase_sin,-0.1678625849864107,0.8454700069750654
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",full,pre_phase_cos,0.30104635284222603,1.3512719753830553
barker_variable_threshold_speleo_0_400,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",baseline,intercept,-1.6939318152367717,0.18379545170908715
barker_variable_threshold_speleo_0_400,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",baseline,same_type_history_count,-0.0814935297041887,0.921738673756473
barker_variable_threshold_speleo_0_400,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",baseline,edc_log_resolution_scaled,-0.8681370754444686,0.4197327518111
barker_variable_threshold_speleo_0_400,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",climate,intercept,-1.786423955307387,0.167558295520641
barker_variable_threshold_speleo_0_400,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",climate,same_type_history_count,-0.04670821615597617,0.9543658254971819
barker_variable_threshold_speleo_0_400,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",climate,edc_log_resolution_scaled,-0.9764529897788485,0.3766446948963429
barker_variable_threshold_speleo_0_400,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",climate,lr04_scaled,2.834641497228102,17.024295948960805
barker_variable_threshold_speleo_0_400,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",climate,co2_scaled,2.2942536557173723,9.917031729624991
barker_variable_threshold_speleo_0_400,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",full,intercept,-1.7328403851549596,0.17678156843347942
barker_variable_threshold_speleo_0_400,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",full,same_type_history_count,-0.18116855485524788,0.8342947224174876
