composite_event_id,composite_event_number,composite_event_label,event_age_ka_bp,event_age_status,source_record,source_event_id,source_event_label,source_anchor_age_ka_bp,source_anchor_type,source_anchor_offset_yr,proxy,data_source,label_source,expected_gradient_direction,smoothing_sigma_yr,search_half_width_yr,effective_search_min_ka_bp,effective_search_max_ka_bp,local_tuning_candidate_ages_ka_bp,local_tuning_age_min_ka_bp,local_tuning_age_max_ka_bp,local_tuning_span_yr,local_tuning_structure,local_tuning_range_type,event_age_qc,local_median_resolution_yr,observations_in_search_window,young_flank_observations,old_flank_observations,distance_to_segment_boundary_yr,event_proxy_per_mil,young_flank_proxy_per_mil,old_flank_proxy_per_mil,local_flank_change_young_minus_old_per_mil,local_transition_magnitude_per_mil,local_change_qc,local_change_note,peak_gradient_per_mil_per_ka,qc_note,method
MIS6_DO_01,1,MIS 6.1,134.976,provisional_algorithmic_estimate,MF,Fohlmeister2023_local_MF_6_1,MF 6.1,134.9,interstadial_onset,76.0,d18O,Fohlmeister et al. (2023),Fohlmeister et al. (2023),negative,50.0,400.0,134.5,135.3,134.970;134.976;134.983,134.97,134.983,13.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,review,108.0,8,1,1,2565.0,-12.207,-12.016,-12.408,0.392,0.392,review,minimum 1 raw observations in a flank,-2.37,sparse local sampling,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_02,2,MIS 6.2,138.393,provisional_algorithmic_estimate,MF,Fohlmeister2023_local_MF_6_2,MF 6.2,138.3,interstadial_onset,93.0,d18O,Fohlmeister et al. (2023),Fohlmeister et al. (2023),negative,50.0,400.0,137.9,138.7,138.393;138.401,138.393,138.401,8.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,stable,15.0,61,6,4,5982.0,-13.43,-12.706,-14.141,1.435,1.435,stable,minimum 4 raw observations in a flank,-9.58,stable under tested parameters,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_03,3,MIS 6.3,146.251,provisional_algorithmic_estimate,MF,Fohlmeister2023_local_MF_6_3,MF 6.3,146.2,interstadial_onset,51.0,d18O,Fohlmeister et al. (2023),Fohlmeister et al. (2023),negative,50.0,400.0,145.8,146.5,146.237;146.251;146.272,146.237,146.272,35.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,stable,42.5,16,2,2,13840.0,-13.107,-12.793,-13.563,0.77,0.77,moderate,minimum 2 raw observations in a flank,-5.53,stable under tested parameters,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_04,4,MIS 6.4,146.847,provisional_algorithmic_estimate,MF,Fohlmeister2023_local_MF_6_4,MF 6.4,146.8,interstadial_onset,47.0,d18O,Fohlmeister et al. (2023),Fohlmeister et al. (2023),negative,50.0,400.0,146.5,147.2,146.836;146.847;146.855,146.836,146.855,19.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,stable,42.5,18,2,2,14436.0,-13.871,-13.338,-14.515,1.177,1.177,moderate,minimum 2 raw observations in a flank,-9.18,stable under tested parameters,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_05,5,MIS 6.5,148.439,provisional_algorithmic_estimate,MF,Fohlmeister2023_local_MF_6_5,MF 6.5,148.4,interstadial_onset,39.0,d18O,Fohlmeister et al. (2023),Fohlmeister et al. (2023),negative,50.0,400.0,148.0,148.8,148.435;148.439;148.444,148.435,148.444,9.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,stable,22.1,36,4,4,16028.0,-13.56,-12.939,-14.276,1.337,1.337,stable,minimum 4 raw observations in a flank,-13.43,stable under tested parameters,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_06,6,MIS 6.6,149.458,provisional_algorithmic_estimate,MF,Fohlmeister2023_local_MF_6_6,MF 6.6,149.3,interstadial_onset,158.0,d18O,Fohlmeister et al. (2023),Fohlmeister et al. (2023),negative,50.0,400.0,148.9,149.7,149.445;149.458;149.471,149.445,149.471,26.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,stable,37.4,22,2,3,17047.0,-13.44,-12.9,-13.852,0.952,0.952,moderate,minimum 2 raw observations in a flank,-7.27,stable under tested parameters,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_07,7,MIS 6.7,150.462,provisional_algorithmic_estimate,MF,Fohlmeister2023_local_MF_6_7,MF 6.7,150.3,interstadial_onset,162.0,d18O,Fohlmeister et al. (2023),Fohlmeister et al. (2023),negative,50.0,400.0,149.9,150.65,150.447;150.455;150.462,150.447,150.462,15.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,stable,37.4,20,3,3,18051.0,-13.539,-12.856,-14.156,1.3,1.3,stable,minimum 3 raw observations in a flank,-8.08,stable under tested parameters,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_08,8,MIS 6.8,151.115,provisional_algorithmic_estimate,MF,Fohlmeister2023_local_MF_6_8,MF 6.8,151.0,interstadial_onset,115.0,d18O,Fohlmeister et al. (2023),Fohlmeister et al. (2023),negative,50.0,400.0,150.65,151.4,151.111;151.115;151.123,151.111,151.123,12.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,stable,37.4,20,3,2,18704.0,-14.062,-13.587,-14.614,1.027,1.027,moderate,minimum 2 raw observations in a flank,-8.02,stable under tested parameters,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_09,9,MIS 6.9,159.522,provisional_algorithmic_estimate,MF,Fohlmeister2023_local_MF_6_9,MF 6.9,159.5,interstadial_onset,22.0,d18O,Fohlmeister et al. (2023),Fohlmeister et al. (2023),negative,50.0,400.0,159.1,159.9,159.515;159.522;159.527,159.515,159.527,12.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,stable,5.1,200,24,21,15383.0,-13.51,-13.244,-13.755,0.511,0.511,stable,minimum 21 raw observations in a flank,-3.17,stable under tested parameters,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_10,10,MIS 6.10,160.879,provisional_algorithmic_estimate,MF,Fohlmeister2023_local_MF_6_10,MF 6.10,160.7,interstadial_onset,179.0,d18O,Fohlmeister et al. (2023),Fohlmeister et al. (2023),negative,50.0,400.0,160.3,161.1,160.674;160.879;160.885,160.674,160.885,211.0,multimodal,algorithm_parameter_sweep_not_age_model_uncertainty,review,2.4,260,51,52,14026.0,-12.848,-12.429,-13.184,0.755,0.755,stable,minimum 51 raw observations in a flank,-5.81,two-stage transition; parameter-sensitive age,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
