realization_id,MIS6_DO_01_age_ka_bp,MIS6_DO_02_age_ka_bp,MIS6_DO_03_age_ka_bp,MIS6_DO_04_age_ka_bp,MIS6_DO_05_age_ka_bp,MIS6_DO_06_age_ka_bp,MIS6_DO_07_age_ka_bp,MIS6_DO_08_age_ka_bp,MIS6_DO_09_age_ka_bp,MIS6_DO_10_age_ka_bp,MIS6_DO_11_age_ka_bp,MIS6_DO_12_age_ka_bp,MIS6_DO_13_age_ka_bp,MIS6_DO_14_age_ka_bp,MIS6_DO_15_age_ka_bp,MIS6_DO_16_age_ka_bp,MIS6_DO_17_age_ka_bp,MIS6_DO_18_age_ka_bp,MIS6_DO_19_age_ka_bp,MIS6_DO_20_age_ka_bp,MIS6_DO_21_age_ka_bp
1,135.764966,138.858772,146.690665,147.333711,149.046528,150.185033,151.004827,151.616648,160.173068,161.111882,165.475657,170.640646,171.204953,172.589844,173.211412,176.463186,177.338441,180.129827,180.607827,190.325843,194.209527
2,134.997863,138.401853,146.279958,146.864099,148.455452,149.459066,150.457603,151.132383,159.527508,160.682323,165.015908,168.609357,169.703099,171.508943,172.382069,174.783544,177.778431,179.167643,179.623643,190.792554,194.758976
3,136.149116,139.087589,146.896339,147.568883,149.342527,150.548583,151.278866,151.859159,160.496352,161.326996,165.705891,171.657875,171.957051,173.131138,173.626730,177.304317,177.957431,179.101425,179.579425,190.986806,194.939874
4,134.623478,138.182509,146.062592,146.631084,148.167656,149.125831,150.211354,150.892048,159.226398,160.746454,164.794043,167.651665,168.983314,171.011499,171.982065,173.977932,177.619760,179.615223,180.071223,190.623526,194.570898
5,136.069239,139.045772,146.835291,147.516597,149.280489,150.488120,151.239301,151.806418,160.438717,161.290050,165.663318,171.401528,171.820051,173.039543,173.548455,177.152534,177.683565,179.191127,179.712127,190.687780,194.626590
6,135.524828,138.720705,146.544326,147.183151,148.861444,149.975141,150.852221,151.462106,159.982211,161.085355,165.335987,169.989492,170.751859,172.275869,172.958620,175.957116,177.124592,179.972458,180.450458,190.096039,193.983960
7,134.564718,138.143853,146.048051,146.598932,148.121701,149.049148,150.148612,150.858942,159.162992,160.439772,164.756310,167.462388,168.855076,170.898611,171.913780,173.835132,177.736807,179.774396,180.230396,190.748213,194.709638
8,135.563826,138.738965,146.582975,147.210575,148.891544,149.994680,150.861341,151.489671,160.003798,160.999248,165.355108,170.108028,170.811156,172.306424,172.993952,176.022772,177.791787,179.382107,179.903107,190.806781,194.774807
9,135.984952,138.989805,146.808446,147.468384,149.216034,150.393223,151.161757,151.755524,160.358199,161.235069,165.607502,171.223169,171.635647,172.899820,173.449247,176.944865,177.603732,179.448457,179.969457,190.609122,194.522543
10,133.842599,137.713728,145.661429,146.156859,147.565287,148.365752,149.633478,150.403075,158.555288,160.035403,164.323521,165.550218,167.441294,169.881096,171.133071,172.253988,177.354407,179.564075,180.020075,190.340854,194.256367
11,135.066987,138.443026,146.316967,146.906416,148.508715,149.524484,150.506914,151.176021,159.585680,160.721031,165.057336,168.792399,169.838433,171.606344,172.456802,174.934898,177.667581,179.475814,179.996814,190.674468,194.627581
12,134.860167,138.323836,146.189092,146.776054,148.349841,149.348855,150.379642,151.041742,159.424871,160.835448,164.936355,168.265566,169.447724,171.343516,172.238503,174.497655,177.445105,180.215969,180.736969,190.433773,194.344812
13,134.806408,138.302654,146.149510,146.735824,148.309235,149.317583,150.338127,151.007279,159.389929,160.822927,164.869222,168.163166,169.358755,170.907117,172.181527,174.392890,177.717571,179.396232,179.917232,190.730681,194.656863
14,135.171067,138.521874,146.344532,146.959124,148.589574,149.659562,150.598646,151.238481,159.695471,160.961293,165.111697,169.027678,170.074834,171.428460,172.577128,175.195603,177.258851,179.573847,180.094847,190.240856,194.115619
15,134.512760,138.116400,146.003417,146.563270,148.082434,149.021505,150.132633,150.822024,159.133558,160.704825,164.727473,167.364496,168.766073,170.856189,171.862109,173.734817,177.214880,179.650659,180.171659,190.193903,194.063738
16,135.666912,138.819957,146.609713,147.262755,148.970764,150.124567,150.952887,151.552858,160.110931,161.149436,165.441401,170.203196,171.048520,172.137355,173.115045,176.287090,177.700192,180.197847,180.653847,190.712124,194.636357
17,135.835669,138.906308,146.710457,147.373539,149.100705,150.268036,151.073232,151.658697,160.242862,161.202229,165.522883,170.795720,171.361763,172.711903,173.295397,176.639662,178.100669,179.663023,180.119023,191.135823,195.140934
18,135.059793,138.438741,146.313115,146.902012,148.503171,149.517675,150.501782,151.171479,159.579626,160.717002,165.053025,168.773348,169.824348,171.596207,172.449024,174.919146,177.345235,179.783642,180.304642,190.331083,194.245495
