composite_event_id,composite_event_number,composite_event_label,source_record,source_event_label,nominal_event_age_ka_bp,definition_distribution,definition_interpretation,definition_config_count,definition_unique_pick_count,definition_picks_by_config_ka_bp,definition_age_min_ka_bp,definition_age_max_ka_bp,chronology_method,chronology_source_filename,chronology_support_at_nominal,chronology_input_lower_at_nominal_approx95_ka_bp,chronology_input_upper_at_nominal_approx95_ka_bp,chronology_sampling_lower_at_nominal_approx95_ka_bp,chronology_sampling_upper_at_nominal_approx95_ka_bp,chronology_half_width_at_nominal_approx95_ka,chronology_sigma_at_nominal_ka,source_bound_repair_at_nominal,chronology_sigma_min_over_definition_support_ka,chronology_sigma_max_over_definition_support_ka,shared_z_group,n_accepted_realizations,sampled_age_mean_ka_bp,sampled_age_sd_ka,sampled_age_q025_ka_bp,sampled_age_q16_ka_bp,sampled_age_median_ka_bp,sampled_age_q84_ka_bp,sampled_age_q975_ka_bp
MIS6_DO_01,1,MIS 6.1,MF,6.1,134.976000,nine equally weighted proposal configurations; accepted distribution conditional on fixed event order,method-sensitivity proxy; not a posterior or confidence interval,9,3,s035_w300:134.970000;s035_w400:134.970000;s035_w500:134.970000;s050_w300:134.976000;s050_w400:134.976000;s050_w500:134.976000;s075_w300:134.983000;s075_w400:134.983000;s075_w500:134.983000,134.970000,134.983000,shared-z; symmetric envelope from inferred 95% age-model bounds,Fohlmeister J et al-2023-data-mf_d18o_stack.txt,MF_segment_0,133.968778,135.959500,133.968778,135.983222,1.007222,0.513898,False,0.512821,0.515155,MF,10000,134.970914,0.508684,133.950080,134.463257,134.981188,135.485349,135.941064
MIS6_DO_02,2,MIS 6.2,MF,6.2,138.393000,nine equally weighted proposal configurations; accepted distribution conditional on fixed event order,method-sensitivity proxy; not a posterior or confidence interval,9,2,s035_w300:138.401000;s035_w400:138.401000;s035_w500:138.401000;s050_w300:138.393000;s050_w400:138.393000;s050_w500:138.393000;s075_w300:138.393000;s075_w400:138.393000;s075_w500:138.393000,138.393000,138.401000,shared-z; symmetric envelope from inferred 95% age-model bounds,Fohlmeister J et al-2023-data-mf_d18o_stack.txt,MF_segment_0,137.791588,138.905059,137.791588,138.994412,0.601412,0.306848,False,0.306848,0.308289,MF,10000,138.392486,0.304097,137.783924,138.089993,138.398995,138.700782,138.974329
MIS6_DO_03,3,MIS 6.3,MF,6.3,146.251000,nine equally weighted proposal configurations; accepted distribution conditional on fixed event order,method-sensitivity proxy; not a posterior or confidence interval,9,3,s035_w300:146.237000;s035_w400:146.237000;s035_w500:146.237000;s050_w300:146.251000;s050_w400:146.251000;s050_w500:146.251000;s075_w300:146.272000;s075_w400:146.272000;s075_w500:146.272000,146.237000,146.272000,shared-z; symmetric envelope from inferred 95% age-model bounds,Fohlmeister J et al-2023-data-mf_d18o_stack.txt,MF_segment_0,145.712682,146.780851,145.712682,146.789318,0.538318,0.274657,False,0.274260,0.275814,MF,10000,146.250351,0.272663,145.703603,145.977009,146.254751,146.525474,146.769769
MIS6_DO_04,4,MIS 6.4,MF,6.4,146.847000,nine equally weighted proposal configurations; accepted distribution conditional on fixed event order,method-sensitivity proxy; not a posterior or confidence interval,9,3,s035_w300:146.836000;s035_w400:146.836000;s035_w500:146.836000;s050_w300:146.847000;s050_w400:146.847000;s050_w500:146.847000;s075_w300:146.855000;s075_w400:146.855000;s075_w500:146.855000,146.836000,146.855000,shared-z; symmetric envelope from inferred 95% age-model bounds,Fohlmeister J et al-2023-data-mf_d18o_stack.txt,MF_segment_0,146.232791,147.463913,146.230087,147.463913,0.616913,0.314757,False,0.314027,0.315372,MF,10000,146.842632,0.311628,146.217354,146.531827,146.848110,147.155771,147.437316
MIS6_DO_05,5,MIS 6.5,MF,6.5,148.439000,nine equally weighted proposal configurations; accepted distribution conditional on fixed event order,method-sensitivity proxy; not a posterior or confidence interval,9,3,s035_w300:148.435000;s035_w400:148.435000;s035_w500:148.435000;s050_w300:148.439000;s050_w400:148.439000;s050_w500:148.439000;s075_w300:148.444000;s075_w400:148.444000;s075_w500:148.444000,148.435000,148.444000,shared-z; symmetric envelope from inferred 95% age-model bounds,Fohlmeister J et al-2023-data-mf_d18o_stack.txt,MF_segment_0,147.793850,149.214280,147.663720,149.214280,0.775280,0.395558,False,0.394241,0.396942,MF,10000,148.435172,0.391514,147.649496,148.044795,148.443084,148.831074,149.181706
MIS6_DO_06,6,MIS 6.6,MF,6.6,149.458000,nine equally weighted proposal configurations; accepted distribution conditional on fixed event order,method-sensitivity proxy; not a posterior or confidence interval,9,3,s035_w300:149.471000;s035_w400:149.471000;s035_w500:149.471000;s050_w300:149.458000;s050_w400:149.458000;s050_w500:149.458000;s075_w300:149.445000;s075_w400:149.445000;s075_w500:149.445000,149.445000,149.471000,shared-z; symmetric envelope from inferred 95% age-model bounds,Fohlmeister J et al-2023-data-mf_d18o_stack.txt,MF_segment_0,148.607834,150.407069,148.508931,150.407069,0.949069,0.484228,False,0.480926,0.487530,MF,10000,149.453060,0.479119,148.491995,148.978465,149.462126,149.938202,150.368845
MIS6_DO_07,7,MIS 6.7,MF,6.7,150.462000,nine equally weighted proposal configurations; accepted distribution conditional on fixed event order,method-sensitivity proxy; not a posterior or confidence interval,9,3,s035_w300:150.455000;s035_w400:150.455000;s035_w500:150.455000;s050_w300:150.462000;s050_w400:150.462000;s050_w500:150.462000;s075_w300:150.447000;s075_w400:150.447000;s075_w500:150.447000,150.447000,150.462000,shared-z; symmetric envelope from inferred 95% age-model bounds,Fohlmeister J et al-2023-data-mf_d18o_stack.txt,MF_segment_0,149.803925,151.178143,149.745857,151.178143,0.716143,0.365386,False,0.365386,0.367493,MF,10000,150.450823,0.362498,149.722156,150.091845,150.457988,150.815736,151.144524
MIS6_DO_08,8,MIS 6.8,MF,6.8,151.115000,nine equally weighted proposal configurations; accepted distribution conditional on fixed event order,method-sensitivity proxy; not a posterior or confidence interval,9,3,s035_w300:151.111000;s035_w400:151.111000;s035_w500:151.111000;s050_w300:151.115000;s050_w400:151.115000;s050_w500:151.115000;s075_w300:151.123000;s075_w400:151.123000;s075_w500:151.123000,151.111000,151.123000,shared-z; symmetric envelope from inferred 95% age-model bounds,Fohlmeister J et al-2023-data-mf_d18o_stack.txt,MF_segment_0,150.535468,151.752017,150.477983,151.752017,0.637017,0.325015,False,0.325015,0.325213,MF,10000,151.112891,0.321839,150.465732,150.791108,151.119141,151.438064,151.726795
MIS6_DO_09,9,MIS 6.9,MF,6.9,159.522000,nine equally weighted proposal configurations; accepted distribution conditional on fixed event order,method-sensitivity proxy; not a posterior or confidence interval,9,3,s035_w300:159.527000;s035_w400:159.527000;s035_w500:159.527000;s050_w300:159.522000;s050_w400:159.522000;s050_w500:159.522000;s075_w300:159.515000;s075_w400:159.515000;s075_w500:159.515000,159.515000,159.527000,shared-z; symmetric envelope from inferred 95% age-model bounds,Fohlmeister J et al-2023-data-mf_d18o_stack.txt,MF_segment_0,158.840472,160.366590,158.677410,160.366590,0.844590,0.430921,False,0.429684,0.433532,MF,10000,159.516879,0.426808,158.664137,159.093655,159.525217,159.947950,160.331517
MIS6_DO_10,10,MIS 6.10,MF,6.10,160.879000,nine equally weighted proposal configurations; accepted distribution conditional on fixed event order,method-sensitivity proxy; not a posterior or confidence interval,9,3,s035_w300:160.885000;s035_w400:160.885000;s035_w500:160.885000;s050_w300:160.879000;s050_w400:160.879000;s050_w500:160.879000;s075_w300:160.674000;s075_w400:160.674000;s075_w500:160.674000,160.674000,160.885000,shared-z; symmetric envelope from inferred 95% age-model bounds,Fohlmeister J et al-2023-data-mf_d18o_stack.txt,MF_segment_0,160.500292,161.186200,160.500292,161.257708,0.378708,0.193222,False,0.193222,0.288474,MF,10000,160.811569,0.246051,160.257578,160.576991,160.834162,161.050522,161.237145
