design_id,history_window_kyr,bin_width_kyr,origin_fraction,is_primary_design,response_mode,n_source_events,n_predictive_events,n_predictive_bins,response_exposure_kyr,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used,gap_counted_as_exposure,ngrip_response_start_kyr_bp,ngrip_response_end_kyr_bp,mis6_response_start_kyr_bp,mis6_response_end_kyr_bp
design_01,1,0.1,0,False,common_core,55,55,1730,173,13.4282206,0.00121366531,0.176116612,-9.39798277,330.697509,4.73854958,True,True,False,False,12,118,132.5,199.5
design_02,1,0.1,0.5,False,common_core,55,55,1732,173,13.7141085,0.00105200833,0.179866148,-9.68390575,330.725865,4.81948039,True,True,False,False,12,118,132.5,199.5
design_03,1,0.2,0,False,common_core,55,55,865,173,12.1638021,0.00228383086,0.159533245,-8.1029623,331.100645,4.36904263,True,True,False,False,12,118,132.5,199.5
design_04,1,0.2,0.5,False,common_core,55,55,867,173,12.3556614,0.00207492406,0.162049559,-8.29496369,331.385001,4.41940839,True,True,False,False,12,118,132.5,199.5
design_05,1,0.5,0,False,common_core,55,55,346,173,11.2089827,0.00368129264,0.147010397,-7.0540923,330.912776,4.07737836,True,True,False,False,12,118,132.5,199.5
design_06,1,0.5,0.5,False,common_core,55,55,348,173,12.6994381,0.00174723795,0.166558331,-8.54546493,330.459839,4.52223378,True,True,False,False,12,118,132.5,199.5
design_07,1.5,0.1,0,False,common_core,55,55,1730,173,13.8578019,0.000979076347,0.181750746,-9.827564,329.782497,5.01520228,True,True,False,False,12,118,132.5,199.5
design_08,1.5,0.1,0.5,False,common_core,55,55,1732,173,14.205309,0.00082291759,0.186308444,-10.1751063,329.756081,5.13346602,True,True,False,False,12,118,132.5,199.5
design_09,1.5,0.2,0,True,common_core,55,55,865,173,13.1514027,0.00139382805,0.172486031,-9.09056287,330.033529,4.75999465,True,True,False,False,12,118,132.5,199.5
design_10,1.5,0.2,0.5,False,common_core,55,55,867,173,12.8175884,0.00164700928,0.16810792,-8.75689063,330.640828,4.65629408,True,True,False,False,12,118,132.5,199.5
design_11,1.5,0.5,0,False,common_core,55,55,346,173,12.1663374,0.00228093762,0.159566496,-8.01144701,329.568874,4.47696908,True,True,False,False,12,118,132.5,199.5
design_12,1.5,0.5,0.5,False,common_core,55,55,348,173,13.1521461,0.00139331001,0.172495782,-8.99817295,329.536755,4.80001725,True,True,False,False,12,118,132.5,199.5
design_13,2,0.1,0,False,common_core,55,55,1730,173,13.134574,0.00140560567,0.172265316,-9.1043361,329.317489,4.91524209,True,True,False,False,12,118,132.5,199.5
design_14,2,0.1,0.5,False,common_core,55,55,1732,173,13.9886186,0.000917086024,0.18346646,-9.95841582,328.985835,5.19451691,True,True,False,False,12,118,132.5,199.5
design_15,2,0.2,0,False,common_core,55,55,865,173,13.0012089,0.00150253072,0.170516178,-8.9403691,329.130753,4.87152667,True,True,False,False,12,118,132.5,199.5
design_16,2,0.2,0.5,False,common_core,55,55,867,173,13.1795556,0.0013743453,0.172855268,-9.11885785,329.441073,4.91884015,True,True,False,False,12,118,132.5,199.5
design_17,2,0.5,0,False,common_core,55,55,346,173,12.4866338,0.00194339873,0.163767316,-8.33174348,328.549095,4.66179694,True,True,False,False,12,118,132.5,199.5
design_18,2,0.5,0.5,False,common_core,55,55,348,173,11.4260146,0.00330272528,0.14985686,-7.27204145,329.997263,4.39587069,True,True,False,False,12,118,132.5,199.5
design_19,3,0.1,0,False,common_core,55,55,1730,173,14.1219373,0.000857946652,0.18521499,-10.0916994,326.626866,5.40926546,True,True,False,False,12,118,132.5,199.5
design_20,3,0.1,0.5,False,common_core,55,55,1732,173,14.4166025,0.000740413849,0.189079645,-10.3863998,326.652625,5.51240273,True,True,False,False,12,118,132.5,199.5
design_21,3,0.2,0,False,common_core,55,55,865,173,13.4868991,0.00117857458,0.176886204,-9.42605932,326.757006,5.18607327,True,True,False,False,12,118,132.5,199.5
design_22,3,0.2,0.5,False,common_core,55,55,867,173,13.6189082,0.00110329504,0.178617557,-9.55821042,327.105037,5.22344122,True,True,False,False,12,118,132.5,199.5
design_23,3,0.5,0,False,common_core,55,55,346,173,11.9734613,0.00251186285,0.157036847,-7.8185709,327.13941,4.65012654,True,True,False,False,12,118,132.5,199.5
design_24,3,0.5,0.5,False,common_core,55,55,348,173,12.7841278,0.00167479598,0.167669071,-8.63015468,327.060516,4.92470921,True,True,False,False,12,118,132.5,199.5
design_25,5,0.1,0,False,common_core,55,55,1730,173,12.0738916,0.00238884381,0.158354032,-8.04365372,324.516037,4.8646292,True,True,False,False,12,118,132.5,199.5
design_26,5,0.1,0.5,False,common_core,55,55,1732,173,12.3025049,0.00213081139,0.161352389,-8.27230213,324.541596,4.94271803,True,True,False,False,12,118,132.5,199.5
design_27,5,0.2,0,False,common_core,55,55,865,173,11.5389826,0.00312134499,0.151338481,-7.47814278,324.911693,4.67360307,True,True,False,False,12,118,132.5,199.5
design_28,5,0.2,0.5,False,common_core,55,55,867,173,11.2871512,0.00354018737,0.14803561,-7.22645349,325.993312,4.57105455,True,True,False,False,12,118,132.5,199.5
design_29,5,0.5,0,False,common_core,55,55,346,173,9.91907079,0.00701618682,0.130092675,-5.76418043,327.66068,4.05729602,True,True,False,False,12,118,132.5,199.5
design_30,5,0.5,0.5,False,common_core,55,55,348,173,12.2183168,0.00222242039,0.160248228,-8.06434365,323.823585,4.85045581,True,True,False,False,12,118,132.5,199.5
