experiment,variant,support_id,model_id,term,beta
climate,frozen_linear,main,reduced,intercept,-1.0829812645841848
climate,frozen_linear,main,reduced,same_type_history_count,-0.16584512303801724
climate,frozen_linear,main,reduced,lr04_scaled,1.6818808960719358
climate,frozen_linear,main,reduced,co2_scaled,0.06503661132058522
climate,frozen_linear,main,reduced,mis6_segment,-0.22231949133593218
climate,frozen_linear,main,full,intercept,-1.0646707758126948
climate,frozen_linear,main,full,same_type_history_count,-0.445066685207716
climate,frozen_linear,main,full,lr04_scaled,3.2550933841738847
climate,frozen_linear,main,full,co2_scaled,1.041470421601377
climate,frozen_linear,main,full,mis6_segment,-0.23248587796295678
climate,frozen_linear,main,full,pre_phase_sin,-0.3992594306132909
climate,frozen_linear,main,full,pre_phase_cos,0.6914961395910588
climate,quadratic_lr04,main,reduced,intercept,-0.7361904756132455
climate,quadratic_lr04,main,reduced,same_type_history_count,-0.2545835228673794
climate,quadratic_lr04,main,reduced,lr04_scaled,2.614945790123284
climate,quadratic_lr04,main,reduced,co2_scaled,0.9641461372435527
climate,quadratic_lr04,main,reduced,mis6_segment,-0.15174862595586722
climate,quadratic_lr04,main,reduced,lr04_squared,-9.753467479156365
climate,quadratic_lr04,main,full,intercept,-0.7076911021917912
climate,quadratic_lr04,main,full,same_type_history_count,-0.5246790371390783
climate,quadratic_lr04,main,full,lr04_scaled,3.906507176181368
climate,quadratic_lr04,main,full,co2_scaled,1.79211035994316
climate,quadratic_lr04,main,full,mis6_segment,-0.12287488403698676
climate,quadratic_lr04,main,full,lr04_squared,-10.239619417541775
climate,quadratic_lr04,main,full,pre_phase_sin,-0.4736925442297467
climate,quadratic_lr04,main,full,pre_phase_cos,0.6117462563053757
climate,quadratic_co2,main,reduced,intercept,-0.9594812946824913
climate,quadratic_co2,main,reduced,same_type_history_count,-0.16608175945221637
climate,quadratic_co2,main,reduced,lr04_scaled,1.6572463429805857
climate,quadratic_co2,main,reduced,co2_scaled,0.2378670241524718
climate,quadratic_co2,main,reduced,mis6_segment,-0.2281972823224926
climate,quadratic_co2,main,reduced,co2_squared,-2.4736145124520337
climate,quadratic_co2,main,full,intercept,-1.0082411279373578
climate,quadratic_co2,main,full,same_type_history_count,-0.4409977904310656
climate,quadratic_co2,main,full,lr04_scaled,3.203268179332807
climate,quadratic_co2,main,full,co2_scaled,1.0705464575102792
climate,quadratic_co2,main,full,mis6_segment,-0.23665773536643744
climate,quadratic_co2,main,full,co2_squared,-1.1282068736745912
climate,quadratic_co2,main,full,pre_phase_sin,-0.4051082042758396
climate,quadratic_co2,main,full,pre_phase_cos,0.6733752078000119
climate,quadratic_both,main,reduced,intercept,-0.8031202017942886
climate,quadratic_both,main,reduced,same_type_history_count,-0.27481582232552804
climate,quadratic_both,main,reduced,lr04_scaled,2.9061458631906567
climate,quadratic_both,main,reduced,co2_scaled,0.9935004645177502
climate,quadratic_both,main,reduced,mis6_segment,-0.14768702838269057
climate,quadratic_both,main,reduced,lr04_squared,-11.97808040434262
climate,quadratic_both,main,reduced,co2_squared,3.0772153772792836
climate,quadratic_both,main,full,intercept,-0.8229597903118279
climate,quadratic_both,main,full,same_type_history_count,-0.563841954798938
climate,quadratic_both,main,full,lr04_scaled,4.364676912245901
climate,quadratic_both,main,full,co2_scaled,1.9649211032410232
climate,quadratic_both,main,full,mis6_segment,-0.09788787343836007
climate,quadratic_both,main,full,lr04_squared,-13.32239867923696
climate,quadratic_both,main,full,co2_squared,4.752350109273488
climate,quadratic_both,main,full,pre_phase_sin,-0.4886202981606448
climate,quadratic_both,main,full,pre_phase_cos,0.6394134980011863
climate,quadratic_with_interaction,main,reduced,intercept,-0.8191584382600372
climate,quadratic_with_interaction,main,reduced,same_type_history_count,-0.2750963099252339
climate,quadratic_with_interaction,main,reduced,lr04_scaled,2.769060581833398
climate,quadratic_with_interaction,main,reduced,co2_scaled,0.8500629856618298
climate,quadratic_with_interaction,main,reduced,mis6_segment,-0.1627946896099491
climate,quadratic_with_interaction,main,reduced,lr04_squared,-9.47137704669318
climate,quadratic_with_interaction,main,reduced,co2_squared,4.965064984772786
climate,quadratic_with_interaction,main,reduced,lr04_co2,4.428158328809907
climate,quadratic_with_interaction,main,full,intercept,-0.8178916055785417
climate,quadratic_with_interaction,main,full,same_type_history_count,-0.5643566327881095
climate,quadratic_with_interaction,main,full,lr04_scaled,4.39621433943821
climate,quadratic_with_interaction,main,full,co2_scaled,1.999039049838843
