model_id,terms,n_parameters,converged,fit_valid,invalid_reason,log_likelihood,AIC,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,n_events,exposure_kyr,fit_status,realization_id
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-100.08090255916972,214.16180511833943,321.8061452318287,9.151679800499068,53,162.41264500000005,finite_mle,joint_01858
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-99.86705712338969,217.73411424677937,321.30862038441086,8.58729306588562,53,162.41264500000005,finite_mle,joint_01858
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-101.77425999610779,217.54851999221557,329.67428998704776,7.927380947488083,53,166.67110000000002,finite_mle,joint_05740
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-101.09197769280173,220.18395538560347,332.33894846474624,7.75978577501906,53,166.67110000000002,finite_mle,joint_05740
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-101.45502113661314,216.91004227322628,323.1585346786256,7.5435631745406,53,160.29393400000004,finite_mle,joint_01950
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.96940260495289,219.93880520990578,324.57083055657927,6.900958041117945,53,160.29393400000004,finite_mle,joint_01950
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-103.29642299477291,220.59284598954582,332.8253051621744,5.458174519821747,53,164.93327900000008,finite_mle,joint_08028
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-99.74793295349093,217.49586590698186,337.0595767271544,4.866695057584146,53,164.93327900000008,finite_mle,joint_08028
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-101.05083862270016,216.1016772454003,314.5626454667915,7.783994619044944,53,161.04800000000003,finite_mle,joint_08732
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.53610038449504,219.0722007689901,312.0207398475423,8.136531530438072,53,161.04800000000003,finite_mle,joint_08732
