phase_deg,point_multiplier,chronology_low,chronology_high,sampling_low,sampling_high,combined_low,combined_high
0,2.30898877774,1.73421894813,3.07425379101,1.17788043551,4.52629062766,1.17630021975,4.53237114661
1,2.28778944991,1.71916995454,3.04448117726,1.16932758338,4.47606012338,1.16758861513,4.48272662075
2,2.26621339432,1.70368936418,3.01447156774,1.16057057657,4.42517090496,1.15863466701,4.43256472018
3,2.24428146733,1.68779462085,2.98424893787,1.15161574005,4.37368049902,1.14944565954,4.38193773044
4,2.22201457208,1.6715037096,2.9538365546,1.14246950624,4.32164598845,1.14002907665,4.33089721981
5,2.19943362271,1.65483511244,2.92325696037,1.13313840719,4.26912390402,1.13039259151,4.2794939537
6,2.17655950931,1.63780776162,2.89253196166,1.12362906672,4.21617012045,1.12054405558,4.22777781381
7,2.15341306381,1.62044099088,2.86168262187,1.11394819255,4.16283975718,1.11049148732,4.17579772229
8,2.13001502668,1.6027544847,2.83072925841,1.1041025685,4.10918708399,1.10024306079,4.12360157096
9,2.1063860147,1.58476822605,2.79969144384,1.09409904669,4.05526543172,1.08980709378,4.07123615571
10,2.08254648974,1.56650244284,2.76858801068,1.08394453978,4.00112710824,1.07919203589,4.01874711608
11,2.05851672868,1.54797755339,2.73743705972,1.07364601328,3.94682331966,1.06840645629,3.96617888009
12,2.03431679451,1.52921411133,2.70625597146,1.06321047794,3.89240409714,1.05745903124,3.91357461439
13,2.00996650865,1.51023275022,2.67506142037,1.05264498218,3.83791822909,1.04635853161,3.86097617962
14,1.98548542452,1.49105412824,2.64386939166,1.04195660468,3.78341319903,1.03511381002,3.80842409097
15,1.96089280246,1.47169887345,2.61269520014,1.03115244695,3.72893512893,1.02373378803,3.75595748394
16,1.93620758593,1.45218752972,2.58155351088,1.02023962609,3.67452872829,1.01222744312,3.70361408526
17,1.91144837915,1.43254050393,2.55045836131,1.00922526765,3.62023724861,1.0006037956,3.65143018867
18,1.88663342605,1.41277801456,2.51942318441,0.998116498518,3.56610244353,0.988871895521,3.59944063575
19,1.86178059067,1.39292004212,2.48846083261,0.986920440059,3.51216453433,0.977040809435,3.54767880144
20,1.83690733895,1.37298628165,2.45758360222,0.975644201233,3.45846218079,0.965119607262,3.49617658421
21,1.81203072197,1.3529960975,2.42680325792,0.964294871915,3.4050324574,0.9531173491,3.44496440074
22,1.7871673606,1.33296848068,2.39613105719,0.95287951631,3.35191083462,0.941043072107,3.39407118492
23,1.76233343151,1.31292200894,2.36557777435,0.941405166488,3.29913116516,0.928905777457,3.34352439093
24,1.73754465463,1.29287480979,2.33515372407,0.92987881604,3.24672567518,0.916714417386,3.29335000037
25,1.71281628205,1.27284452651,2.304868784,0.918307413854,3.19472496006,0.904477882379,3.24357253307
26,1.68816308817,1.2528482873,2.27473241664,0.906697858008,3.14315798487,0.892204988523,3.19421506147
27,1.66359936132,1.23290267762,2.24475368998,0.895056989779,3.09205208895,0.87990446504,3.14529922843
28,1.63913889661,1.21302371575,2.21494129712,0.883391587766,3.04143299484,0.867584942058,3.09684526799
29,1.61479499017,1.19322683155,2.18530357459,0.871708362123,2.99132482099,0.855254938631,3.04887202927
30,1.59058043455,1.17352684849,2.15584851937,0.860013948907,2.94175009833,0.842922851048,3.00139700284
31,1.56650751541,1.15393796871,2.12658380468,0.84831490453,2.89272979026,0.830596941462,2.95443634976
