outer_id,source_row_index,age_realization_id,ngrip_realization_id,mis6_realization_id,n_response_events,response_exposure_kyr,response_end_kyr_bp__NGRIP,response_end_kyr_bp__MIS6,beta__intercept,beta__same_type_exponential_history,beta__lr04_scaled,beta__co2_scaled,beta__mis6_segment,beta__pre_phase_sin,beta__pre_phase_cos
1,1790,joint_01791,NGRIP_03511,8257,53,166.56557800000002,116.276245,194.789333,-0.7065115510650422,-0.9586780412706493,1.5475397428724889,-0.4507665518589381,-0.2859737897070738,-0.478903693516343,0.6887189524312958
2,7757,joint_07758,NGRIP_06933,9550,53,164.967651,116.035682,193.431969,-0.7281971028178482,-1.0322201494185417,2.808340854577043,0.9814006744487588,-0.2071698339415323,-0.4074536594852845,0.9107528214435021
3,6462,joint_06463,NGRIP_06414,9816,53,163.692088,113.829436,194.362652,-0.7437980931113819,-0.8434082887723797,1.6487699364986212,-0.20659401704024058,-0.27763188904207564,-0.5468963646391716,0.605876415441255
4,445,joint_00446,NGRIP_07404,8011,53,162.270751,112.320762,194.449989,-0.6405455116389249,-1.0795185691953337,0.9316100676120105,-1.1416158369079679,-0.3368135870867884,-0.7117023174243494,0.6204946295166538
5,8765,joint_08766,NGRIP_07797,7778,53,166.526095,116.602219,194.423876,-0.741193589701753,-1.0088683703435617,2.6307171145664534,0.8285207026250281,-0.21813528172732075,-0.4380946925967359,0.9239120405173233
6,8173,joint_08174,NGRIP_00350,1385,53,166.254438,116.120612,194.633826,-0.8204866379696064,-0.8484149094542259,2.1105338671353753,0.35763095129250577,-0.20211623629963565,-0.46288674910865973,0.9625114321672713
7,4650,joint_04651,NGRIP_07243,9349,53,162.65734799999998,113.245511,193.911837,-0.7513449031440149,-0.9476182689192407,1.9871202986393772,0.5183070856660829,-0.161069711707325,-0.5400425762440928,0.817057146789737
8,3454,joint_03455,NGRIP_00780,3375,53,165.203601,115.17182,194.531781,-0.7467798584865435,-0.8938590231335365,1.8442289970150394,0.16151236938085556,-0.22393579385535162,-0.4533029908376954,0.7125512949662709
9,7185,joint_07186,NGRIP_05877,154,53,166.090038,116.428379,194.161659,-0.7801605034987985,-0.8376283781753373,1.7887778111744121,-0.10522148844417407,-0.22509901973983285,-0.40882077463106203,0.7599084290957948
10,9471,joint_09472,NGRIP_00205,1498,53,163.309391,113.896552,193.912839,-0.7210174224999566,-0.9296702776612396,2.023801844171657,0.15408367238743248,-0.27389286782736944,-0.5664683227116439,0.7191783268798912
