event_id,event_label,event_age_kyr_bp,segment_id,source_record,source_event_label,data_source,label_source,timing_method,source_table,precession_index,pre_phase_unwrapped_rad,pre_phase_rad,pre_phase_deg,pre_phase_fraction,pre_phase_extrapolated
NGRIP:GI-1,GI-1,14.642,NGRIP,NGRIP,GI-1e,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.01219528,26.0527379,0.919996674,52.7119266,0.146422018,False
NGRIP:GI-2.1,GI-2.1,22.97,NGRIP,NGRIP,GI-2.1,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,0.0181646,28.4482435,3.31550225,189.964286,0.527678571,False
NGRIP:GI-2.2,GI-2.2,23.29,NGRIP,NGRIP,GI-2.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,0.0177784,28.5380033,3.40526204,195.107143,0.541964286,False
NGRIP:GI-3,GI-3,27.73,NGRIP,NGRIP,GI-3,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,0.001448,29.7834204,4.65067912,266.464286,0.740178571,False
NGRIP:GI-4,GI-4,28.85,NGRIP,NGRIP,GI-4,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.003795,30.0975796,4.96483839,284.464286,0.790178571,False
NGRIP:GI-5.1,GI-5.1,30.79,NGRIP,NGRIP,GI-5.1,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.0111068,30.6417483,5.50900712,315.642857,0.876785714,False
NGRIP:GI-5.2,GI-5.2,32.45,NGRIP,NGRIP,GI-5.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.014624,31.1073773,5.97463603,342.321429,0.950892857,False
NGRIP:GI-6,GI-6,33.69,NGRIP,NGRIP,GI-6,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.0152304,31.448506,0.0325794794,1.86666667,0.00518518519,False
NGRIP:GI-7,GI-7,35.43,NGRIP,NGRIP,GI-7c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.0135052,31.8534224,0.437495866,25.0666667,0.0696296296,False
NGRIP:GI-8,GI-8,38.17,NGRIP,NGRIP,GI-8c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.0063334,32.4910494,1.07512282,61.6,0.171111111,False
NGRIP:GI-9,GI-9,40.11,NGRIP,NGRIP,GI-9,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,0.0001294,32.9425079,1.52658132,87.4666667,0.242962963,False
NGRIP:GI-10,GI-10,41.41,NGRIP,NGRIP,GI-10,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,0.0043176,33.2450316,1.82910506,104.8,0.291111111,False
NGRIP:GI-11,GI-11,43.29,NGRIP,NGRIP,GI-11,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,0.009419,33.6825275,2.26660092,129.866667,0.360740741,False
NGRIP:GI-12,GI-12,46.81,NGRIP,NGRIP,GI-12c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,0.0139608,34.5016687,3.08574212,176.8,0.491111111,False
NGRIP:GI-13,GI-13,49.23,NGRIP,NGRIP,GI-13c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,0.012206,35.0803186,3.66439204,209.954198,0.583206107,False
NGRIP:GI-14,GI-14,54.17,NGRIP,NGRIP,GI-14e,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.0027122,36.2650108,4.84908423,277.832061,0.771755725,False
NGRIP:GI-15.1,GI-15.1,54.95,NGRIP,NGRIP,GI-15.1,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.005809,36.4520674,5.0361409,288.549618,0.801526718,False
NGRIP:GI-15.2,GI-15.2,55.75,NGRIP,NGRIP,GI-15.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.008886,36.6439204,5.22799388,299.541985,0.832061069,False
NGRIP:GI-16.1,GI-16.1,57.99,NGRIP,NGRIP,GI-16.1c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.0159162,37.1811088,5.76518224,330.320611,0.917557252,False
NGRIP:GI-16.2,GI-16.2,58.23,NGRIP,NGRIP,GI-16.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.0164496,37.2386647,5.82273814,333.618321,0.926717557,False
NGRIP:GI-17.1,GI-17.1,59.03,NGRIP,NGRIP,GI-17.1c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.0177848,37.4305177,6.01459113,344.610687,0.957251908,False
NGRIP:GI-17.2,GI-17.2,59.39,NGRIP,NGRIP,GI-17.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.0181534,37.5168515,6.10092497,349.557252,0.970992366,False
NGRIP:GI-18,GI-18,64.05,NGRIP,NGRIP,GI-18,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.008441,38.7645215,1.06540968,61.0434783,0.169565217,False
NGRIP:GI-19.1,GI-19.1,69.57,NGRIP,NGRIP,GI-19.1,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,0.0203984,40.272486,2.57337416,147.443478,0.409565217,False
NGRIP:GI-19.2,GI-19.2,72.29,NGRIP,NGRIP,GI-19.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,0.0236332,41.0186354,3.31952356,190.19469,0.528318584,False
NGRIP:GI-20,GI-20,76.39,NGRIP,NGRIP,GI-20c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,0.0044996,42.1585053,4.45939347,255.504425,0.709734513,False
NGRIP:GI-21.1,GI-21.1,84.71,NGRIP,NGRIP,GI-21.1e,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.0271344,44.4630974,0.480800267,27.5478261,0.0765217391,False
NGRIP:GI-21.2,GI-21.2,85.01,NGRIP,NGRIP,GI-21.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.025865,44.545052,0.562754858,32.2434783,0.0895652174,False
NGRIP:GI-22,GI-22,89.99,NGRIP,NGRIP,GI-22g,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,0.0137784,45.9054982,1.92320107,110.191304,0.306086957,False
NGRIP:GI-23.1,GI-23.1,103.99,NGRIP,NGRIP,GI-23.1,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.0383648,49.8485074,5.86621028,336.109091,0.933636364,False
NGRIP:GI-23.2,GI-23.2,104.47,NGRIP,NGRIP,GI-23.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.0404554,49.9855951,6.00329796,343.963636,0.955454545,False
NGRIP:GI-24.1,GI-24.1,106.7,NGRIP,NGRIP,GI-24.1c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.039631,50.6359533,0.370470832,21.2264151,0.0589622642,False
NGRIP:GI-24.2,GI-24.2,108.23,NGRIP,NGRIP,GI-24.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,-0.0292004,51.0894096,0.82392713,47.2075472,0.131132075,False
NGRIP:GI-25,GI-25,115.32,NGRIP,NGRIP,GI-25c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,0.0428101,53.1907201,2.92523769,167.603774,0.465566038,False
MIS6:MIS6_DO_01,MIS 6.1,134.976,MIS6,MF,MF 6.1,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv,0.01942318,58.7412263,2.19255849,125.624348,0.348956522,False
MIS6:MIS6_DO_02,MIS 6.2,138.393,MIS6,MF,MF 6.2,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv,0.03416503,59.674689,3.12602128,179.107826,0.497521739,False
MIS6:MIS6_DO_03,MIS 6.3,146.251,MIS6,MF,MF 6.3,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv,-0.01209692,61.715679,5.16701119,296.047934,0.822355372,False
MIS6:MIS6_DO_04,MIS 6.4,146.847,MIS6,MF,MF 6.4,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv,-0.01605495,61.8704219,5.3217541,304.91405,0.846983471,False
MIS6:MIS6_DO_05,MIS 6.5,148.439,MIS6,MF,MF 6.5,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv,-0.02420643,62.283762,5.73509423,328.596694,0.912768595,False
MIS6:MIS6_DO_06,MIS 6.6,149.458,MIS6,MF,MF 6.6,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv,-0.02718552,62.5483308,5.99966306,343.755372,0.954876033,False
MIS6:MIS6_DO_07,MIS 6.7,150.462,MIS6,MF,MF 6.7,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv,-0.02826208,62.8090051,6.26033736,358.690909,0.996363636,False
MIS6:MIS6_DO_08,MIS 6.8,151.115,MIS6,MF,MF 6.8,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv,-0.02798465,62.9705249,0.138671863,7.9453125,0.0220703125,False
