realization_id,ngrip_realization_id,mis6_realization_id,age_kyr_bp__NGRIP:GI-1,age_kyr_bp__NGRIP:GI-2.1,age_kyr_bp__NGRIP:GI-2.2,age_kyr_bp__NGRIP:GI-3,age_kyr_bp__NGRIP:GI-4,age_kyr_bp__NGRIP:GI-5.1,age_kyr_bp__NGRIP:GI-5.2,age_kyr_bp__NGRIP:GI-6,age_kyr_bp__NGRIP:GI-7,age_kyr_bp__NGRIP:GI-8,age_kyr_bp__NGRIP:GI-9,age_kyr_bp__NGRIP:GI-10,age_kyr_bp__NGRIP:GI-11,age_kyr_bp__NGRIP:GI-12,age_kyr_bp__NGRIP:GI-13,age_kyr_bp__NGRIP:GI-14,age_kyr_bp__NGRIP:GI-15.1,age_kyr_bp__NGRIP:GI-15.2,age_kyr_bp__NGRIP:GI-16.1,age_kyr_bp__NGRIP:GI-16.2,age_kyr_bp__NGRIP:GI-17.1,age_kyr_bp__NGRIP:GI-17.2,age_kyr_bp__NGRIP:GI-18,age_kyr_bp__NGRIP:GI-19.1,age_kyr_bp__NGRIP:GI-19.2,age_kyr_bp__NGRIP:GI-20,age_kyr_bp__NGRIP:GI-21.1,age_kyr_bp__NGRIP:GI-21.2,age_kyr_bp__NGRIP:GI-22,age_kyr_bp__NGRIP:GI-23.1,age_kyr_bp__NGRIP:GI-23.2,age_kyr_bp__NGRIP:GI-24.1,age_kyr_bp__NGRIP:GI-24.2,age_kyr_bp__NGRIP:GI-25,age_kyr_bp__MIS6:MIS6_DO_01,age_kyr_bp__MIS6:MIS6_DO_02,age_kyr_bp__MIS6:MIS6_DO_03,age_kyr_bp__MIS6:MIS6_DO_04,age_kyr_bp__MIS6:MIS6_DO_05,age_kyr_bp__MIS6:MIS6_DO_06,age_kyr_bp__MIS6:MIS6_DO_07,age_kyr_bp__MIS6:MIS6_DO_08,age_kyr_bp__MIS6:MIS6_DO_09,age_kyr_bp__MIS6:MIS6_DO_10,age_kyr_bp__MIS6:MIS6_DO_11,age_kyr_bp__MIS6:MIS6_DO_12,age_kyr_bp__MIS6:MIS6_DO_13,age_kyr_bp__MIS6:MIS6_DO_14,age_kyr_bp__MIS6:MIS6_DO_15,age_kyr_bp__MIS6:MIS6_DO_16,age_kyr_bp__MIS6:MIS6_DO_17,age_kyr_bp__MIS6:MIS6_DO_18,age_kyr_bp__MIS6:MIS6_DO_19,age_kyr_bp__MIS6:MIS6_DO_20,age_kyr_bp__MIS6:MIS6_DO_21
joint_00001,NGRIP_08883,7164,14.682860,22.949195,23.271811,27.791605,28.931352,30.861144,32.508915,33.791417,35.492847,38.030305,39.834294,41.120222,42.992021,46.329241,48.526265,52.738370,53.413968,54.150975,56.344156,56.537842,57.300501,57.665821,63.415500,68.664633,71.373202,75.358666,83.709632,84.060923,89.957018,104.836091,105.380982,107.409834,108.808488,116.269340,135.013737,138.415532,146.271169,146.870113,148.468047,149.493558,150.488831,151.138866,159.553643,160.893189,165.028689,168.663877,169.749043,171.558935,172.404885,174.834862,177.017438,179.853593,180.407800,191.250394,194.579894
joint_00002,NGRIP_07918,4635,14.590802,23.229532,23.574713,28.052326,29.168308,31.076984,32.588119,33.738987,35.441808,38.318136,40.264669,41.439474,43.098408,46.280579,48.594278,52.725423,53.348296,54.222336,56.670163,56.913167,57.803277,58.212769,63.153796,68.123434,71.169654,75.733669,83.791857,84.073723,90.115506,103.841906,104.240358,106.239899,107.651637,114.577208,134.304895,137.989091,145.908942,146.439872,147.921500,148.803258,149.963264,150.694918,158.944336,160.294278,164.600590,166.774377,168.346388,170.532503,171.632876,173.266226,177.154180,179.974787,180.327017,191.311949,194.689545
joint_00003,NGRIP_06780,8570,14.859980,23.417345,23.708229,27.690346,28.604417,30.407163,32.057422,33.301423,35.136894,38.431562,40.648729,41.988804,43.833795,47.606288,50.423335,55.648749,56.455442,57.294474,59.537680,59.782105,60.574831,60.981166,66.089745,71.880909,74.608337,78.736931,86.684456,86.939353,91.479604,106.663926,107.225916,109.456734,110.902282,118.628348,134.561504,138.155427,146.018533,146.585857,148.120961,149.087911,150.163163,150.852004,159.184728,160.730000,164.706377,167.582562,168.877839,170.556985,171.915843,173.853791,177.056793,179.822859,180.352486,191.509854,194.623375
joint_00004,NGRIP_01851,572,14.589904,22.800886,23.161396,27.397411,28.401834,30.208571,31.976322,33.185536,34.979334,37.556872,39.357067,40.539154,42.224704,45.669895,48.191041,53.532673,54.421488,55.197407,57.456017,57.678335,58.503442,58.795638,63.332960,69.604438,72.604246,77.071975,86.005899,86.266258,89.989805,101.457797,101.869636,104.109504,105.827884,112.555440,134.769637,138.269781,146.140708,146.720605,148.280158,149.263552,150.315275,150.984486,159.348958,160.801409,164.881923,168.030758,169.270094,171.216524,172.140419,174.298869,177.041343,179.513813,179.951063,190.580473,194.003379
joint_00005,NGRIP_07225,890,14.766464,23.400017,23.696016,28.444126,29.722327,31.679617,33.219227,34.392217,36.007750,38.657883,40.548765,42.182709,44.599538,48.815667,51.472891,55.958414,56.640617,57.412534,59.568443,59.787828,60.580524,60.876159,66.124915,70.550689,73.245062,77.566989,85.228229,85.475916,90.003899,104.792643,105.191082,107.288041,108.782920,116.501863,134.205569,137.932976,145.839237,146.375119,147.845983,148.732051,149.914218,150.627742,158.875968,160.589324,164.542773,166.567738,168.163333,170.425277,171.529288,173.060289,176.662775,179.548977,180.178411,190.839070,193.804103
joint_00006,NGRIP_09194,7596,14.550276,22.451494,22.732136,27.461137,28.682415,30.818912,32.692678,34.151314,36.036315,38.704872,40.596657,41.941033,43.914792,47.326206,49.523388,54.305661,55.074386,55.883031,57.974140,58.243803,58.980417,59.311507,63.564390,69.699919,72.513751,76.674826,85.866619,86.186161,91.157024,103.971339,104.464235,106.473525,107.798557,115.719835,134.582094,138.157799,146.040474,146.605737,148.135802,149.086837,150.181930,150.865874,159.191697,160.730894,164.769161,167.544328,168.902114,170.953448,171.937228,173.887061,177.133062,180.026555,180.218408,191.030840,194.424473
joint_00007,NGRIP_08323,3185,14.626168,22.343776,22.622092,27.071315,28.301381,30.317484,32.101729,33.334296,35.017684,37.419860,39.112703,40.477796,42.462672,45.993731,48.482976,53.616637,54.449991,55.128303,57.043328,57.258433,57.912784,58.243062,62.760363,67.637138,70.349765,74.579553,83.781095,84.088518,88.131876,102.333078,102.852464,105.388588,107.203963,114.555292,135.303679,138.584010,146.443692,147.051316,148.691093,149.748483,150.675761,151.325442,159.784870,160.853573,165.199193,169.419159,170.301834,171.939859,172.712698,175.453157,176.891142,179.944877,180.522670,191.343652,194.654158
joint_00008,NGRIP_07443,6835,14.632416,22.696890,23.004491,27.322504,28.368499,30.298054,32.069833,33.424386,35.212775,37.735722,39.538597,41.007534,43.035586,46.625824,48.869106,53.535518,54.289283,55.119574,57.394960,57.669136,58.450306,58.839067,63.217751,69.735228,72.337103,76.323219,86.025057,86.365804,91.674124,106.057944,106.631572,108.937873,110.489929,118.035279,135.586556,138.757563,146.577317,147.220959,148.908958,150.033305,150.896110,151.501146,160.033972,161.108564,165.373101,170.149596,170.872976,172.362458,173.025498,176.092658,176.681951,179.695868,180.581147,190.770679,193.902052
joint_00009,NGRIP_05806,1501,14.711015,22.808230,23.098267,27.460483,28.607596,30.616990,32.591319,33.974707,35.896015,38.870395,40.960392,42.411367,44.439757,48.125377,50.514402,55.512337,56.351604,57.294321,59.887680,60.166443,61.094376,61.527735,66.914901,72.149114,75.206983,79.755773,87.566550,87.844216,92.458673,105.220126,105.607170,107.714285,109.161711,115.965550,134.540772,138.142964,146.007446,146.573162,148.105023,149.068468,150.148351,150.838860,159.167357,160.722134,164.692592,167.533413,168.837129,170.527345,171.893352,173.808155,176.780539,179.918496,180.473904,190.460551,193.775204
joint_00010,NGRIP_06364,6455,14.668618,22.801914,23.082788,27.205446,28.252435,29.961713,31.307236,32.379376,33.963360,36.759258,38.827831,39.999797,41.851051,45.273379,47.691201,52.641528,53.431068,54.153944,56.167002,56.378031,57.075783,57.429022,63.068080,68.473515,71.221471,75.145832,82.811654,83.173484,88.319073,102.826778,103.347500,105.560866,107.027894,114.003346,135.243239,138.552568,146.393828,147.010681,148.644699,149.709809,150.652009,151.284015,159.746089,160.979480,165.166679,169.259136,170.199351,171.880869,172.653536,175.338802,176.689692,179.822696,180.707661,191.139699,194.090767
