knot_spacing_ka,event_subset,younger_event,older_event,nominal_gap_ka,unconditioned_gap_sigma_ka
2.5,all_69_boundaries,GS-1,GI-1,1.796,0.0546928446304
2.5,all_69_boundaries,GI-1,GS-2.1,8.208,0.261146511903
2.5,all_69_boundaries,GS-2.1,GI-2.1,0.12,0.00987167584557
2.5,all_69_boundaries,GI-2.1,GS-2.2,0.2,0.0164527930759
2.5,all_69_boundaries,GS-2.2,GI-2.2,0.12,0.00987167584557
2.5,all_69_boundaries,GI-2.2,GS-3,4.2,0.259481791916
2.5,all_69_boundaries,GS-3,GI-3,0.24,0.0250374183973
2.5,all_69_boundaries,GI-3,GS-4,0.82,0.0855445128573
2.5,all_69_boundaries,GS-4,GI-4,0.3,0.0312967729966
2.5,all_69_boundaries,GI-4,GS-5.1,1.7,0.134328951459
2.5,all_69_boundaries,GS-5.1,GI-5.1,0.24,0.0279301849618
2.5,all_69_boundaries,GI-5.1,GS-5.2,1.2,0.139650924809
2.5,all_69_boundaries,GS-5.2,GI-5.2,0.46,0.0535328545101
2.5,all_69_boundaries,GI-5.2,GS-6,0.86,0.109240990109
2.5,all_69_boundaries,GS-6,GI-6,0.38,0.0482692746993
2.5,all_69_boundaries,GI-6,GS-7,1,0.127024407104
2.5,all_69_boundaries,GS-7,GI-7,0.74,0.0660053452381
2.5,all_69_boundaries,GI-7,GS-8,1.1,0.130965613808
2.5,all_69_boundaries,GS-8,GI-8,1.64,0.145211267442
2.5,all_69_boundaries,GI-8,GS-9,1.68,0.222444180935
2.5,all_69_boundaries,GS-9,GI-9,0.26,0.0242343927508
2.5,all_69_boundaries,GI-9,GS-10,0.64,0.081190047863
2.5,all_69_boundaries,GS-10,GI-10,0.66,0.0837272368587
2.5,all_69_boundaries,GI-10,GS-11,0.78,0.0989503708331
2.5,all_69_boundaries,GS-11,GI-11,1.1,0.113971069803
2.5,all_69_boundaries,GI-11,GS-12,0.94,0.122081357791
2.5,all_69_boundaries,GS-12,GI-12,2.58,0.276510425409
2.5,all_69_boundaries,GI-12,GS-13,1.48,0.148196637155
2.5,all_69_boundaries,GS-13,GI-13,0.94,0.132148220964
2.5,all_69_boundaries,GI-13,GS-14,0.32,0.0449866284133
2.5,all_69_boundaries,GS-14,GI-14,4.62,0.468860599496
2.5,all_69_boundaries,GI-14,GS-15.1,0.68,0.113410056697
2.5,all_69_boundaries,GS-15.1,GI-15.1,0.1,0.0166779495143
2.5,all_69_boundaries,GI-15.1,GS-15.2,0.4,0.0626239570771
2.5,all_69_boundaries,GS-15.2,GI-15.2,0.4,0.0626239570771
2.5,all_69_boundaries,GI-15.2,GS-16.1,0.7,0.109591924885
2.5,all_69_boundaries,GS-16.1,GI-16.1,1.54,0.177110946283
2.5,all_69_boundaries,GI-16.1,GS-16.2,0.12,0.0184019420517
2.5,all_69_boundaries,GS-16.2,GI-16.2,0.12,0.0184019420517
2.5,all_69_boundaries,GI-16.2,GS-17.1,0.28,0.0429378647873
2.5,all_69_boundaries,GS-17.1,GI-17.1,0.52,0.0797417488906
2.5,all_69_boundaries,GI-17.1,GS-17.2,0.22,0.0337368937614
2.5,all_69_boundaries,GS-17.2,GI-17.2,0.14,0.0214689323936
2.5,all_69_boundaries,GI-17.2,GS-18,4.4,0.577255080099
2.5,all_69_boundaries,GS-18,GI-18,0.26,0.041777356307
2.5,all_69_boundaries,GI-18,GS-19.1,5.3,0.53770292681
2.5,all_69_boundaries,GS-19.1,GI-19.1,0.22,0.0367101825111
2.5,all_69_boundaries,GI-19.1,GS-19.2,0.76,0.0904846948384
2.5,all_69_boundaries,GS-19.2,GI-19.2,1.96,0.332947698595
2.5,all_69_boundaries,GI-19.2,GS-20,1.76,0.277853774493
2.5,all_69_boundaries,GS-20,GI-20,2.34,0.297033748083
2.5,all_69_boundaries,GI-20,GS-21.1,1.32,0.191974451425
2.5,all_69_boundaries,GS-21.1,GI-21.1,7,0.734123661245
2.5,all_69_boundaries,GI-21.1,GS-21.2,0.2,0.0368340874734
2.5,all_69_boundaries,GS-21.2,GI-21.2,0.1,0.0134172463643
2.5,all_69_boundaries,GI-21.2,GS-22,2.54,0.456427570924
2.5,all_69_boundaries,GS-22,GI-22,2.44,0.455077059409
2.5,all_69_boundaries,GI-22,GS-23.1,0.1,0.019224008427
2.5,all_69_boundaries,GS-23.1,GI-23.1,13.9,1.13695677029
2.5,all_69_boundaries,GI-23.1,GS-23.2,0.34,0.0696948168805
2.5,all_69_boundaries,GS-23.2,GI-23.2,0.14,0.0286978657743
2.5,all_69_boundaries,GI-23.2,GS-24.1,0.92,0.134208680792
2.5,all_69_boundaries,GS-24.1,GI-24.1,1.31,0.271746072879
2.5,all_69_boundaries,GI-24.1,GS-24.2,0.15,0.0311159625434
2.5,all_69_boundaries,GS-24.2,GI-24.2,1.38,0.205639168205
2.5,all_69_boundaries,GI-24.2,GS-25,2.36,0.385686491856
2.5,all_69_boundaries,GS-25,GI-25,4.73,0.671007982907
2.5,all_69_boundaries,GI-25,GS-26,3.77,0.585624344717
2.5,34_warming_events,GI-1,GI-2.1,8.328,0.262573070255
2.5,34_warming_events,GI-2.1,GI-2.2,0.32,0.0263244689215
