realization_id,ngrip_realization_id,mis6_realization_id,fit_valid,invalid_reason,n_predictive_events,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used
joint_00001,NGRIP_08883,7164,True,,55,10.0977892,0.00641642218,0.13243664,-6.03940839,328.073032,3.78464024,True,True,False
joint_00002,NGRIP_07918,4635,True,,55,11.7732338,0.00277635358,0.154410781,-7.71485292,323.738414,4.30166449,True,True,False
joint_00003,NGRIP_06780,8570,True,,55,9.78077715,0.00751850042,0.128278897,-5.72239632,334.163312,3.79885845,True,True,False
joint_00004,NGRIP_01851,572,True,,55,14.11326,0.000861677066,0.185101184,-10.0548792,322.958242,5.0498024,True,True,False
joint_00005,NGRIP_07225,890,True,,55,12.3554033,0.00207519188,0.162046174,-8.29702249,334.539666,4.6036442,True,True,False
joint_00006,NGRIP_09194,7596,True,,55,11.3010364,0.00351569442,0.14821772,-7.2426556,328.432512,4.21615469,True,True,False
joint_00007,NGRIP_08323,3185,True,,55,13.7886654,0.00101351307,0.180843993,-9.73028457,330.847488,4.92717843,True,True,False
joint_00008,NGRIP_07443,6835,True,,55,11.6185149,0.00299965671,0.15238158,-7.56013403,332.188582,4.22269263,True,True,False
joint_00009,NGRIP_05806,1501,True,,55,9.69012591,0.00786712217,0.127089969,-5.63174508,333.815344,3.7746562,True,True,False
joint_00010,NGRIP_06364,6455,True,,55,12.5186729,0.00191251441,0.164187521,-8.46029209,323.756295,4.54960179,True,True,False
joint_00011,NGRIP_07263,1545,True,,55,13.5140427,0.00116268725,0.177242204,-9.45566189,318.35974,4.81156524,True,True,False
joint_00012,NGRIP_07332,6319,True,,55,14.0803718,0.000875963726,0.184669841,-10.0219909,321.555462,5.08461308,True,True,False
joint_00013,NGRIP_09025,2677,True,,55,10.5558174,0.00510309179,0.138443867,-6.49743655,310.518946,3.9538764,True,True,False
joint_00014,NGRIP_06753,605,True,,55,13.9530079,0.000933561274,0.182999412,-9.89462709,338.448336,5.04786956,True,True,False
joint_00015,NGRIP_04606,6003,True,,55,9.39900233,0.0090998153,0.123271764,-5.3406215,331.098254,3.68266122,True,True,False
joint_00016,NGRIP_02394,584,True,,55,14.5832698,0.000681213411,0.191265555,-10.524889,323.815046,5.20890006,True,True,False
joint_00017,NGRIP_05846,1629,True,,55,7.60683483,0.0222944521,0.0997667536,-3.54845401,347.868562,3.16242003,True,True,False
joint_00018,NGRIP_09495,3756,True,,55,15.3871057,0.000455756065,0.201808191,-11.3287248,325.998785,5.43499517,True,True,False
joint_00019,NGRIP_07493,3618,True,,55,17.7935909,0.000136826695,0.23337023,-13.73521,327.559353,6.43172846,True,True,False
joint_00020,NGRIP_06948,830,True,,55,10.8638556,0.00437465427,0.142483914,-6.80547475,339.335605,4.07691516,True,True,False
joint_00021,NGRIP_05722,7004,True,,55,11.9941937,0.00248595884,0.157308761,-7.93581286,332.621055,4.40584035,True,True,False
joint_00022,NGRIP_07688,841,True,,55,11.7620723,0.00279189097,0.154264394,-7.70369147,328.528959,4.42555878,True,True,False
joint_00023,NGRIP_03505,5088,True,,55,9.25443984,0.00978191585,0.121375768,-5.19605901,332.877478,3.64626992,True,True,False
joint_00024,NGRIP_02156,6737,True,,55,11.0211439,0.00404379383,0.144546815,-6.96276309,337.598251,4.14773747,True,True,False
joint_00025,NGRIP_07589,1519,True,,55,11.946304,0.00254620313,0.156680668,-7.88792317,330.796576,4.47880624,True,True,False
joint_00026,NGRIP_02881,3853,True,,55,15.9323637,0.000347001361,0.208959474,-11.8739829,333.491203,5.73334143,True,True,False
joint_00027,NGRIP_06530,3919,True,,55,14.3234146,0.000775729031,0.187857447,-10.2650337,329.058645,5.14261853,True,True,False
joint_00028,NGRIP_09064,1083,True,,55,13.7927631,0.00101143867,0.180897735,-9.73438225,333.237309,4.9970189,True,True,False
joint_00029,NGRIP_02194,6695,True,,55,12.6182348,0.00181963857,0.165493316,-8.55985394,317.810024,4.59528589,True,True,False
joint_00030,NGRIP_00310,222,True,,55,11.7971484,0.0027433535,0.154724432,-7.73876757,338.732095,4.35007726,True,True,False
joint_00031,NGRIP_02178,9433,True,,55,12.4048148,0.00202455083,0.162694226,-8.346434,325.76787,4.53107564,True,True,False
joint_00032,NGRIP_05135,7702,True,,55,13.654497,0.00108383618,0.17908432,-9.59611621,327.50723,4.88733281,True,True,False
joint_00033,NGRIP_03388,6268,True,,55,12.7047497,0.00174260384,0.166627994,-8.64636883,332.425165,4.70755962,True,True,False
joint_00034,NGRIP_01228,5217,True,,55,7.8733479,0.0195130081,0.103262182,-3.81496708,331.804758,3.20279145,True,True,False
joint_00035,NGRIP_01099,8335,True,,55,10.2829438,0.00584907417,0.134865018,-6.22456296,313.772943,3.8851337,True,True,False
joint_00036,NGRIP_06328,473,True,,55,15.7574992,0.000378706298,0.206666054,-11.6991184,328.018543,5.60085591,True,True,False
joint_00037,NGRIP_02121,2586,True,,55,14.8340323,0.000600939599,0.194554407,-10.7756514,329.521275,5.29941486,True,True,False
joint_00038,NGRIP_05437,3394,True,,55,13.0258208,0.00148415394,0.170838973,-8.96743998,314.209262,4.68232802,True,True,False
joint_00039,NGRIP_08944,8362,True,,55,12.3946364,0.00203488045,0.162560732,-8.33625559,329.05331,4.58487094,True,True,False
joint_00040,NGRIP_08271,1641,True,,55,11.8860411,0.00262409149,0.155890296,-7.82766026,335.630835,4.39067103,True,True,False
joint_00041,NGRIP_00333,8883,True,,55,10.2896851,0.00582939226,0.134953433,-6.23130423,336.494646,3.89165247,True,True,False
joint_00042,NGRIP_01268,2394,True,,55,13.9653223,0.000927830807,0.183160921,-9.9069415,325.125139,4.98119984,True,True,False
joint_00043,NGRIP_02744,7041,True,,55,11.3350985,0.00345632541,0.148664459,-7.27671772,327.846876,4.13577955,True,True,False
joint_00044,NGRIP_07941,4842,True,,55,15.2947809,0.000477288024,0.200597314,-11.2364,324.904308,5.45195393,True,True,False
joint_00045,NGRIP_05971,4847,True,,55,15.9168335,0.000349706345,0.208755789,-11.8584527,320.003304,5.6639118,True,True,False
joint_00046,NGRIP_05371,1354,True,,55,11.6050929,0.00301985504,0.152205545,-7.54671207,333.602737,4.33101936,True,True,False
joint_00047,NGRIP_09220,4789,True,,55,13.5072995,0.00116661398,0.177153764,-9.4489187,320.085666,4.78750568,True,True,False
joint_00048,NGRIP_05024,6418,True,,55,8.80685486,0.0122353322,0.115505508,-4.74847403,337.319905,3.5127468,True,True,False
joint_00049,NGRIP_00326,9673,True,,55,12.8021063,0.00165980833,0.167904866,-8.74372546,325.161325,4.62668205,True,True,False
joint_00050,NGRIP_01110,5913,True,,55,13.3965189,0.00123305623,0.175700831,-9.33813808,322.740714,4.92313773,True,True,False
joint_00051,NGRIP_00671,5539,True,,55,14.7797259,0.00061748058,0.193842157,-10.7213451,330.730002,5.2687105,True,True,False
joint_00052,NGRIP_05456,5060,True,,55,10.5274407,0.00517601222,0.138071696,-6.4690599,332.930795,4.04250684,True,True,False
joint_00053,NGRIP_07972,2159,True,,55,14.3298091,0.000773252787,0.187941314,-10.2714283,324.649767,5.30679458,True,True,False
joint_00054,NGRIP_04371,5472,True,,55,11.0061494,0.00407422509,0.144350156,-6.9477686,331.643494,4.12973217,True,True,False
joint_00055,NGRIP_03186,3726,True,,55,15.7432987,0.000381404777,0.206479808,-11.6849179,325.935398,5.60625417,True,True,False
joint_00056,NGRIP_00572,1389,True,,55,12.7709495,0.00168586796,0.167496232,-8.71256865,330.185482,4.55180404,True,True,False
joint_00057,NGRIP_00590,8058,True,,55,11.8392431,0.00268621655,0.155276521,-7.7808623,332.877407,4.40481195,True,True,False
joint_00058,NGRIP_02098,2587,True,,55,12.5497302,0.0018830451,0.16459485,-8.49134933,333.686987,4.63549417,True,True,False
