realization_id,ngrip_realization_id,mis6_realization_id,age_kyr_bp__NGRIP:GI-1,age_kyr_bp__NGRIP:GI-2.1,age_kyr_bp__NGRIP:GI-2.2,age_kyr_bp__NGRIP:GI-3,age_kyr_bp__NGRIP:GI-4,age_kyr_bp__NGRIP:GI-5.1,age_kyr_bp__NGRIP:GI-5.2,age_kyr_bp__NGRIP:GI-6,age_kyr_bp__NGRIP:GI-7,age_kyr_bp__NGRIP:GI-8,age_kyr_bp__NGRIP:GI-9,age_kyr_bp__NGRIP:GI-10,age_kyr_bp__NGRIP:GI-11,age_kyr_bp__NGRIP:GI-12,age_kyr_bp__NGRIP:GI-13,age_kyr_bp__NGRIP:GI-14,age_kyr_bp__NGRIP:GI-15.1,age_kyr_bp__NGRIP:GI-15.2,age_kyr_bp__NGRIP:GI-16.1,age_kyr_bp__NGRIP:GI-16.2,age_kyr_bp__NGRIP:GI-17.1,age_kyr_bp__NGRIP:GI-17.2,age_kyr_bp__NGRIP:GI-18,age_kyr_bp__NGRIP:GI-19.1,age_kyr_bp__NGRIP:GI-19.2,age_kyr_bp__NGRIP:GI-20,age_kyr_bp__NGRIP:GI-21.1,age_kyr_bp__NGRIP:GI-21.2,age_kyr_bp__NGRIP:GI-22,age_kyr_bp__NGRIP:GI-23.1,age_kyr_bp__NGRIP:GI-23.2,age_kyr_bp__NGRIP:GI-24.1,age_kyr_bp__NGRIP:GI-24.2,age_kyr_bp__NGRIP:GI-25,age_kyr_bp__MIS6:MIS6_DO_01,age_kyr_bp__MIS6:MIS6_DO_02,age_kyr_bp__MIS6:MIS6_DO_03,age_kyr_bp__MIS6:MIS6_DO_04,age_kyr_bp__MIS6:MIS6_DO_05,age_kyr_bp__MIS6:MIS6_DO_06,age_kyr_bp__MIS6:MIS6_DO_07,age_kyr_bp__MIS6:MIS6_DO_08,age_kyr_bp__MIS6:MIS6_DO_09,age_kyr_bp__MIS6:MIS6_DO_10,age_kyr_bp__MIS6:MIS6_DO_11,age_kyr_bp__MIS6:MIS6_DO_12,age_kyr_bp__MIS6:MIS6_DO_13,age_kyr_bp__MIS6:MIS6_DO_14,age_kyr_bp__MIS6:MIS6_DO_15,age_kyr_bp__MIS6:MIS6_DO_16,age_kyr_bp__MIS6:MIS6_DO_17,age_kyr_bp__MIS6:MIS6_DO_18,age_kyr_bp__MIS6:MIS6_DO_19,age_kyr_bp__MIS6:MIS6_DO_20,age_kyr_bp__MIS6:MIS6_DO_21
joint_00001,NGRIP_08883,7164,14.68286,22.949195,23.271811,27.791605,28.931352,30.861144,32.508915,33.791417,35.492847,38.030305,39.834294,41.120222,42.992021,46.329241,48.526265,52.73837,53.413968,54.150975,56.344156,56.537842,57.300501,57.665821,63.4155,68.664633,71.373202,75.358666,83.709632,84.060923,89.957018,104.836091,105.380982,107.409834,108.808488,116.26934,135.413861,138.654446,146.485018,147.115185,148.776031,149.870581,150.773322,151.391925,159.889161,161.043632,165.269267,169.701678,170.53413,172.12021,172.838394,175.713455,176.979328,180.023433,180.470173,190.92582,194.681753
joint_00002,NGRIP_07918,4635,14.590802,23.229532,23.574713,28.052326,29.168308,31.076984,32.588119,33.738987,35.441808,38.318136,40.264669,41.439474,43.098408,46.280579,48.594278,52.725423,53.348296,54.222336,56.670163,56.913167,57.803277,58.212769,63.153796,68.123434,71.169654,75.733669,83.791857,84.073723,90.115506,103.841906,104.240358,106.239899,107.651637,114.577208,134.77024,138.270141,146.14103,146.720974,148.280622,149.26412,150.315703,150.984867,159.349463,160.801636,164.882285,168.032321,169.271277,171.21737,172.141072,174.300192,176.900214,179.421859,179.906431,191.161495,194.09641
joint_00003,NGRIP_06780,8570,14.85998,23.417345,23.708229,27.690346,28.604417,30.407163,32.057422,33.301423,35.136894,38.431562,40.648729,41.988804,43.833795,47.606288,50.423335,55.648749,56.455442,57.294474,59.53768,59.782105,60.574831,60.981166,66.089745,71.880909,74.608337,78.736931,86.684456,86.939353,91.479604,106.663926,107.225916,109.456734,110.902282,118.628348,135.227431,138.538594,146.402869,147.004638,148.632342,149.676324,150.621369,151.277307,159.720703,160.810876,165.153496,169.217255,170.152554,171.832421,172.630264,175.286205,177.228589,180.153304,180.564537,191.403709,194.198249
joint_00004,NGRIP_01851,572,14.589904,22.800886,23.161396,27.397411,28.401834,30.208571,31.976322,33.185536,34.979334,37.556872,39.357067,40.539154,42.224704,45.669895,48.191041,53.532673,54.421488,55.197407,57.456017,57.678335,58.503442,58.795638,63.33296,69.604438,72.604246,77.071975,86.005899,86.266258,89.989805,101.457797,101.869636,104.109504,105.827884,112.55544,135.459076,138.681445,146.509184,147.142879,148.810834,149.913185,150.805471,151.420521,159.927076,161.060633,165.296453,169.818953,170.622847,172.183636,172.887382,175.812739,177.3544,180.322337,180.740417,191.236961,194.639377
joint_00005,NGRIP_07225,890,14.766464,23.400017,23.696016,28.444126,29.722327,31.679617,33.219227,34.392217,36.00775,38.657883,40.548765,42.182709,44.599538,48.815667,51.472891,55.958414,56.640617,57.412534,59.568443,59.787828,60.580524,60.876159,66.124915,70.550689,73.245062,77.566989,85.228229,85.475916,90.003899,104.792643,105.191082,107.288041,108.78292,116.501863,135.048812,138.432201,146.307236,146.895289,148.49471,149.507283,150.493948,151.164547,159.570385,160.710853,165.046443,168.744271,169.802849,171.580734,172.437152,174.895102,176.295458,179.467585,179.98791,191.5406,194.507035
joint_00006,NGRIP_09194,7596,14.550276,22.451494,22.732136,27.461137,28.682415,30.818912,32.692678,34.151314,36.036315,38.704872,40.596657,41.941033,43.914792,47.326206,49.523388,54.305661,55.074386,55.883031,57.97414,58.243803,58.980417,59.311507,63.56439,69.699919,72.513751,76.674826,85.866619,86.186161,91.157024,103.971339,104.464235,106.473525,107.798557,115.719835,135.713805,138.848148,146.634792,147.29147,149.006814,150.168544,150.986389,151.58259,160.150222,161.167229,165.472582,170.314368,171.140604,172.204397,173.165917,176.390314,177.014897,180.24159,180.73864,190.670076,194.59632
joint_00007,NGRIP_08323,3185,14.626168,22.343776,22.622092,27.071315,28.301381,30.317484,32.101729,33.334296,35.017684,37.41986,39.112703,40.477796,42.462672,45.993731,48.482976,53.616637,54.449991,55.128303,57.043328,57.258433,57.912784,58.243062,62.760363,67.637138,70.349765,74.579553,83.781095,84.088518,88.131876,102.333078,102.852464,105.388588,107.203963,114.555292,134.235935,137.951108,145.855466,146.393718,147.869357,148.760663,149.935808,150.646946,158.901431,160.600741,164.56103,166.646497,168.222914,170.467873,171.562187,173.126966,177.178424,179.528876,179.971925,191.941172,193.740815
joint_00008,NGRIP_07443,6835,14.632416,22.69689,23.004491,27.322504,28.368499,30.298054,32.069833,33.424386,35.212775,37.735722,39.538597,41.007534,43.035586,46.625824,48.869106,53.535518,54.289283,55.119574,57.39496,57.669136,58.450306,58.839067,63.217751,69.735228,72.337103,76.323219,86.025057,86.365804,91.674124,106.057944,106.631572,108.937873,110.489929,118.035279,135.572081,138.743882,146.587394,147.215629,148.897904,150.002492,150.86723,151.494882,160.010745,161.003871,165.360055,170.129887,170.827318,172.318056,173.002877,176.040847,176.999058,179.708582,180.170641,190.798021,194.715734
joint_00009,NGRIP_05806,1501,14.711015,22.80823,23.098267,27.460483,28.607596,30.61699,32.591319,33.974707,35.896015,38.870395,40.960392,42.411367,44.439757,48.125377,50.514402,55.512337,56.351604,57.294321,59.88768,60.166443,61.094376,61.527735,66.914901,72.149114,75.206983,79.755773,87.56655,87.844216,92.458673,105.220126,105.60717,107.714285,109.161711,115.96555,134.81391,138.307165,146.153522,146.740418,148.315003,149.324618,150.343486,151.012035,159.396215,160.825773,164.87421,168.180951,169.373487,170.917843,172.189666,174.409404,176.291805,179.532259,180.116819,191.369575,194.107463
joint_00010,NGRIP_06364,6455,14.668618,22.801914,23.082788,27.205446,28.252435,29.961713,31.307236,32.379376,33.96336,36.759258,38.827831,39.999797,41.851051,45.273379,47.691201,52.641528,53.431068,54.153944,56.167002,56.378031,57.075783,57.429022,63.06808,68.473515,71.221471,75.145832,82.811654,83.173484,88.319073,102.826778,103.3475,105.560866,107.027894,114.003346,135.743584,138.851324,146.661241,147.317137,149.029825,150.181266,151.007758,151.600458,160.165645,161.167606,165.467515,170.556878,171.181081,172.582729,173.195628,176.43746,176.808852,180.186619,180.665294,191.157417,194.633774
joint_00011,NGRIP_07263,1545,14.466098,22.665955,23.026089,27.144946,28.198078,29.926872,31.565428,32.74548,34.390203,36.74076,38.341142,39.533467,41.196369,44.34385,46.445454,51.232379,51.998936,52.801294,54.939812,55.237747,56.049783,56.400239,60.436944,66.06369,68.578682,72.61357,82.206851,82.555754,87.571177,101.737099,102.195578,104.289059,105.640867,112.094502,134.466207,138.085176,145.995309,146.538625,148.045796,148.95592,150.078338,150.796753,159.08009,160.384609,164.697269,167.201532,168.66221,170.759803,171.807276,173.619435,177.01285,179.724377,180.252422,190.033947,194.070584
joint_00012,NGRIP_07332,6319,14.70414,23.161672,23.530383,27.915085,28.999785,31.025043,32.733181,34.028868,35.893916,38.744525,40.828136,42.254837,44.403786,47.687159,49.498049,53.766166,54.477437,55.231065,57.428741,57.684315,58.425523,58.797802,62.779458,68.626454,71.115008,74.693366,81.870929,82.127234,87.0301,98.798748,99.15313,101.233892,102.827737,109.360502,134.085626,137.858486,145.791546,146.305638,147.752547,148.595747,149.806845,150.556496,158.759809,160.171493,164.469175,166.193754,167.917099,170.223538,171.395816,172.786118,177.113619,179.548792,179.964462,191.367257,193.786097
joint_00013,NGRIP_09025,2677,14.671622,22.679966,22.939563,27.443479,28.618101,30.314321,31.801013,32.800768,34.297554,36.970421,38.904413,40.028665,41.539526,44.785222,47.14833,51.697745,52.41923,53.043195,54.734739,54.90483,55.560126,55.813759,59.90301,65.214657,67.856717,71.45477,78.113368,78.43802,84.158973,96.561077,97.090249,99.449725,101.12933,108.058765,134.863333,138.325727,146.190784,146.777993,148.352278,149.351838,150.381893,151.043744,159.427525,160.836638,164.938258,168.273777,169.453936,171.347957,172.241933,174.504607,176.942099,180.167723,180.602225,190.794368,194.443163
joint_00014,NGRIP_06753,605,14.570067,22.656126,22.958749,27.54647,28.747134,30.81203,32.488126,33.70785,35.420912,38.002451,39.874759,41.035435,42.685646,46.028722,48.557732,54.173152,55.103178,55.976644,58.537984,58.813565,59.693598,60.158299,64.679139,69.136107,71.526586,75.346944,83.124288,83.38357,88.798322,104.470996,105.073426,107.325754,108.769151,116.408494,135.587542,138.758151,146.577844,147.221563,148.909717,150.034234,150.896811,151.501769,160.034799,161.108935,165.373694,170.152154,170.874911,172.363842,173.026567,176.094824,176.441115,180.099117,180.602283,191.600809,194.64253
joint_00015,NGRIP_04606,6003,14.566114,23.243267,23.548365,28.418159,29.716715,31.731376,33.301729,34.459682,36.075926,38.571011,40.342978,41.654479,43.558785,47.238986,49.927756,54.425176,55.095732,55.947044,58.300389,58.57577,59.427735,59.839834,64.972382,70.146525,72.802289,77.163565,85.713545,85.987621,90.730526,106.676766,107.276623,109.982766,111.929203,119.50041,135.266227,138.566295,146.406114,147.024761,148.662394,149.731471,150.668354,151.298554,159.765365,160.988123,165.180501,169.318762,170.244457,171.913117,172.678443,175.389281,176.642566,179.735465,180.271322,190.85352,192.995163
joint_00016,NGRIP_02394,584,14.579518,22.719483,22.95246,27.468831,28.660773,30.474858,32.149151,33.399287,35.024699,37.688274,39.642902,41.006077,43.003191,46.36162,48.48013,53.400649,54.208672,54.935118,57.083679,57.276345,58.036725,58.366959,63.12742,68.616991,71.095259,74.980325,82.829566,83.092153,88.020784,101.621575,102.148648,104.17208,105.486421,110.294583,135.504671,138.708669,146.533553,147.170806,148.845929,149.956148,150.837889,151.449358,159.965309,161.077776,165.323868,169.937213,170.71231,172.247595,172.936782,175.912857,176.511193,180.198954,180.773885,191.208828,194.7253
joint_00017,NGRIP_05846,1629,14.733625,23.329785,23.682859,28.336507,29.52653,31.627335,33.511839,34.876092,36.820144,39.757012,41.861292,43.020633,44.783129,48.199973,50.69329,55.348464,56.050066,56.787579,58.828921,59.086365,59.80514,60.155498,64.657182,69.784095,73.123811,77.839773,86.872391,87.225736,92.159096,107.704101,108.223878,110.574677,112.195559,120.015937,134.918658,138.354675,146.237551,146.81561,148.394422,149.384108,150.401101,151.082381,159.460852,160.63797,164.968438,168.399622,169.548029,171.397337,172.296437,174.610117,176.126013,179.588434,180.126198,190.790093,193.766791
joint_00018,NGRIP_09495,3756,14.734441,23.273005,23.517993,27.766009,28.81842,30.617885,31.9165,32.979806,34.497573,37.12795,38.951658,40.24702,42.073558,45.478201,47.768007,52.745892,53.572772,54.387134,56.670111,56.934755,57.786457,58.107027,62.231178,68.315694,71.05771,75.31564,83.158076,83.429764,87.551875,103.010022,103.472087,105.636137,107.148575,114.261658,135.059637,138.454887,146.284939,146.890889,148.50391,149.555062,150.519039,151.167832,159.602106,160.919012,165.037603,168.763507,169.85602,171.269152,172.456243,174.950316,177.284561,179.832997,180.251581,191.083089,193.375638
joint_00019,NGRIP_07493,3618,14.652357,22.679056,22.945676,27.467213,28.67404,30.436976,31.792438,32.793011,34.263824,37.01359,38.924485,40.258761,42.149975,45.757953,48.274852,54.472887,55.513134,56.197069,58.135057,58.329593,58.995127,59.295216,62.846759,68.134387,70.960679,75.54509,82.964775,83.226586,87.835009,100.722417,101.045463,103.23833,104.875108,111.107807,135.130156,138.480652,146.350787,146.945087,148.557388,149.584264,150.551976,151.215898,159.63884,160.756404,165.095195,168.959668,169.962105,171.695352,172.525095,175.073211,176.593777,179.157217,179.609384,190.566496,194.02187
joint_00020,NGRIP_06948,830,14.67513,22.836902,23.177239,27.656646,28.797169,30.750302,32.426107,33.644215,35.369672,38.073583,39.93473,41.161655,42.971954,46.37378,48.737142,54.579324,55.556669,56.336038,58.62886,58.87518,59.702386,60.052016,64.85532,70.88802,73.942245,78.478461,86.013599,86.291285,91.981286,105.680283,106.235628,108.905763,110.874314,117.931355,135.600798,138.780213,146.574355,147.22227,148.919938,150.062565,150.905654,151.510941,160.055535,161.12435,165.39744,170.046459,170.918694,172.042835,173.043322,176.141556,176.460122,180.229229,180.786335,191.123468,194.466122
joint_00021,NGRIP_05722,7004,14.763182,23.123485,23.460255,27.931047,29.069927,31.141525,32.827863,34.093185,35.981648,38.726247,40.748177,42.039312,43.784904,47.431441,50.154171,54.191815,54.765334,55.6179,58.057888,58.286965,59.13003,59.570564,63.63254,68.830883,71.719824,75.63008,83.148284,83.502663,89.778553,105.969781,106.601368,108.73548,110.114131,117.531661,135.435403,138.66731,146.496532,147.12838,148.792612,149.890879,150.788639,151.405549,159.907225,161.051732,165.28222,169.757553,170.576399,172.150429,172.861734,175.760758,176.548016,179.822082,180.313555,190.771811,194.230365
