realization_id,ngrip_realization_id,mis6_realization_id,fit_valid,invalid_reason,n_predictive_events,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used
joint_00001,NGRIP_08883,7164,True,,55,10.2654228,0.00590053992,0.134635224,-6.20704202,331.173594,3.82568891,True,True,False
joint_00002,NGRIP_07918,4635,True,,55,11.9956407,0.00248416082,0.15732774,-7.93725992,326.336261,4.37829579,True,True,False
joint_00003,NGRIP_06780,8570,True,,55,10.7153462,0.00471185738,0.140536153,-6.65696538,337.426451,4.06048397,True,True,False
joint_00004,NGRIP_01851,572,True,,55,14.966028,0.000562559294,0.196285586,-10.9076472,326.9739,5.2750075,True,True,False
joint_00005,NGRIP_07225,890,True,,55,14.4779822,0.000718035828,0.189884665,-10.4196014,339.172948,5.31139616,True,True,False
joint_00006,NGRIP_09194,7596,True,,55,10.9613274,0.00416656347,0.143762297,-6.90294655,335.688789,4.10588021,True,True,False
joint_00007,NGRIP_08323,3185,True,,55,12.097916,0.00236032021,0.158669122,-8.03953514,325.340812,4.4249174,True,True,False
joint_00008,NGRIP_07443,6835,True,,55,11.4400149,0.00327968645,0.15004048,-7.38163409,333.063631,4.1828886,True,True,False
joint_00009,NGRIP_05806,1501,True,,55,10.7086964,0.00472755,0.140448938,-6.65031554,335.937157,4.06556874,True,True,False
joint_00010,NGRIP_06364,6455,True,,55,12.2171658,0.00222369975,0.160233132,-8.15878501,328.189021,4.45836025,True,True,False
joint_00011,NGRIP_07263,1545,True,,55,11.9871094,0.00249478002,0.157215849,-7.92872862,319.212901,4.35720462,True,True,False
joint_00012,NGRIP_07332,6319,True,,55,12.2582334,0.00217850442,0.16077175,-8.19985254,312.583269,4.51993217,True,True,False
joint_00013,NGRIP_09025,2677,True,,55,11.3035642,0.00351125386,0.148250872,-7.24518334,304.92861,4.16055708,True,True,False
joint_00014,NGRIP_06753,605,True,,55,14.4890726,0.000714065204,0.190030119,-10.4306917,337.712556,5.226787,True,True,False
joint_00015,NGRIP_04606,6003,True,,55,9.96594324,0.00685366578,0.130707426,-5.90756241,337.309461,3.82748269,True,True,False
joint_00016,NGRIP_02394,584,True,,55,14.3569863,0.000762816413,0.188297754,-10.2986055,328.339872,5.1379371,True,True,False
joint_00017,NGRIP_05846,1629,True,,55,7.44915608,0.0241232774,0.0976987321,-3.39077525,338.027646,3.12959853,True,True,False
joint_00018,NGRIP_09495,3756,True,,55,14.670895,0.000652012059,0.192414795,-10.6125142,325.80869,5.184689,True,True,False
joint_00019,NGRIP_07493,3618,True,,55,19.252921,6.59601041e-05,0.252509942,-15.1945401,327.824899,6.97983288,True,True,False
joint_00020,NGRIP_06948,830,True,,55,11.2445862,0.00361633901,0.147477352,-7.18620535,338.591278,4.18092912,True,True,False
joint_00021,NGRIP_05722,7004,True,,55,12.3081759,0.00212477799,0.161426767,-8.24979509,334.366043,4.50193679,True,True,False
joint_00022,NGRIP_07688,841,True,,55,11.5017274,0.00318003295,0.150849865,-7.44334661,330.969158,4.35308369,True,True,False
joint_00023,NGRIP_03505,5088,True,,55,8.43472542,0.0147374603,0.110624878,-4.37634459,329.539514,3.43231317,True,True,False
joint_00024,NGRIP_02156,6737,True,,55,10.427726,0.00544061607,0.136763896,-6.36934513,336.289129,3.97848497,True,True,False
joint_00025,NGRIP_07589,1519,True,,55,12.0921575,0.00236712588,0.158593597,-8.03377671,336.059566,4.514846,True,True,False
joint_00026,NGRIP_02881,3853,True,,55,16.1431384,0.000312292849,0.21172387,-12.0847576,331.966038,5.78402211,True,True,False
joint_00027,NGRIP_06530,3919,True,,55,14.1659131,0.000839288071,0.185791751,-10.1075323,329.308942,5.0738056,True,True,False
joint_00028,NGRIP_09064,1083,True,,55,11.5859485,0.0030489005,0.151954458,-7.52756766,331.663391,4.32735871,True,True,False
joint_00029,NGRIP_02194,6695,True,,55,13.8880706,0.000964370219,0.182147732,-9.82968976,318.921995,4.9754836,True,True,False
joint_00030,NGRIP_00310,222,True,,55,11.3800875,0.00337944517,0.149254507,-7.32170664,334.217492,4.2438995,True,True,False
joint_00031,NGRIP_02178,9433,True,,55,10.8439104,0.00441849924,0.142222325,-6.78552953,322.443169,4.09375383,True,True,False
joint_00032,NGRIP_05135,7702,True,,55,11.5295799,0.00313605409,0.151215161,-7.47119903,319.264958,4.24896141,True,True,False
joint_00033,NGRIP_03388,6268,True,,55,10.9283766,0.00423577778,0.143330134,-6.8699958,329.092052,4.17759706,True,True,False
joint_00034,NGRIP_01228,5217,True,,55,6.10033374,0.0473510222,0.0800083749,-2.04195292,318.930345,2.78665971,True,True,False
joint_00035,NGRIP_01099,8335,True,,55,11.2192141,0.00366250821,0.147144587,-7.1608333,318.580807,4.14183919,True,True,False
joint_00036,NGRIP_06328,473,True,,55,14.6345937,0.000663954561,0.191938689,-10.5762129,329.048266,5.2612514,True,True,False
joint_00037,NGRIP_02121,2586,True,,55,14.7294908,0.000633186599,0.193183303,-10.67111,328.376473,5.26773633,True,True,False
joint_00038,NGRIP_05437,3394,True,,55,12.6319952,0.001807162,0.16567379,-8.57361442,322.333227,4.55717638,True,True,False
joint_00039,NGRIP_08944,8362,True,,55,12.7297363,0.00172096832,0.166955704,-8.67135552,329.557946,4.67461651,True,True,False
joint_00040,NGRIP_08271,1641,True,,55,11.6439566,0.00296174021,0.152715258,-7.58557572,335.307343,4.30991659,True,True,False
joint_00041,NGRIP_00333,8883,True,,55,10.4995628,0.00524866574,0.137706065,-6.44118193,329.393244,3.95388689,True,True,False
joint_00042,NGRIP_01268,2394,True,,55,14.5941012,0.000677534149,0.191407613,-10.5357204,320.821959,5.16733304,True,True,False
joint_00043,NGRIP_02744,7041,True,,55,11.736007,0.00282851486,0.153922537,-7.67762615,327.572018,4.25297494,True,True,False
joint_00044,NGRIP_07941,4842,True,,55,15.237998,0.000491033107,0.199852583,-11.1796172,320.985034,5.43994177,True,True,False
