experiment,variant,phase_deg,relative_rate
climate,frozen_linear,0.0,2.308988777743047
climate,frozen_linear,1.0,2.2877894499103197
climate,frozen_linear,2.0,2.266213394318471
climate,frozen_linear,3.0,2.244281467331707
climate,frozen_linear,4.0,2.2220145720843534
climate,frozen_linear,5.0,2.1994336227060467
climate,frozen_linear,6.0,2.176559509307171
climate,frozen_linear,7.0,2.153413063806957
climate,frozen_linear,8.0,2.13001502668156
climate,frozen_linear,9.0,2.1063860147041518
climate,frozen_linear,10.0,2.082546489743629
climate,frozen_linear,11.0,2.058516728682961
climate,frozen_linear,12.0,2.0343167945125513
climate,frozen_linear,13.0,2.0099665086482714
climate,frozen_linear,14.0,1.9854854245180678
climate,frozen_linear,15.0,1.9608928024553018
climate,frozen_linear,16.0,1.9362075859312489
climate,frozen_linear,17.0,1.9114483791535202
climate,frozen_linear,18.0,1.8866334260515827
climate,frozen_linear,19.0,1.8617805906650582
climate,frozen_linear,20.0,1.8369073389451396
climate,frozen_linear,21.0,1.8120307219742426
climate,frozen_linear,22.0,1.787167360603986
climate,frozen_linear,23.0,1.762333431506722
climate,frozen_linear,24.0,1.7375446546312183
climate,frozen_linear,25.0,1.71281628204863
climate,frozen_linear,26.0,1.6881630881707272
climate,frozen_linear,27.0,1.663599361318364
climate,frozen_linear,28.0,1.6391388966144715
climate,frozen_linear,29.0,1.614794990172406
climate,frozen_linear,30.0,1.5905804345472812
climate,frozen_linear,31.0,1.5665075154149963
climate,frozen_linear,32.0,1.5425880094410074
climate,frozen_linear,33.0,1.5188331832984987
climate,frozen_linear,34.0,1.4952537937934876
climate,frozen_linear,35.0,1.4718600890525357
climate,frozen_linear,36.0,1.4486618107271407
climate,frozen_linear,37.0,1.4256681971675405
climate,frozen_linear,38.0,1.4028879875175648
climate,frozen_linear,39.0,1.380329426681324
climate,frozen_linear,40.0,1.3580002711119
climate,frozen_linear,41.0,1.3359077953718197
climate,frozen_linear,42.0,1.314058799414911
