event_id,event_label,event_age_kyr_bp,segment_id,source_record,source_event_label,data_source,label_source,timing_method,source_table
NGRIP:GI-1,GI-1,14.642,NGRIP,NGRIP,GI-1e,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-2.1,GI-2.1,22.97,NGRIP,NGRIP,GI-2.1,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-2.2,GI-2.2,23.29,NGRIP,NGRIP,GI-2.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-3,GI-3,27.73,NGRIP,NGRIP,GI-3,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-4,GI-4,28.85,NGRIP,NGRIP,GI-4,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-5.1,GI-5.1,30.79,NGRIP,NGRIP,GI-5.1,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-5.2,GI-5.2,32.45,NGRIP,NGRIP,GI-5.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-6,GI-6,33.69,NGRIP,NGRIP,GI-6,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-7,GI-7,35.43,NGRIP,NGRIP,GI-7c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-8,GI-8,38.17,NGRIP,NGRIP,GI-8c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-9,GI-9,40.11,NGRIP,NGRIP,GI-9,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-10,GI-10,41.41,NGRIP,NGRIP,GI-10,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-11,GI-11,43.29,NGRIP,NGRIP,GI-11,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-12,GI-12,46.81,NGRIP,NGRIP,GI-12c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-13,GI-13,49.23,NGRIP,NGRIP,GI-13c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-14,GI-14,54.17,NGRIP,NGRIP,GI-14e,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-15.1,GI-15.1,54.95,NGRIP,NGRIP,GI-15.1,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-15.2,GI-15.2,55.75,NGRIP,NGRIP,GI-15.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-16.1,GI-16.1,57.99,NGRIP,NGRIP,GI-16.1c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
NGRIP:GI-16.2,GI-16.2,58.23,NGRIP,NGRIP,GI-16.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv
