model_id,terms,n_parameters,converged,fit_valid,invalid_reason,log_likelihood,AIC,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,n_events,exposure_kyr,fit_status,realization_id
B,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment,5,True,True,,-110.61667945174963,231.23335890349927,,,53.0,162.41264500000005,finite_mle,joint_01858
BP,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-100.08090255916972,214.16180511833943,321.8061452318287,9.151679800499068,53.0,162.41264500000005,finite_mle,joint_01858
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;ecc_scaled,6,True,True,,-107.88350737175408,227.76701474350816,,,53.0,162.41264500000005,finite_mle,joint_01858
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;ecc_scaled,8,True,True,,-98.66137283412135,213.3227456682427,320.18676833766506,7.988167969573811,53.0,162.41264500000005,finite_mle,joint_01858
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;obl_scaled,6,True,True,,-110.57498549982404,233.14997099964808,,,53.0,162.41264500000005,finite_mle,joint_01858
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;obl_scaled,8,True,True,,-98.4414348135229,212.8828696270458,322.85294519176364,12.657385789876846,53.0,162.41264500000005,finite_mle,joint_01858
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;insol65n_scaled,6,True,True,,-104.50768960361654,221.01537920723308,,,53.0,162.41264500000005,finite_mle,joint_01858
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;insol65n_scaled,8,True,True,,-98.39322253787994,212.78644507575987,300.7310614982324,5.758793696714184,53.0,162.41264500000005,finite_mle,joint_01858
B,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment,5,True,True,,-111.80905489974472,233.61810979948945,,,53.0,166.67110000000002,finite_mle,joint_05740
BP,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-101.77425999610779,217.54851999221557,329.67428998704776,7.927380947488083,53.0,166.67110000000002,finite_mle,joint_05740
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;ecc_scaled,6,True,True,,-109.17236290815879,230.34472581631758,,,53.0,166.67110000000002,finite_mle,joint_05740
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;ecc_scaled,8,True,True,,-100.84007688381571,217.68015376763142,328.26444736547813,6.664833353371587,53.0,166.67110000000002,finite_mle,joint_05740
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;obl_scaled,6,True,True,,-111.7824247771257,235.5648495542514,,,53.0,166.67110000000002,finite_mle,joint_05740
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;obl_scaled,8,True,True,,-100.70869254984791,217.41738509969582,329.4131984892716,9.772763001158374,53.0,166.67110000000002,finite_mle,joint_05740
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;insol65n_scaled,6,True,True,,-103.85145719626507,219.70291439253015,,,53.0,166.67110000000002,finite_mle,joint_05740
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;insol65n_scaled,8,True,True,,-99.408341978758,214.816683957516,302.43425286410735,4.3092765875145895,53.0,166.67110000000002,finite_mle,joint_05740
B,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment,5,True,True,,-110.67721453588754,231.3544290717751,,,53.0,160.29393400000004,finite_mle,joint_01950
BP,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-101.45502113661314,216.91004227322628,323.1585346786256,7.5435631745406,53.0,160.29393400000004,finite_mle,joint_01950
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;ecc_scaled,6,True,True,,-108.8268731370278,229.6537462740556,,,53.0,160.29393400000004,finite_mle,joint_01950
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;ecc_scaled,8,True,True,,-100.59977718645796,217.1995543729159,321.66592421361094,6.744362786253223,53.0,160.29393400000004,finite_mle,joint_01950
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;obl_scaled,6,True,True,,-110.63948931530544,233.27897863061088,,,53.0,160.29393400000004,finite_mle,joint_01950
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;obl_scaled,8,True,True,,-99.85710454680581,215.71420909361163,323.69504499801843,10.259783713457015,53.0,160.29393400000004,finite_mle,joint_01950
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;insol65n_scaled,6,True,True,,-104.56730628683157,221.13461257366313,,,53.0,160.29393400000004,finite_mle,joint_01950
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;insol65n_scaled,8,True,True,,-99.41623426986884,214.83246853973768,296.6686006417937,4.750029563452824,53.0,160.29393400000004,finite_mle,joint_01950
B,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment,5,True,True,,-110.28288489789242,230.56576979578483,,,53.0,164.93327900000008,finite_mle,joint_08028
BP,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-103.29642299477291,220.59284598954582,332.8253051621744,5.458174519821747,53.0,164.93327900000008,finite_mle,joint_08028
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;ecc_scaled,6,True,True,,-109.80848815500723,231.61697631001445,,,53.0,164.93327900000008,finite_mle,joint_08028
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;ecc_scaled,8,True,True,,-103.29260756874405,222.5852151374881,332.7583781481984,5.394978452886806,53.0,164.93327900000008,finite_mle,joint_08028
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;obl_scaled,6,True,True,,-110.26659223583886,232.5331844716777,,,53.0,164.93327900000008,finite_mle,joint_08028
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;obl_scaled,8,True,True,,-103.02786803594972,222.05573607189945,333.1149849177477,5.9957154195616225,53.0,164.93327900000008,finite_mle,joint_08028
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;insol65n_scaled,6,True,True,,-105.87962924381154,223.75925848762307,,,53.0,164.93327900000008,finite_mle,joint_08028
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;insol65n_scaled,8,True,True,,-102.84249032089377,221.68498064178755,323.1246287758412,3.844369410042365,53.0,164.93327900000008,finite_mle,joint_08028
B,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment,5,True,True,,-110.35970819737555,230.7194163947511,,,53.0,161.04800000000003,finite_mle,joint_08732
BP,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-101.05083862270016,216.1016772454003,314.5626454667915,7.783994619044944,53.0,161.04800000000003,finite_mle,joint_08732
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;ecc_scaled,6,True,True,,-107.44529846928725,226.8905969385745,,,53.0,161.04800000000003,finite_mle,joint_08732
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;ecc_scaled,8,True,True,,-98.88314357060342,213.76628714120685,311.7779640877011,7.159236460568351,53.0,161.04800000000003,finite_mle,joint_08732
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;obl_scaled,6,True,True,,-110.2565121452715,232.513024290543,,,53.0,161.04800000000003,finite_mle,joint_08732
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;obl_scaled,8,True,True,,-99.00393724867843,214.00787449735685,315.4723378050044,11.217947099369686,53.0,161.04800000000003,finite_mle,joint_08732
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;insol65n_scaled,6,True,True,,-106.12645018709753,224.25290037419506,,,53.0,161.04800000000003,finite_mle,joint_08732
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;insol65n_scaled,8,True,True,,-99.50944779660252,215.01889559320503,291.6242893516193,5.756682027528932,53.0,161.04800000000003,finite_mle,joint_08732
B,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment,5,True,True,,-111.15115241351481,232.30230482702962,,,53.0,162.74372100000002,finite_mle,joint_06901
BP,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-101.85189651184837,217.70379302369673,330.3223328005305,7.9304445845453175,53.0,162.74372100000002,finite_mle,joint_06901
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;ecc_scaled,6,True,True,,-109.13005818030837,230.26011636061673,,,53.0,162.74372100000002,finite_mle,joint_06901
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;ecc_scaled,8,True,True,,-101.00404856637101,218.00809713274202,329.6368341912189,6.953766301349017,53.0,162.74372100000002,finite_mle,joint_06901
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;obl_scaled,6,True,True,,-111.14439441236297,234.28878882472594,,,53.0,162.74372100000002,finite_mle,joint_06901
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;obl_scaled,8,True,True,,-100.74182619764932,217.48365239529863,330.48689427496555,10.269989264671961,53.0,162.74372100000002,finite_mle,joint_06901
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;insol65n_scaled,6,True,True,,-104.43601477996177,220.87202955992353,,,53.0,162.74372100000002,finite_mle,joint_06901
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;insol65n_scaled,8,True,True,,-100.20605215893312,216.41210431786624,310.11295711514225,4.575761285861702,53.0,162.74372100000002,finite_mle,joint_06901
B,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment,5,True,True,,-110.44964965374466,230.89929930748931,,,53.0,164.837426,finite_mle,joint_09322
BP,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-100.79895928611168,215.59791857222336,327.95621896021123,7.872021479671382,53.0,164.837426,finite_mle,joint_09322
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;ecc_scaled,6,True,True,,-108.57782090772983,229.15564181545966,,,53.0,164.837426,finite_mle,joint_09322
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;ecc_scaled,8,True,True,,-100.23005676941779,216.46011353883557,326.51231983568186,6.925240377755029,53.0,164.837426,finite_mle,joint_09322
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;obl_scaled,6,True,True,,-110.42263541485144,232.84527082970288,,,53.0,164.837426,finite_mle,joint_09322
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;obl_scaled,8,True,True,,-99.7050213291198,215.4100426582396,328.1728170927736,9.81320071280099,53.0,164.837426,finite_mle,joint_09322
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;insol65n_scaled,6,True,True,,-103.16641983557926,218.33283967115852,,,53.0,164.837426,finite_mle,joint_09322
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;insol65n_scaled,8,True,True,,-98.78496735289443,213.56993470578885,303.76930592327136,4.458588069017936,53.0,164.837426,finite_mle,joint_09322
B,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment,5,True,True,,-110.74906955674344,231.49813911348687,,,53.0,162.68473700000004,finite_mle,joint_03459
BP,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-103.4033928643789,220.8067857287578,322.11700825658954,5.625179533866273,53.0,162.68473700000004,finite_mle,joint_03459
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;ecc_scaled,6,True,True,,-108.37109060117356,228.74218120234713,,,53.0,162.68473700000004,finite_mle,joint_03459
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;ecc_scaled,8,True,True,,-102.14813254311278,220.29626508622556,319.661332103093,4.8586645105370145,53.0,162.68473700000004,finite_mle,joint_03459
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;obl_scaled,6,True,True,,-110.66590014887342,233.33180029774684,,,53.0,162.68473700000004,finite_mle,joint_03459
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;obl_scaled,8,True,True,,-102.14630730884127,220.29261461768255,322.6924796360929,6.939553607638114,53.0,162.68473700000004,finite_mle,joint_03459
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;insol65n_scaled,6,True,True,,-105.03011720831908,222.06023441663817,,,53.0,162.68473700000004,finite_mle,joint_03459
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;insol65n_scaled,8,True,True,,-101.01765171810325,218.0353034362065,286.96432656698573,3.613263246008469,53.0,162.68473700000004,finite_mle,joint_03459
B,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment,5,True,True,,-110.47049560370382,230.94099120740765,,,53.0,166.55501900000002,finite_mle,joint_05927
