comparison_id,driver_id,comparison_group,reduced_model_id,full_model_id,df,loglik_reduced,loglik_full,ll_gain_nats,gain_bits_per_event,LR_statistic,nominal_p,delta_AIC,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,exposure_kyr,holm_nominal_p
phase_reference,pre,reference,B,BP,2,-111.2417975859055,-102.12285757375503,9.118940012150475,0.24822357610742327,18.23788002430095,0.00010957075947574634,-14.23788002430095,True,,True,53,165.05800000000002,
ecc_after_base,ecc,driver_after_base,B,B_ecc,1,-111.2417975859055,-109.02666481885186,2.215132767053646,0.06029737845167816,4.430265534107292,0.03530701467203571,-2.430265534107292,True,,True,53,165.05800000000002,0.17653507336017854
ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,-102.12285757375503,-101.3126402183888,0.810217355366234,0.022054652087340317,1.620434710732468,0.2030311840274377,0.3795652892675321,True,,True,53,165.05800000000002,0.5140207728889239
phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,-109.02666481885186,-101.3126402183888,7.714024600463063,0.20998084974308542,15.428049200926125,0.00044652078826686763,-11.428049200926125,True,,True,53,165.05800000000002,0.0031256455178680733
obl_after_base,obl,driver_after_base,B,B_obl,1,-111.2417975859055,-111.22429559794618,0.017501987959320786,0.00047641568367189524,0.03500397591864157,0.8515873282460827,1.9649960240813584,True,,True,53,165.05800000000002,0.8515873282460827
obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,-102.12285757375503,-101.1872687264745,0.9355888472805276,0.025467346986464887,1.8711776945610552,0.1713402576296413,0.1288223054389448,True,,True,53,165.05800000000002,0.5140207728889239
phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,-111.22429559794618,-101.1872687264745,10.037026871471681,0.27321450741021625,20.074053742943363,4.374965322526673e-05,-16.074053742943363,True,,True,53,165.05800000000002,0.00039374687902740056
insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,-111.2417975859055,-104.47517259797235,6.766624987933156,0.18419200591785861,13.533249975866312,0.00023437382790959257,-11.533249975866312,True,,True,53,165.05800000000002,0.0018749906232767405
insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,-102.12285757375503,-100.3098070118358,1.8130505619192263,0.049352434991732384,3.6261011238384526,0.05687992070002339,-1.6261011238384526,True,,True,53,165.05800000000002,0.22751968280009355
phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,-104.47517259797235,-100.3098070118358,4.165365586136545,0.11338400518129706,8.33073117227309,0.0155240384893053,-4.33073117227309,True,,True,53,165.05800000000002,0.0931442309358318
