realization_id,ngrip_realization_id,mis6_realization_id,age_kyr_bp__NGRIP:GI-1,age_kyr_bp__NGRIP:GI-2.1,age_kyr_bp__NGRIP:GI-2.2,age_kyr_bp__NGRIP:GI-3,age_kyr_bp__NGRIP:GI-4,age_kyr_bp__NGRIP:GI-5.1,age_kyr_bp__NGRIP:GI-5.2,age_kyr_bp__NGRIP:GI-6,age_kyr_bp__NGRIP:GI-7,age_kyr_bp__NGRIP:GI-8,age_kyr_bp__NGRIP:GI-9,age_kyr_bp__NGRIP:GI-10,age_kyr_bp__NGRIP:GI-11,age_kyr_bp__NGRIP:GI-12,age_kyr_bp__NGRIP:GI-13,age_kyr_bp__NGRIP:GI-14,age_kyr_bp__NGRIP:GI-15.1,age_kyr_bp__NGRIP:GI-15.2,age_kyr_bp__NGRIP:GI-16.1,age_kyr_bp__NGRIP:GI-16.2,age_kyr_bp__NGRIP:GI-17.1,age_kyr_bp__NGRIP:GI-17.2,age_kyr_bp__NGRIP:GI-18,age_kyr_bp__NGRIP:GI-19.1,age_kyr_bp__NGRIP:GI-19.2,age_kyr_bp__NGRIP:GI-20,age_kyr_bp__NGRIP:GI-21.1,age_kyr_bp__NGRIP:GI-21.2,age_kyr_bp__NGRIP:GI-22,age_kyr_bp__NGRIP:GI-23.1,age_kyr_bp__NGRIP:GI-23.2,age_kyr_bp__NGRIP:GI-24.1,age_kyr_bp__NGRIP:GI-24.2,age_kyr_bp__NGRIP:GI-25,age_kyr_bp__MIS6:MIS6_DO_01,age_kyr_bp__MIS6:MIS6_DO_02,age_kyr_bp__MIS6:MIS6_DO_03,age_kyr_bp__MIS6:MIS6_DO_04,age_kyr_bp__MIS6:MIS6_DO_05,age_kyr_bp__MIS6:MIS6_DO_06,age_kyr_bp__MIS6:MIS6_DO_07,age_kyr_bp__MIS6:MIS6_DO_08,age_kyr_bp__MIS6:MIS6_DO_09,age_kyr_bp__MIS6:MIS6_DO_10,age_kyr_bp__MIS6:MIS6_DO_11,age_kyr_bp__MIS6:MIS6_DO_12,age_kyr_bp__MIS6:MIS6_DO_13,age_kyr_bp__MIS6:MIS6_DO_14,age_kyr_bp__MIS6:MIS6_DO_15,age_kyr_bp__MIS6:MIS6_DO_16,age_kyr_bp__MIS6:MIS6_DO_17,age_kyr_bp__MIS6:MIS6_DO_18,age_kyr_bp__MIS6:MIS6_DO_19,age_kyr_bp__MIS6:MIS6_DO_20,age_kyr_bp__MIS6:MIS6_DO_21
joint_01858,NGRIP_09274,2451,14.691082,22.990111,23.315356,28.007309,29.231535,31.276329,32.966168,34.185025,35.933312,38.6242,40.585447,41.973082,43.966782,47.614837,50.101091,54.81725,55.580476,56.443595,58.902761,59.193067,60.073623,60.48824,65.413337,71.198465,73.2195,76.372788,84.165003,84.421033,87.521384,100.508555,100.993136,103.580618,105.416703,112.782313,134.95928,138.378872,146.259301,146.840479,148.425723,149.422552,150.430079,151.108026,159.495039,160.660718,164.992784,168.507191,169.627561,171.454578,172.340356,174.699064,176.678657,179.463841,180.080655,190.824731,194.130332
joint_05740,NGRIP_03309,7633,14.622318,23.121129,23.391063,27.491464,28.535104,30.54406,32.176959,33.454371,35.246642,37.86819,39.743658,40.961735,42.648095,45.938298,48.263955,53.458455,54.256437,55.024969,57.235907,57.461293,58.244388,58.567102,62.780581,67.149553,70.197836,74.702373,82.993523,83.311927,89.535686,103.510111,104.082722,106.427901,107.940111,116.839562,135.455644,138.679395,146.50735,147.140777,148.808192,149.909951,150.803031,151.418351,159.924198,161.059343,165.29439,169.810051,170.616113,172.178822,172.883664,175.805203,176.997328,179.440191,180.282046,190.986927,194.331538
joint_01950,NGRIP_08190,2024,14.636189,23.492284,23.835542,28.128118,29.218458,30.949203,32.464964,33.543466,35.196143,38.042844,40.00289,41.192576,42.912997,46.447687,49.023074,53.850893,54.621918,55.349392,57.457651,57.672953,58.45834,58.778697,63.977734,69.9226,72.768845,77.099473,84.972226,85.240914,88.902863,101.49462,101.892636,103.807787,105.060602,110.477661,135.270364,138.564166,146.425855,147.030921,148.665422,149.716954,150.651995,151.30441,159.756833,160.834917,165.179226,169.33094,170.236608,171.892916,172.67668,175.38021,176.429962,179.512612,180.16206,191.187302,194.316273
joint_08028,NGRIP_07187,6131,14.657293,22.950765,23.295125,27.329197,28.259673,30.173971,31.921719,33.265858,35.134277,38.198447,40.370387,42.00538,44.344846,48.304015,50.720683,56.25187,57.147711,57.804398,59.837286,60.056259,60.816328,61.110651,65.461127,71.618087,74.340289,78.64054,87.40023,87.72559,92.723493,105.856846,106.18638,108.311062,109.84182,115.740775,134.531743,138.124212,146.030397,146.578746,148.096293,149.017941,150.125089,150.838125,159.135242,160.421307,164.736547,167.375071,168.790517,170.852148,171.87813,173.762932,177.182782,179.783513,180.40046,190.729489,193.692504
joint_08732,NGRIP_04154,8070,14.712683,23.186491,23.500549,27.933748,28.995488,30.880225,32.68124,33.970901,35.704648,38.104558,39.822087,41.03141,42.787356,46.391566,48.937283,53.384571,54.05642,54.769761,56.828335,57.0867,57.844489,58.12787,62.019945,67.41828,69.613439,73.190607,80.712178,80.923109,84.790508,98.701705,99.278537,101.781305,103.506481,111.014444,135.103127,138.464553,146.336316,146.92854,148.536561,149.558685,150.532694,151.198835,159.616094,160.741268,165.078996,168.888096,169.909187,171.657267,172.495874,175.014029,176.639393,179.788837,180.229875,191.273226,194.533556
joint_06901,NGRIP_06597,8303,14.690289,23.007503,23.30772,28.011855,29.251371,31.183997,32.90036,34.072414,35.85925,38.622436,40.518119,41.715903,43.419816,46.806055,49.179244,54.821176,55.763167,56.559698,58.844715,59.060396,59.906242,60.193699,64.275735,70.325059,72.588341,76.125887,84.681154,85.007696,90.439264,102.351795,102.692905,104.728806,106.232745,112.916064,135.440289,138.670227,146.499143,147.131372,148.796373,149.895483,150.792113,151.40864,159.911322,161.053569,165.285157,169.770225,170.585985,172.157283,172.867028,175.771486,177.087356,179.728248,180.379441,191.08376,194.327657
joint_09322,NGRIP_06600,1105,14.640336,23.123912,23.453196,28.093199,29.211654,31.095562,32.858993,34.101048,35.86125,38.535643,40.410984,41.683113,43.437361,46.821583,49.210096,53.885176,54.689652,55.719491,58.461596,58.821458,59.804024,60.250305,65.545122,70.724325,73.452712,77.748248,84.971754,85.209038,89.902297,103.951737,104.452851,106.931233,108.633203,115.147759,134.787688,138.276664,146.16743,146.735432,148.293507,149.260162,150.307671,150.999701,159.350634,160.56463,164.889943,168.052814,169.291614,171.212792,172.154841,174.323347,176.738545,179.229485,179.820457,191.088395,194.189667
joint_03459,NGRIP_03579,2716,14.522601,22.720678,23.057312,27.417445,28.521187,30.379892,32.115418,33.419891,35.157216,37.856896,39.738724,40.658259,42.02385,44.781021,46.87618,52.187907,53.058442,53.698421,55.583864,55.753157,56.419228,56.730844,61.638404,67.174105,69.687417,73.593664,81.983734,82.283455,87.474574,102.902834,103.382752,105.346585,106.624919,112.781834,134.896275,138.345396,146.20839,146.798169,148.377634,149.382878,150.405315,151.064578,159.455148,160.849024,164.958065,168.359218,169.518571,171.394166,172.277623,174.57694,176.417084,179.721747,180.293242,191.068716,194.402903
joint_05927,NGRIP_01507,3014,14.669752,23.12866,23.466878,28.107909,29.295266,31.478452,33.356045,34.782587,36.708713,39.262736,41.167204,42.624807,44.845018,48.624324,51.047338,56.160154,56.985857,57.817716,60.373667,60.634114,61.492924,61.913517,66.263824,71.275467,74.306199,79.076923,88.728585,89.058263,93.266506,105.949396,106.417523,108.480708,109.83813,116.471983,134.101651,137.870927,145.783697,146.31147,147.765995,148.634132,149.840331,150.562018,158.788829,160.550251,164.480291,166.298204,167.959433,170.279505,171.416698,172.832104,176.719557,179.64818,179.967975,191.252115,194.583036
joint_01678,NGRIP_02889,4043,14.410958,22.707635,22.989745,27.688383,28.91336,30.954213,32.445839,33.605582,35.281802,38.116912,40.102844,41.420268,43.224102,46.654903,49.042364,53.892531,54.668767,55.504123,57.757503,58.031502,58.84627,59.236638,63.662454,68.659501,70.955851,74.901529,83.19031,83.457932,87.3874,100.650314,101.005636,102.772778,104.025001,110.598138,134.331521,138.008182,145.906553,146.452263,147.942931,148.85073,150.00377,150.707399,158.981582,160.636681,164.618502,166.894417,168.410463,170.601955,171.665748,173.336853,176.953243,179.691083,180.39534,190.714229,194.17831
