record_id,sheet_name,event_label,display_label,anchor_age_ka_bp,anchor_type,label_scheme,source_figure,confidence,anchor_purpose
Sanbao,Sanbao_Wang_etal_2008,D-O 6.1,6.1,129.7,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.2,6.2,147.5,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.3,6.3,149.1,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.4,6.4,151.5,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.5,6.5,160.6,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.6,6.6,163.9,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.7,6.7,169.0,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.8,6.8,173.2,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.9,6.9,176.4,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.10,6.10,178.0,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.11,6.11,178.9,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.12,6.12,190.7,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sanbao,Sanbao_Wang_etal_2008,D-O 6.13,6.13,192.9,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.2,6.2,147.4150424,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.3,6.3,150.0360714,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.4,6.4,152.1750179,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.5,6.5,160.7454545,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.6,6.6,164.7456500,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.7,6.7,168.9921739,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.8,6.8,174.0732000,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.9,6.9,177.6962165,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.10,6.10,178.6413711,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.11,6.11,179.0745670,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.12,6.12,190.7225870,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Huagapo,Huagapo_Burn_etal_2019,D-O 6.13,6.13,194.6464466,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sofular,Sofular_Held_etal_2024,D-O 6.6,6.6,163.852,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sofular,Sofular_Held_etal_2024,D-O 6.7,6.7,170.412,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sofular,Sofular_Held_etal_2024,D-O 6.8,6.8,173.599,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sofular,Sofular_Held_etal_2024,D-O 6.9,6.9,176.781,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sofular,Sofular_Held_etal_2024,D-O 6.10,6.10,179.801,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sofular,Sofular_Held_etal_2024,D-O 6.11,6.11,180.313,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sofular,Sofular_Held_etal_2024,D-O 6.12,6.12,191.009,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
Sofular,Sofular_Held_etal_2024,D-O 6.13,6.13,194.201,event_midpoint,Held2024_DO,"Held et al. (2024), Supplementary Fig. 6; label shown in Fig. 3b",high,label_placement_only
MF,﻿MF_Fohlmeister_etal_2023,MF 6.1,6.1,134.9,interstadial_onset,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",high,label_placement_only
MF,﻿MF_Fohlmeister_etal_2023,MF 6.2,6.2,138.3,interstadial_onset,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",high,label_placement_only
MF,﻿MF_Fohlmeister_etal_2023,MF 6.3,6.3,146.2,interstadial_onset,Fohlmeister2023_local,"Fohlmeister et al. (2023), Fig. 2a and Supplementary Fig. S5",high,label_placement_only
