component,mapping_lag_ka,min,max
So-4,-1.0,0.2594811622805441,0.4286154400702247
So-4,-0.5,0.2893770687543183,0.4219032873842434
So-4,0.0,0.2536873993936792,0.4031732743303636
So-4,0.5,0.2536878744014037,0.3852717245708211
So-4,1.0,0.2464091976687081,0.3683194561303478
So-57,-1.0,0.2278847310619289,0.3637646765179931
So-57,-0.5,0.2373804949905451,0.4016377150399683
So-57,0.0,0.2698747887491249,0.4436169239721642
So-57,0.5,0.2480235272241243,0.4886451710170011
So-57,1.0,0.2315927347331864,0.5359545110488904
