catalogue,comparison_id,driver_id,comparison_group,reduced_model_id,full_model_id,df,loglik_reduced,loglik_full,ll_gain_nats,info_bits_per_event,LR_statistic,nominal_p,delta_AIC,delta_AICc,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,n_bins,exposure_kyr,holm_nominal_p,comparison
Primary,phase_reference,pre,reference,B,BP,2,-205.83562150012648,-198.99902076355,6.836600736576486,0.1793296359853951,13.673201473152972,0.0010737471525146,-9.673201473152972,-9.614820646487487,True,,True,55,901,180.0,,BG + Pre vs BG
Primary,ecc_after_base,ecc,driver_after_base,B,B_ecc,1,-205.83562150012648,-204.3519167454701,1.483704754656344,0.0389187907579288,2.967409509312688,0.0849577992094638,-0.967409509312688,-0.9404888839143268,True,,True,55,901,180.0,0.4247889960473189,BG + Ecc vs BG
Primary,ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,-198.99902076355,-198.52287659999783,0.476144163552135,0.0124896513364525,0.95228832710427,0.3291375065546644,1.04771167289573,1.0837267176634668,True,,True,55,901,180.0,0.9592663578119872,BG + Pre + Ecc vs BG + Pre
Primary,phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,-204.3519167454701,-198.52287659999783,5.829040145472277,0.1529004965639188,11.658080290944554,0.0029408984606045,-7.658080290944554,-7.590605044909694,True,,True,55,901,180.0,0.0205862892242318,BG + Pre + Ecc vs BG + Ecc
Primary,obl_after_base,obl,driver_after_base,B,B_obl,1,-205.83562150012648,-205.830968747187,0.0046527529394779,0.0001220455198593,0.0093055058789559,0.9231512304696184,1.990694494121044,2.017615119519405,True,,True,55,901,180.0,0.9592663578119872,BG + Obl vs BG
Primary,obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,-198.99902076355,-198.50404751742352,0.4949732461264773,0.0129835535919887,0.9899464922529546,0.3197554526039957,1.0100535077470454,1.0460685525147824,True,,True,55,901,180.0,0.9592663578119872,BG + Pre + Obl vs BG + Pre
Primary,phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,-205.830968747187,-198.50404751742352,7.326921229763485,0.1921911440575245,14.65384245952697,0.0006575950577986,-10.65384245952697,-10.58636721349211,True,,True,55,901,180.0,0.0059183555201882,BG + Pre + Obl vs BG + Obl
Primary,insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,-205.83562150012648,-201.16392977743715,4.6716917226893315,0.1225422996524712,9.343383445378665,0.0022379197009506,-7.343383445378663,-7.316462819980302,True,,True,55,901,180.0,0.0179033576076053,BG + Insol vs BG
Primary,insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,-198.99902076355,-198.16367928757697,0.8353414759730526,0.0219116909970034,1.6706829519461053,0.1961670836549862,0.3293170480538947,0.3653320928216317,True,,True,55,901,180.0,0.784668334619945,BG + Pre + Insol vs BG + Pre
Primary,phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,-201.16392977743715,-198.16367928757697,3.000250489860207,0.0786990273299273,6.000500979720414,0.0497745987738869,-2.000500979720414,-1.933025733685554,True,,True,55,901,180.0,0.2986475926433218,BG + Pre + Insol vs BG + Insol
Barker,phase_reference,pre,reference,B,BP,2,-298.2019648631069,-293.8661684477963,4.335796415310597,0.0893604569524677,8.671592830621194,0.0130914436938905,-4.671592830621194,-4.649417482459739,True,,True,70,1993,398.5,,BG + Pre vs BG
Barker,ecc_after_base,ecc,driver_after_base,B,B_ecc,1,-298.2019648631069,-297.6695381626063,0.5324267005006504,0.0109732765778451,1.0648534010013009,0.302110841104263,0.9351465989986992,0.9452221504452608,True,,True,70,1993,398.5,1.0,BG + Ecc vs BG
Barker,ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,-293.8661684477963,-293.62173087612564,0.2444375716706872,0.0050378410350891,0.4888751433413745,0.4844295067252966,1.5111248566586255,1.5252519579546515,True,,True,70,1993,398.5,1.0,BG + Pre + Ecc vs BG + Pre
Barker,phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,-297.6695381626063,-293.62173087612564,4.047807286480634,0.0834250214097117,8.095614572961267,0.0174606188298584,-4.095614572961267,-4.069387674950349,True,,True,70,1993,398.5,0.1396849506388678,BG + Pre + Ecc vs BG + Ecc
Barker,obl_after_base,obl,driver_after_base,B,B_obl,1,-298.2019648631069,-298.1693621682868,0.0326026948201274,0.000671939230523,0.0652053896402549,0.798450112832015,1.934794610359745,1.944870161806307,True,,True,70,1993,398.5,1.0,BG + Obl vs BG
Barker,obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,-293.8661684477963,-293.74825832451086,0.1179101232854691,0.0024301192876364,0.2358202465709382,0.627241387169184,1.7641797534290615,1.7783068547250878,True,,True,70,1993,398.5,1.0,BG + Pre + Obl vs BG + Pre
